"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","sample_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","gene_targets_simplified","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies","observation","study","yi","vi","backtrans","phylo","species_char","family"
"496",617,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,7,0,0,"Artibeus watsoni","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Dermanura watsoni","Dermanura watsoni","coronaviruses in bats from mexico","389","coronaviruses in bats from mexico",0.180683561953354,0.0333333333333333,0,"Dermanura watsoni","Dermanura watsoni","PHYLLOSTOMIDAE"
"497",618,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,2,0,0,"Artibeus watsoni","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Dermanura watsoni","Dermanura watsoni","coronaviruses in bats from mexico","390","coronaviruses in bats from mexico",0.307739854335194,0.1,0,"Dermanura watsoni","Dermanura watsoni","PHYLLOSTOMIDAE"
"498",619,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,1,0,0,"Glossophaga soricina","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Campeche","Reserva de la Biosfera Calakmul -Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Glossophaga soricina","Glossophaga soricina","coronaviruses in bats from mexico","391","coronaviruses in bats from mexico",0.392699081698724,0.166666666666667,0,"Glossophaga soricina","Glossophaga soricina","PHYLLOSTOMIDAE"
"499",620,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,8,0,0,"Glossophaga soricina","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Campeche","Reserva de la Biosfera Calakmul -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Glossophaga soricina","Glossophaga soricina","coronaviruses in bats from mexico","392","coronaviruses in bats from mexico",0.169918454727061,0.0294117647058824,0,"Glossophaga soricina","Glossophaga soricina","PHYLLOSTOMIDAE"
"500",621,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,12,0,0,"Glossophaga soricina","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Glossophaga soricina","Glossophaga soricina","coronaviruses in bats from mexico","393","coronaviruses in bats from mexico",0.140517450751407,0.02,0,"Glossophaga soricina","Glossophaga soricina","PHYLLOSTOMIDAE"
"501",622,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,27,0,0,"Glossophaga soricina","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Glossophaga soricina","Glossophaga soricina","coronaviruses in bats from mexico","394","coronaviruses in bats from mexico",0.0950628016732334,0.00909090909090909,0,"Glossophaga soricina","Glossophaga soricina","PHYLLOSTOMIDAE"
"502",623,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,2,0,0,"Glossophaga commissarisi","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Glossophaga commissarisi","Glossophaga commissarisi","coronaviruses in bats from mexico","395","coronaviruses in bats from mexico",0.307739854335194,0.1,0,"Glossophaga commissarisi","Glossophaga commissarisi","PHYLLOSTOMIDAE"
"503",624,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,1,0,0,"Glossophaga commissarisi","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Glossophaga commissarisi","Glossophaga commissarisi","coronaviruses in bats from mexico","396","coronaviruses in bats from mexico",0.392699081698724,0.166666666666667,0,"Glossophaga commissarisi","Glossophaga commissarisi","PHYLLOSTOMIDAE"
"504",625,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,27,0,0,"Carollia sowelli","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Campeche","Reserva de la Biosfera Calakmul -Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Carollia sowelli","Carollia sowelli","coronaviruses in bats from mexico","397","coronaviruses in bats from mexico",0.0950628016732334,0.00909090909090909,0,"Carollia sowelli","Carollia sowelli","PHYLLOSTOMIDAE"
"505",626,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,14,4,0.285714,"Carollia sowelli","alphacoronavirus","","","","Mex_CoV-1, Mex_CoV-2, Mex_CoV-5b","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Campeche","Reserva de la Biosfera Calakmul -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Carollia sowelli","Carollia sowelli","coronaviruses in bats from mexico","398","coronaviruses in bats from mexico",0.57905940546002,0.0172413793103448,0.285714285714286,"Carollia sowelli","Carollia sowelli","PHYLLOSTOMIDAE"
"506",627,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,11,1,0.090909,"Carollia sowelli","alphacoronavirus","","","","Mex_CoV-5a","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Carollia sowelli","Carollia sowelli","coronaviruses in bats from mexico","399","coronaviruses in bats from mexico",0.35668855350627,0.0217391304347826,0.0909090909090909,"Carollia sowelli","Carollia sowelli","PHYLLOSTOMIDAE"
"507",628,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,20,2,0.1,"Carollia sowelli","alphacoronavirus","","","","Mex_CoV-1","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Carollia sowelli","Carollia sowelli","coronaviruses in bats from mexico","400","coronaviruses in bats from mexico",0.350662286558388,0.0121951219512195,0.1,"Carollia sowelli","Carollia sowelli","PHYLLOSTOMIDAE"
"508",629,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,8,0,0,"Carollia perspicillata","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Campeche","Reserva de la Biosfera Calakmul -Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Carollia perspicillata","Carollia perspicillata","coronaviruses in bats from mexico","401","coronaviruses in bats from mexico",0.169918454727061,0.0294117647058824,0,"Carollia perspicillata","Carollia perspicillata","PHYLLOSTOMIDAE"
"509",630,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,4,2,0.5,"Carollia perspicillata","alphacoronavirus","","","","Mex_CoV-1","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Campeche","Reserva de la Biosfera Calakmul -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Carollia perspicillata","Carollia perspicillata","coronaviruses in bats from mexico","402","coronaviruses in bats from mexico",0.785398163397448,0.0555555555555556,0.5,"Carollia perspicillata","Carollia perspicillata","PHYLLOSTOMIDAE"
"510",631,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,1,0,0,"Carollia perspicillata","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Carollia perspicillata","Carollia perspicillata","coronaviruses in bats from mexico","403","coronaviruses in bats from mexico",0.392699081698724,0.166666666666667,0,"Carollia perspicillata","Carollia perspicillata","PHYLLOSTOMIDAE"
"511",632,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,8,0,0,"Carollia perspicillata","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Carollia perspicillata","Carollia perspicillata","coronaviruses in bats from mexico","404","coronaviruses in bats from mexico",0.169918454727061,0.0294117647058824,0,"Carollia perspicillata","Carollia perspicillata","PHYLLOSTOMIDAE"
"512",633,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,7,0,0,"Sturnira ludovici","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Sturnira ludovici","Sturnira ludovici","coronaviruses in bats from mexico","405","coronaviruses in bats from mexico",0.180683561953354,0.0333333333333333,0,"Sturnira ludovici","Sturnira ludovici","PHYLLOSTOMIDAE"
"513",634,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,16,0,0,"Sturnira ludovici","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Sturnira ludovici","Sturnira ludovici","coronaviruses in bats from mexico","406","coronaviruses in bats from mexico",0.122489331563432,0.0151515151515152,0,"Sturnira ludovici","Sturnira ludovici","PHYLLOSTOMIDAE"
"514",635,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,6,0,0,"Sturnira lilium","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Campeche","Reserva de la Biosfera Calakmul -Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Sturnira lilium","Sturnira lilium","coronaviruses in bats from mexico","407","coronaviruses in bats from mexico",0.19379834332759,0.0384615384615385,0,"Sturnira lilium","Sturnira lilium","PHYLLOSTOMIDAE"
"515",636,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,6,0,0,"Sturnira lilium","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Campeche","Reserva de la Biosfera Calakmul -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Sturnira lilium","Sturnira lilium","coronaviruses in bats from mexico","408","coronaviruses in bats from mexico",0.19379834332759,0.0384615384615385,0,"Sturnira lilium","Sturnira lilium","PHYLLOSTOMIDAE"
"516",637,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,22,0,0,"Sturnira lilium","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Sturnira lilium","Sturnira lilium","coronaviruses in bats from mexico","409","coronaviruses in bats from mexico",0.105027869535619,0.0111111111111111,0,"Sturnira lilium","Sturnira lilium","PHYLLOSTOMIDAE"
"517",638,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,2,0,0,"Leptonycteris nivalis","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Distrito Federal","Mexico City","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Leptonycteris nivalis","Leptonycteris nivalis","coronaviruses in bats from mexico","410","coronaviruses in bats from mexico",0.307739854335194,0.1,0,"Leptonycteris nivalis","Leptonycteris nivalis","PHYLLOSTOMIDAE"
"518",639,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,1,0,0,"Leptonycteris yerbabuenae","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Distrito Federal","Mexico City","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Leptonycteris yerbabuenae","Leptonycteris yerbabuenae","coronaviruses in bats from mexico","411","coronaviruses in bats from mexico",0.392699081698724,0.166666666666667,0,"Leptonycteris yerbabuenae","Leptonycteris yerbabuenae","PHYLLOSTOMIDAE"
"519",640,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,1,0,0,"Centurio senex","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Campeche","Reserva de la Biosfera Calakmul -Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Centurio senex","Centurio senex","coronaviruses in bats from mexico","412","coronaviruses in bats from mexico",0.392699081698724,0.166666666666667,0,"Centurio senex","Centurio senex","PHYLLOSTOMIDAE"
"520",641,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,3,0,0,"Centurio senex","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Campeche","Reserva de la Biosfera Calakmul -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Centurio senex","Centurio senex","coronaviruses in bats from mexico","413","coronaviruses in bats from mexico",0.261799387799149,0.0714285714285714,0,"Centurio senex","Centurio senex","PHYLLOSTOMIDAE"
"521",642,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,1,0,0,"Platyrrhinus helleri","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Campeche","Reserva de la Biosfera Calakmul -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Platyrrhinus helleri","Platyrrhinus helleri","coronaviruses in bats from mexico","414","coronaviruses in bats from mexico",0.392699081698724,0.166666666666667,0,"Platyrrhinus helleri","Platyrrhinus helleri","PHYLLOSTOMIDAE"
"522",643,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,5,0,0,"Platyrrhinus helleri","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Platyrrhinus helleri","Platyrrhinus helleri","coronaviruses in bats from mexico","415","coronaviruses in bats from mexico",0.210267167641983,0.0454545454545455,0,"Platyrrhinus helleri","Platyrrhinus helleri","PHYLLOSTOMIDAE"
"523",644,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,10,0,0,"Platyrrhinus helleri","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Platyrrhinus helleri","Platyrrhinus helleri","coronaviruses in bats from mexico","416","coronaviruses in bats from mexico",0.153138684584835,0.0238095238095238,0,"Platyrrhinus helleri","Platyrrhinus helleri","PHYLLOSTOMIDAE"
"524",645,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,1,0,0,"Uroderma bilobatum","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Campeche","Reserva de la Biosfera Calakmul -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Uroderma bilobatum","Uroderma bilobatum","coronaviruses in bats from mexico","417","coronaviruses in bats from mexico",0.392699081698724,0.166666666666667,0,"Uroderma bilobatum","Uroderma bilobatum","PHYLLOSTOMIDAE"
"525",646,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,2,0,0,"Uroderma bilobatum","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Uroderma bilobatum","Uroderma bilobatum","coronaviruses in bats from mexico","418","coronaviruses in bats from mexico",0.307739854335194,0.1,0,"Uroderma bilobatum","Uroderma bilobatum","PHYLLOSTOMIDAE"
"526",647,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,2,0,0,"Uroderma bilobatum","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Uroderma bilobatum","Uroderma bilobatum","coronaviruses in bats from mexico","419","coronaviruses in bats from mexico",0.307739854335194,0.1,0,"Uroderma bilobatum","Uroderma bilobatum","PHYLLOSTOMIDAE"
"527",648,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,3,0,0,"Desmodus rotundus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Desmodus rotundus","Desmodus rotundus","coronaviruses in bats from mexico","420","coronaviruses in bats from mexico",0.261799387799149,0.0714285714285714,0,"Desmodus rotundus","Desmodus rotundus","PHYLLOSTOMIDAE"
"528",649,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,4,0,0,"Desmodus rotundus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Desmodus rotundus","Desmodus rotundus","coronaviruses in bats from mexico","421","coronaviruses in bats from mexico",0.231823804500403,0.0555555555555556,0,"Desmodus rotundus","Desmodus rotundus","PHYLLOSTOMIDAE"
"529",650,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,3,0,0,"Micronycteris schmidtorum","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Micronycteris schmidtorum","Micronycteris schmidtorum","coronaviruses in bats from mexico","422","coronaviruses in bats from mexico",0.261799387799149,0.0714285714285714,0,"Micronycteris schmidtorum","Micronycteris schmidtorum","PHYLLOSTOMIDAE"
"530",651,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,2,0,0,"Micronycteris schmidtorum","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Micronycteris schmidtorum","Micronycteris schmidtorum","coronaviruses in bats from mexico","423","coronaviruses in bats from mexico",0.307739854335194,0.1,0,"Micronycteris schmidtorum","Micronycteris schmidtorum","PHYLLOSTOMIDAE"
"531",652,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,1,0,0,"Micronycteris microtis","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","pooled",NA,NA,NA,NA,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Micronycteris microtis","Micronycteris microtis","coronaviruses in bats from mexico","424","coronaviruses in bats from mexico",0.392699081698724,0.166666666666667,0,"Micronycteris microtis","Micronycteris microtis","PHYLLOSTOMIDAE"
