PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
29669833,Discovery of Novel Bat Coronaviruses in South China That Use the Same Receptor as Middle East Respiratory Syndrome Coronavirus,"Luo CM, Wang N, Yang XL, Liu HZ, Zhang W, Li B, Hu B, Peng C, Geng QB, Zhu GJ, Li F, Shi ZL.",J Virol. 2018 Jun 13;92(13):e00116-18. doi: 10.1128/JVI.00116-18. Print 2018 Jul 1.,Luo CM,J Virol,2018,4/20/18,PMC6002729,,10.1128/JVI.00116-18
26976607,SARS-like WIV1-CoV poised for human emergence,"Menachery VD, Yount BL Jr, Sims AC, Debbink K, Agnihothram SS, Gralinski LE, Graham RL, Scobey T, Plante JA, Royal SR, Swanstrom J, Sheahan TP, Pickles RJ, Corti D, Randell SH, Lanzavecchia A, Marasco WA, Baric RS.",Proc Natl Acad Sci U S A. 2016 Mar 15;113(11):3048-53. doi: 10.1073/pnas.1517719113. Epub 2016 Mar 14.,Menachery VD,Proc Natl Acad Sci U S A,2016,3/16/16,PMC4801244,,10.1073/pnas.1517719113
26924345,Middle East respiratory syndrome coronavirus (MERS-CoV): animal to human interaction,"Omrani AS, Al-Tawfiq JA, Memish ZA.",Pathog Glob Health. 2015;109(8):354-62. doi: 10.1080/20477724.2015.1122852.,Omrani AS,Pathog Glob Health,2015,3/1/16,PMC4809235,,10.1080/20477724.2015.1122852
24515532,Middle East respiratory syndrome coronavirus (MERS-CoV): evidence and speculations,Abdel-Moneim AS.,Arch Virol. 2014 Jul;159(7):1575-84. doi: 10.1007/s00705-014-1995-5. Epub 2014 Feb 11.,Abdel-Moneim AS,Arch Virol,2014,2/12/14,PMC7086939,,10.1007/s00705-014-1995-5
32218527,Identifying SARS-CoV-2-related coronaviruses in Malayan pangolins,"Lam TT, Jia N, Zhang YW, Shum MH, Jiang JF, Zhu HC, Tong YG, Shi YX, Ni XB, Liao YS, Li WJ, Jiang BG, Wei W, Yuan TT, Zheng K, Cui XM, Li J, Pei GQ, Qiang X, Cheung WY, Li LF, Sun FF, Qin S, Huang JC, Leung GM, Holmes EC, Hu YL, Guan Y, Cao WC.",Nature. 2020 Jul;583(7815):282-285. doi: 10.1038/s41586-020-2169-0. Epub 2020 Mar 26.,Lam TT,Nature,2020,3/29/20,,,10.1038/s41586-020-2169-0
22012463,Bat severe acute respiratory syndrome-like coronavirus ORF3b homologues display different interferon antagonist activities,"Zhou P, Li H, Wang H, Wang LF, Shi Z.",J Gen Virol. 2012 Feb;93(Pt 2):275-281. doi: 10.1099/vir.0.033589-0. Epub 2011 Oct 19.,Zhou P,J Gen Virol,2012,10/21/11,,,10.1099/vir.0.033589-0
29273042,Coronavirus and paramyxovirus in bats from Northwest Italy,"Rizzo F, Edenborough KM, Toffoli R, Culasso P, Zoppi S, Dondo A, Robetto S, Rosati S, Lander A, Kurth A, Orusa R, Bertolotti L, Mandola ML.",BMC Vet Res. 2017 Dec 22;13(1):396. doi: 10.1186/s12917-017-1307-x.,Rizzo F,BMC Vet Res,2017,12/24/17,PMC5741894,,10.1186/s12917-017-1307-x
30735813,Geographical structure of bat SARS-related coronaviruses,"Yu P, Hu B, Shi ZL, Cui J.",Infect Genet Evol. 2019 Apr;69:224-229. doi: 10.1016/j.meegid.2019.02.001. Epub 2019 Feb 6.,Yu P,Infect Genet Evol,2019,2/9/19,PMC7106260,,10.1016/j.meegid.2019.02.001
23232719,Human coronavirus EMC does not require the SARS-coronavirus receptor and maintains broad replicative capability in mammalian cell lines,"Müller MA, Raj VS, Muth D, Meyer B, Kallies S, Smits SL, Wollny R, Bestebroer TM, Specht S, Suliman T, Zimmermann K, Binger T, Eckerle I, Tschapka M, Zaki AM, Osterhaus AD, Fouchier RA, Haagmans BL, Drosten C.",mBio. 2012 Dec 11;3(6):e00515-12. doi: 10.1128/mBio.00515-12.,Müller MA,mBio,2012,12/13/12,PMC3520110,,10.1128/mBio.00515-12
31967321,Cross-species transmission of the newly identified coronavirus 2019-nCoV,"Ji W, Wang W, Zhao X, Zai J, Li X.",J Med Virol. 2020 Apr;92(4):433-440. doi: 10.1002/jmv.25682.,Ji W,J Med Virol,2020,1/23/20,PMC7138088,,10.1002/jmv.25682
24253287,Evaluation of serologic and antigenic relationships between middle eastern respiratory syndrome coronavirus and other coronaviruses to develop vaccine platforms for the rapid response to emerging coronaviruses,"Agnihothram S, Gopal R, Yount BL Jr, Donaldson EF, Menachery VD, Graham RL, Scobey TD, Gralinski LE, Denison MR, Zambon M, Baric RS.",J Infect Dis. 2014 Apr 1;209(7):995-1006. doi: 10.1093/infdis/jit609. Epub 2013 Nov 18.,Agnihothram S,J Infect Dis,2014,11/21/13,PMC3952667,,10.1093/infdis/jit609
32159237,From SARS and MERS CoVs to SARS-CoV-2: Moving toward more biased codon usage in viral structural and nonstructural genes,"Kandeel M, Ibrahim A, Fayez M, Al-Nazawi M.",J Med Virol. 2020 Jun;92(6):660-666. doi: 10.1002/jmv.25754. Epub 2020 Mar 16.,Kandeel M,J Med Virol,2020,3/12/20,PMC7228358,,10.1002/jmv.25754
32442210,The hallmarks of COVID-19 disease,"Tang D, Comish P, Kang R.",PLoS Pathog. 2020 May 22;16(5):e1008536. doi: 10.1371/journal.ppat.1008536. eCollection 2020 May.,Tang D,PLoS Pathog,2020,5/23/20,PMC7244094,,10.1371/journal.ppat.1008536
32104911,"Evolutionary history, potential intermediate animal host, and cross-species analyses of SARS-CoV-2","Li X, Zai J, Zhao Q, Nie Q, Li Y, Foley BT, Chaillon A.",J Med Virol. 2020 Jun;92(6):602-611. doi: 10.1002/jmv.25731. Epub 2020 Mar 11.,Li X,J Med Virol,2020,2/28/20,PMC7228310,,10.1002/jmv.25731
30832426,Can Bats Serve as Reservoirs for Arboviruses?,"Fagre AC, Kading RC.",Viruses. 2019 Mar 3;11(3):215. doi: 10.3390/v11030215.,Fagre AC,Viruses,2019,3/6/19,PMC6466281,,10.3390/v11030215
31994738,The 2019-new coronavirus epidemic: Evidence for virus evolution,"Benvenuto D, Giovanetti M, Ciccozzi A, Spoto S, Angeletti S, Ciccozzi M.",J Med Virol. 2020 Apr;92(4):455-459. doi: 10.1002/jmv.25688. Epub 2020 Feb 7.,Benvenuto D,J Med Virol,2020,1/30/20,PMC7166400,,10.1002/jmv.25688
30248143,The papain-like protease determines a virulence trait that varies among members of the SARS-coronavirus species,"Niemeyer D, Mösbauer K, Klein EM, Sieberg A, Mettelman RC, Mielech AM, Dijkman R, Baker SC, Drosten C, Müller MA.",PLoS Pathog. 2018 Sep 24;14(9):e1007296. doi: 10.1371/journal.ppat.1007296. eCollection 2018 Sep.,Niemeyer D,PLoS Pathog,2018,9/25/18,PMC6171950,,10.1371/journal.ppat.1007296
26063432,Two Mutations Were Critical for Bat-to-Human Transmission of Middle East Respiratory Syndrome Coronavirus,"Yang Y, Liu C, Du L, Jiang S, Shi Z, Baric RS, Li F.",J Virol. 2015 Sep;89(17):9119-23. doi: 10.1128/JVI.01279-15. Epub 2015 Jun 10.,Yang Y,J Virol,2015,6/12/15,PMC4524054,,10.1128/JVI.01279-15
25039866,From SARS to MERS: crystallographic studies on coronaviral proteases enable antiviral drug design,Hilgenfeld R.,FEBS J. 2014 Sep;281(18):4085-96. doi: 10.1111/febs.12936. Epub 2014 Aug 11.,Hilgenfeld R,FEBS J,2014,7/22/14,PMC7163996,,10.1111/febs.12936
24012996,From SARS to MERS: 10 years of research on highly pathogenic human coronaviruses,"Hilgenfeld R, Peiris M.",Antiviral Res. 2013 Oct;100(1):286-95. doi: 10.1016/j.antiviral.2013.08.015. Epub 2013 Sep 6.,Hilgenfeld R,Antiviral Res,2013,9/10/13,PMC7113673,,10.1016/j.antiviral.2013.08.015
28122983,Innate Immune Responses of Bat and Human Cells to Filoviruses: Commonalities and Distinctions,"Kuzmin IV, Schwarz TM, Ilinykh PA, Jordan I, Ksiazek TG, Sachidanandam R, Basler CF, Bukreyev A.",J Virol. 2017 Mar 29;91(8):e02471-16. doi: 10.1128/JVI.02471-16. Print 2017 Apr 15.,Kuzmin IV,J Virol,2017,1/27/17,PMC5375674,,10.1128/JVI.02471-16
29186061,"Identification of Alpha and Beta Coronavirus in Wildlife Species in France: Bats, Rodents, Rabbits, and Hedgehogs","Monchatre-Leroy E, Boué F, Boucher JM, Renault C, Moutou F, Ar Gouilh M, Umhang G.",Viruses. 2017 Nov 29;9(12):364. doi: 10.3390/v9120364.,Monchatre-Leroy E,Viruses,2017,11/30/17,PMC5744139,,10.3390/v9120364
30171801,Retrospective detection and phylogenetic analysis of swine acute diarrhoea syndrome coronavirus in pigs in southern China,"Zhou L, Sun Y, Lan T, Wu R, Chen J, Wu Z, Xie Q, Zhang X, Ma J.",Transbound Emerg Dis. 2019 Mar;66(2):687-695. doi: 10.1111/tbed.13008. Epub 2019 Jan 9.,Zhou L,Transbound Emerg Dis,2019,9/2/18,PMC7168530,,10.1111/tbed.13008
29258555,Detection and full genome characterization of two beta CoV viruses related to Middle East respiratory syndrome from bats in Italy,"Moreno A, Lelli D, de Sabato L, Zaccaria G, Boni A, Sozzi E, Prosperi A, Lavazza A, Cella E, Castrucci MR, Ciccozzi M, Vaccari G.",Virol J. 2017 Dec 19;14(1):239. doi: 10.1186/s12985-017-0907-1.,Moreno A,Virol J,2017,12/21/17,PMC5735805,,10.1186/s12985-017-0907-1
30531999,Replication of MERS and SARS coronaviruses in bat cells offers insights to their ancestral origins,"Lau SKP, Fan RYY, Luk HKH, Zhu L, Fung J, Li KSM, Wong EYM, Ahmed SS, Chan JFW, Kok RKH, Chan KH, Wernery U, Yuen KY, Woo PCY.",Emerg Microbes Infect. 2018 Dec 10;7(1):209. doi: 10.1038/s41426-018-0208-9.,Lau SKP,Emerg Microbes Infect,2018,12/12/18,PMC6286955,,10.1038/s41426-018-0208-9
32048560,The global spread of 2019-nCoV: a molecular evolutionary analysis,"Benvenuto D, Giovanetti M, Salemi M, Prosperi M, De Flora C, Junior Alcantara LC, Angeletti S, Ciccozzi M.",Pathog Glob Health. 2020 Mar;114(2):64-67. doi: 10.1080/20477724.2020.1725339. Epub 2020 Feb 12.,Benvenuto D,Pathog Glob Health,2020,2/13/20,PMC7099638,,10.1080/20477724.2020.1725339
27644155,Understanding bat SARS-like coronaviruses for the preparation of future coronavirus outbreaks - Implications for coronavirus vaccine development,"Ng OW, Tan YJ.",Hum Vaccin Immunother. 2017 Jan 2;13(1):186-189. doi: 10.1080/21645515.2016.1228500. Epub 2016 Sep 20.,Ng OW,Hum Vaccin Immunother,2017,9/21/16,PMC5287300,,10.1080/21645515.2016.1228500
25114257,Receptor usage and cell entry of bat coronavirus HKU4 provide insight into bat-to-human transmission of MERS coronavirus,"Yang Y, Du L, Liu C, Wang L, Ma C, Tang J, Baric RS, Jiang S, Li F.",Proc Natl Acad Sci U S A. 2014 Aug 26;111(34):12516-21. doi: 10.1073/pnas.1405889111. Epub 2014 Aug 11.,Yang Y,Proc Natl Acad Sci U S A,2014,8/13/14,PMC4151778,,10.1073/pnas.1405889111
30110630,Adaptive Evolution of MERS-CoV to Species Variation in DPP4,"Letko M, Miazgowicz K, McMinn R, Seifert SN, Sola I, Enjuanes L, Carmody A, van Doremalen N, Munster V.",Cell Rep. 2018 Aug 14;24(7):1730-1737. doi: 10.1016/j.celrep.2018.07.045.,Letko M,Cell Rep,2018,8/16/18,PMC7104223,,10.1016/j.celrep.2018.07.045
32647346,SARS-CoV-2 and bat RaTG13 spike glycoprotein structures inform on virus evolution and furin-cleavage effects,"Wrobel AG, Benton DJ, Xu P, Roustan C, Martin SR, Rosenthal PB, Skehel JJ, Gamblin SJ.",Nat Struct Mol Biol. 2020 Aug;27(8):763-767. doi: 10.1038/s41594-020-0468-7. Epub 2020 Jul 9.,Wrobel AG,Nat Struct Mol Biol,2020,7/11/20,,,10.1038/s41594-020-0468-7
20960282,Immunogenicity of the spike glycoprotein of bat SARS-like coronavirus,"Hou YX, Peng C, Han ZG, Zhou P, Chen JG, Shi ZL.",Virol Sin. 2010 Feb;25(1):36-44. doi: 10.1007/s12250-010-3096-2. Epub 2010 Feb 12.,Hou YX,Virol Sin,2010,10/21/10,PMC7090579,,10.1007/s12250-010-3096-2
27696819,Putative Receptor Binding Domain of Bat-Derived Coronavirus HKU9 Spike Protein: Evolution of Betacoronavirus Receptor Binding Motifs,"Huang C, Qi J, Lu G, Wang Q, Yuan Y, Wu Y, Zhang Y, Yan J, Gao GF.",Biochemistry. 2016 Nov 1;55(43):5977-5988. doi: 10.1021/acs.biochem.6b00790. Epub 2016 Oct 18.,Huang C,Biochemistry,2016,10/5/16,PMC7075523,,10.1021/acs.biochem.6b00790
30646495,Potent MERS-CoV Fusion Inhibitory Peptides Identified from HR2 Domain in Spike Protein of Bat Coronavirus HKU4,"Xia S, Lan Q, Pu J, Wang C, Liu Z, Xu W, Wang Q, Liu H, Jiang S, Lu L.",Viruses. 2019 Jan 14;11(1):56. doi: 10.3390/v11010056.,Xia S,Viruses,2019,1/17/19,PMC6357153,,10.3390/v11010056
28580734,SARS-unique fold in the Rousettus bat coronavirus HKU9,"Hammond RG, Tan X, Johnson MA.",Protein Sci. 2017 Sep;26(9):1726-1737. doi: 10.1002/pro.3208. Epub 2017 Jun 15.,Hammond RG,Protein Sci,2017,6/6/17,PMC5563143,,10.1002/pro.3208
26920708,Coexistence of multiple coronaviruses in several bat colonies in an abandoned mineshaft,"Ge XY, Wang N, Zhang W, Hu B, Li B, Zhang YZ, Zhou JH, Luo CM, Yang XL, Wu LJ, Wang B, Zhang Y, Li ZX, Shi ZL.",Virol Sin. 2016 Feb;31(1):31-40. doi: 10.1007/s12250-016-3713-9. Epub 2016 Feb 18.,Ge XY,Virol Sin,2016,2/28/16,PMC7090819,,10.1007/s12250-016-3713-9
24027335,Chimeric exchange of coronavirus nsp5 proteases (3CLpro) identifies common and divergent regulatory determinants of protease activity,"Stobart CC, Sexton NR, Munjal H, Lu X, Molland KL, Tomar S, Mesecar AD, Denison MR.",J Virol. 2013 Dec;87(23):12611-8. doi: 10.1128/JVI.02050-13. Epub 2013 Sep 11.,Stobart CC,J Virol,2013,9/13/13,PMC3838113,,10.1128/JVI.02050-13
32503817,Potential Antiviral Drugs for SARS-Cov-2 Treatment: Preclinical Findings and Ongoing Clinical Research,"Bimonte S, Crispo A, Amore A, Celentano E, Cuomo A, Cascella M.",In Vivo. 2020 Jun;34(3 Suppl):1597-1602. doi: 10.21873/invivo.11949.,Bimonte S,In Vivo,2020,6/7/20,,,10.21873/invivo.11949
30294323,Going to Bat(s) for Studies of Disease Tolerance,"Mandl JN, Schneider C, Schneider DS, Baker ML.",Front Immunol. 2018 Sep 20;9:2112. doi: 10.3389/fimmu.2018.02112. eCollection 2018.,Mandl JN,Front Immunol,2018,10/9/18,PMC6158362,,10.3389/fimmu.2018.02112
28159163,Epidemic and Emerging Coronaviruses (Severe Acute Respiratory Syndrome and Middle East Respiratory Syndrome),Hui DS.,Clin Chest Med. 2017 Mar;38(1):71-86. doi: 10.1016/j.ccm.2016.11.007. Epub 2016 Dec 16.,Hui DS,Clin Chest Med,2017,2/5/17,PMC7131795,,10.1016/j.ccm.2016.11.007
26330152,[Bats and Viruses: complex relationships],Rodhain F.,Bull Soc Pathol Exot. 2015 Oct;108(4):272-89. doi: 10.1007/s13149-015-0448-z. Epub 2015 Sep 1.,Rodhain F,Bull Soc Pathol Exot,2015,9/3/15,PMC7097034,,10.1007/s13149-015-0448-z
32351056,Decoding the evolution and transmissions of the novel pneumonia coronavirus (SARS-CoV-2 / HCoV-19) using whole genomic data,"Yu WB, Tang GD, Zhang L, Corlett RT.",Zool Res. 2020 May 18;41(3):247-257. doi: 10.24272/j.issn.2095-8137.2020.022.,Yu WB,Zool Res,2020,5/1/20,PMC7231477,,10.24272/j.issn.2095-8137.2020.022
32036774,"Emerging novel coronavirus (2019-nCoV)-current scenario, evolutionary perspective based on genome analysis and recent developments","Malik YS, Sircar S, Bhat S, Sharun K, Dhama K, Dadar M, Tiwari R, Chaicumpa W.",Vet Q. 2020 Dec;40(1):68-76. doi: 10.1080/01652176.2020.1727993.,Malik YS,Vet Q,2020,2/11/20,PMC7054940,,10.1080/01652176.2020.1727993
32048160,Bat origin of a new human coronavirus: there and back again,"Li X, Song Y, Wong G, Cui J.",Sci China Life Sci. 2020 Mar;63(3):461-462. doi: 10.1007/s11427-020-1645-7. Epub 2020 Feb 9.,Li X,Sci China Life Sci,2020,2/13/20,PMC7088771,,10.1007/s11427-020-1645-7
32359479,"COVID-19: Epidemiology, Evolution, and Cross-Disciplinary Perspectives","Sun J, He WT, Wang L, Lai A, Ji X, Zhai X, Li G, Suchard MA, Tian J, Zhou J, Veit M, Su S.",Trends Mol Med. 2020 May;26(5):483-495. doi: 10.1016/j.molmed.2020.02.008. Epub 2020 Mar 21.,Sun J,Trends Mol Med,2020,5/4/20,PMC7118693,,10.1016/j.molmed.2020.02.008
25997928,Bats as reservoirs of severe emerging infectious diseases,"Han HJ, Wen HL, Zhou CM, Chen FF, Luo LM, Liu JW, Yu XJ.",Virus Res. 2015 Jul 2;205:1-6. doi: 10.1016/j.virusres.2015.05.006. Epub 2015 May 18.,Han HJ,Virus Res,2015,5/23/15,PMC7132474,,10.1016/j.virusres.2015.05.006
29511173,Rapid detection of MERS coronavirus-like viruses in bats: pote1ntial for tracking MERS coronavirus transmission and animal origin,"Woo PCY, Lau SKP, Chen Y, Wong EYM, Chan KH, Chen H, Zhang L, Xia N, Yuen KY.",Emerg Microbes Infect. 2018 Mar 7;7(1):18. doi: 10.1038/s41426-017-0016-7.,Woo PCY,Emerg Microbes Infect,2018,3/8/18,PMC5841240,,10.1038/s41426-017-0016-7
29454637,Tools to study pathogen-host interactions in bats,"Banerjee A, Misra V, Schountz T, Baker ML.",Virus Res. 2018 Mar 15;248:5-12. doi: 10.1016/j.virusres.2018.02.013. Epub 2018 Feb 15.,Banerjee A,Virus Res,2018,2/19/18,PMC7114677,,10.1016/j.virusres.2018.02.013
22278237,Discovery of seven novel Mammalian and avian coronaviruses in the genus deltacoronavirus supports bat coronaviruses as the gene source of alphacoronavirus and betacoronavirus and avian coronaviruses as the gene source of gammacoronavirus and deltacoronavirus,"Woo PC, Lau SK, Lam CS, Lau CC, Tsang AK, Lau JH, Bai R, Teng JL, Tsang CC, Wang M, Zheng BJ, Chan KH, Yuen KY.",J Virol. 2012 Apr;86(7):3995-4008. doi: 10.1128/JVI.06540-11. Epub 2012 Jan 25.,Woo PC,J Virol,2012,1/27/12,PMC3302495,,10.1128/JVI.06540-11
17848070,"Bats, civets and the emergence of SARS","Wang LF, Eaton BT.",Curr Top Microbiol Immunol. 2007;315:325-44. doi: 10.1007/978-3-540-70962-6_13.,Wang LF,Curr Top Microbiol Immunol,2007,9/13/07,PMC7120088,,10.1007/978-3-540-70962-6_13
30804542,Dampened NLRP3-mediated inflammation in bats and implications for a special viral reservoir host,"Ahn M, Anderson DE, Zhang Q, Tan CW, Lim BL, Luko K, Wen M, Chia WN, Mani S, Wang LC, Ng JHJ, Sobota RM, Dutertre CA, Ginhoux F, Shi ZL, Irving AT, Wang LF.",Nat Microbiol. 2019 May;4(5):789-799. doi: 10.1038/s41564-019-0371-3. Epub 2019 Feb 25.,Ahn M,Nat Microbiol,2019,2/27/19,PMC7096966,,10.1038/s41564-019-0371-3
25211075,Bat origins of MERS-CoV supported by bat coronavirus HKU4 usage of human receptor CD26,"Wang Q, Qi J, Yuan Y, Xuan Y, Han P, Wan Y, Ji W, Li Y, Wu Y, Wang J, Iwamoto A, Woo PC, Yuen KY, Yan J, Lu G, Gao GF.",Cell Host Microbe. 2014 Sep 10;16(3):328-37. doi: 10.1016/j.chom.2014.08.009.,Wang Q,Cell Host Microbe,2014,9/12/14,PMC7104937,,10.1016/j.chom.2014.08.009
31462558,Peptidoglycan-Associated Cyclic Lipopeptide Disrupts Viral Infectivity,"Johnson BA, Hage A, Kalveram B, Mears M, Plante JA, Rodriguez SE, Ding Z, Luo X, Bente D, Bradrick SS, Freiberg AN, Popov V, Rajsbaum R, Rossi S, Russell WK, Menachery VD.",J Virol. 2019 Oct 29;93(22):e01282-19. doi: 10.1128/JVI.01282-19. Print 2019 Nov 15.,Johnson BA,J Virol,2019,8/30/19,PMC6819921,,10.1128/JVI.01282-19
30857374,Bat Research Networks and Viral Surveillance: Gaps and Opportunities in Western Asia,"Phelps KL, Hamel L, Alhmoud N, Ali S, Bilgin R, Sidamonidze K, Urushadze L, Karesh W, Olival KJ.",Viruses. 2019 Mar 10;11(3):240. doi: 10.3390/v11030240.,Phelps KL,Viruses,2019,3/13/19,PMC6466127,,10.3390/v11030240
17451830,A review of studies on animal reservoirs of the SARS coronavirus,"Shi Z, Hu Z.",Virus Res. 2008 Apr;133(1):74-87. doi: 10.1016/j.virusres.2007.03.012. Epub 2007 Apr 23.,Shi Z,Virus Res,2008,4/25/07,PMC7114516,,10.1016/j.virusres.2007.03.012
21763784,SARS-Coronavirus ancestor's foot-prints in South-East Asian bat colonies and the refuge theory,"Gouilh MA, Puechmaille SJ, Gonzalez JP, Teeling E, Kittayapong P, Manuguerra JC.",Infect Genet Evol. 2011 Oct;11(7):1690-702. doi: 10.1016/j.meegid.2011.06.021. Epub 2011 Jul 8.,Gouilh MA,Infect Genet Evol,2011,7/19/11,PMC7106191,,10.1016/j.meegid.2011.06.021
29789360,Bat Caliciviruses and Human Noroviruses Are Antigenically Similar and Have Overlapping Histo-Blood Group Antigen Binding Profiles,"Kocher JF, Lindesmith LC, Debbink K, Beall A, Mallory ML, Yount BL, Graham RL, Huynh J, Gates JE, Donaldson EF, Baric RS.",mBio. 2018 May 22;9(3):e00869-18. doi: 10.1128/mBio.00869-18.,Kocher JF,mBio,2018,5/24/18,PMC5964351,,10.1128/mBio.00869-18
32022275,The first two cases of 2019-nCoV in Italy: Where they come from?,"Giovanetti M, Benvenuto D, Angeletti S, Ciccozzi M.",J Med Virol. 2020 May;92(5):518-521. doi: 10.1002/jmv.25699. Epub 2020 Feb 12.,Giovanetti M,J Med Virol,2020,2/6/20,PMC7166327,,10.1002/jmv.25699
20567988,Angiotensin-converting enzyme 2 (ACE2) proteins of different bat species confer variable susceptibility to SARS-CoV entry,"Hou Y, Peng C, Yu M, Li Y, Han Z, Li F, Wang LF, Shi Z.",Arch Virol. 2010 Oct;155(10):1563-9. doi: 10.1007/s00705-010-0729-6. Epub 2010 Jun 22.,Hou Y,Arch Virol,2010,6/23/10,PMC7086629,,10.1007/s00705-010-0729-6
28654418,"A New Bat-HKU2-like Coronavirus in Swine, China, 2017","Gong L, Li J, Zhou Q, Xu Z, Chen L, Zhang Y, Xue C, Wen Z, Cao Y.",Emerg Infect Dis. 2017 Sep;23(9):1607-9. doi: 10.3201/eid2309.170915. Epub 2017 Sep 17.,Gong L,Emerg Infect Dis,2017,6/28/17,PMC5572857,,10.3201/eid2309.170915
32416074,A Novel Bat Coronavirus Closely Related to SARS-CoV-2 Contains Natural Insertions at the S1/S2 Cleavage Site of the Spike Protein,"Zhou H, Chen X, Hu T, Li J, Song H, Liu Y, Wang P, Liu D, Yang J, Holmes EC, Hughes AC, Bi Y, Shi W.",Curr Biol. 2020 Jun 8;30(11):2196-2203.e3. doi: 10.1016/j.cub.2020.05.023. Epub 2020 May 11.,Zhou H,Curr Biol,2020,5/17/20,PMC7211627,,10.1016/j.cub.2020.05.023
31996413,Discovery of Bat Coronaviruses through Surveillance and Probe Capture-Based Next-Generation Sequencing,"Li B, Si HR, Zhu Y, Yang XL, Anderson DE, Shi ZL, Wang LF, Zhou P.",mSphere. 2020 Jan 29;5(1):e00807-19. doi: 10.1128/mSphere.00807-19.,Li B,mSphere,2020,1/31/20,PMC6992374,,10.1128/mSphere.00807-19
31498797,Peptide presentation by bat MHC class I provides new insight into the antiviral immunity of bats,"Lu D, Liu K, Zhang D, Yue C, Lu Q, Cheng H, Wang L, Chai Y, Qi J, Wang LF, Gao GF, Liu WJ.",PLoS Biol. 2019 Sep 9;17(9):e3000436. doi: 10.1371/journal.pbio.3000436. eCollection 2019 Sep.,Lu D,PLoS Biol,2019,9/10/19,PMC6752855,,10.1371/journal.pbio.3000436
16195424,Bats are natural reservoirs of SARS-like coronaviruses,"Li W, Shi Z, Yu M, Ren W, Smith C, Epstein JH, Wang H, Crameri G, Hu Z, Zhang H, Zhang J, McEachern J, Field H, Daszak P, Eaton BT, Zhang S, Wang LF.",Science. 2005 Oct 28;310(5748):676-9. doi: 10.1126/science.1118391. Epub 2005 Sep 29.,Li W,Science,2005,10/1/05,,,10.1126/science.1118391
26262818,Deciphering the bat virome catalog to better understand the ecological diversity of bat viruses and the bat origin of emerging infectious diseases,"Wu Z, Yang L, Ren X, He G, Zhang J, Yang J, Qian Z, Dong J, Sun L, Zhu Y, Du J, Yang F, Zhang S, Jin Q.",ISME J. 2016 Mar;10(3):609-20. doi: 10.1038/ismej.2015.138. Epub 2015 Aug 11.,Wu Z,ISME J,2016,8/12/15,PMC4817686,,10.1038/ismej.2015.138
18420807,"Genomic characterizations of bat coronaviruses (1A, 1B and HKU8) and evidence for co-infections in Miniopterus bats","Chu DKW, Peiris JSM, Chen H, Guan Y, Poon LLM.",J Gen Virol. 2008 May;89(Pt 5):1282-1287. doi: 10.1099/vir.0.83605-0.,Chu DKW,J Gen Virol,2008,4/19/08,,,10.1099/vir.0.83605-0
30426315,Molecular identification of Betacoronavirus in bats from Sardinia (Italy): first detection and phylogeny,"Lecis R, Mucedda M, Pidinchedda E, Pittau M, Alberti A.",Virus Genes. 2019 Feb;55(1):60-67. doi: 10.1007/s11262-018-1614-8. Epub 2018 Nov 13.,Lecis R,Virus Genes,2019,11/15/18,PMC7089328,,10.1007/s11262-018-1614-8
27576010,Middle East Respiratory Syndrome: Emergence of a Pathogenic Human Coronavirus,"Fehr AR, Channappanavar R, Perlman S.",Annu Rev Med. 2017 Jan 14;68:387-399. doi: 10.1146/annurev-med-051215-031152. Epub 2016 Aug 26.,Fehr AR,Annu Rev Med,2017,8/31/16,PMC5353356,NIHMS850012,10.1146/annurev-med-051215-031152
30572566,SARS-Like Coronavirus WIV1-CoV Does Not Replicate in Egyptian Fruit Bats (Rousettus aegyptiacus),"van Doremalen N, Schäfer A, Menachery VD, Letko M, Bushmaker T, Fischer RJ, Figueroa DM, Hanley PW, Saturday G, Baric RS, Munster VJ.",Viruses. 2018 Dec 19;10(12):727. doi: 10.3390/v10120727.,van Doremalen N,Viruses,2018,12/22/18,PMC6316779,,10.3390/v10120727
21766197,Detection of alpha and betacoronaviruses in multiple Iberian bat species,"Falcón A, Vázquez-Morón S, Casas I, Aznar C, Ruiz G, Pozo F, Perez-Breña P, Juste J, Ibáñez C, Garin I, Aihartza J, Echevarría JE.",Arch Virol. 2011 Oct;156(10):1883-90. doi: 10.1007/s00705-011-1057-1. Epub 2011 Jul 16.,Falcón A,Arch Virol,2011,7/19/11,PMC3181409,,10.1007/s00705-011-1057-1
30676269,What Have We Learned About Middle East Respiratory Syndrome Coronavirus Emergence in Humans? A Systematic Literature Review,"Dawson P, Malik MR, Parvez F, Morse SS.",Vector Borne Zoonotic Dis. 2019 Mar;19(3):174-192. doi: 10.1089/vbz.2017.2191. Epub 2019 Jan 24.,Dawson P,Vector Borne Zoonotic Dis,2019,1/25/19,PMC6396572,,10.1089/vbz.2017.2191
32325025,"COVID-19: A New Virus, but a Familiar Receptor and Cytokine Release Syndrome","Hirano T, Murakami M.",Immunity. 2020 May 19;52(5):731-733. doi: 10.1016/j.immuni.2020.04.003. Epub 2020 Apr 22.,Hirano T,Immunity,2020,4/24/20,PMC7175868,,10.1016/j.immuni.2020.04.003
