Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
A prospective power analysis and review of habitat characteristics used in studies of tree-roosting bats,"Lacki, MJ; Baker, MD",,,,ACTA CHIROPTEROLOGICA,2003,2003,5,2,,,,199,208,,10.3161/001.005.0211,,,31,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,3,1,2,1,2,1,4,0,0,3,1,2,0
"MESOZOIC SUBSIDENCE AND STRETCHING MODELS OF THE LITHOSPHERE IN SWITZERLAND (JURA, SWISS PLATEAU AND HELVETIC REALM)","LOUP, B",,,,ECLOGAE GEOLOGICAE HELVETIAE,1992,1992,85,3,,,,541,572,,,"SYMP ON THE GEODYNAMICS, RESOURCES AND HAZARDS OF THE SWISS MOLASSE BASIN","NOV 22-23, 1991",31,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,2,2,2,0,0,1,2,0,0,1,1,1,0,1,0,0,1,0,1,0,2,1,1,2,0
Reservoirs and vectors of emerging viruses,"Mackenzie, John S.; Jeggo, Martyn",,,,CURRENT OPINION IN VIROLOGY,APR 2013,2013,3,2,,,,170,179,,10.1016/j.coviro.2013.02.002,,,30,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,4,5,2,5,0
Using echolocation monitoring to model bat occupancy and inform mitigations at wind energy facilities,"Weller, Theodore J.; Baldwin, James A.",,,,JOURNAL OF WILDLIFE MANAGEMENT,APR 2012,2012,76,3,,,,619,631,,10.1002/jwmg.260,,,30,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,5,5,3,4,3,0
Late quaternary turnover of mammals in Borneo: the zooarchaeological record,Earl of Cranbrook,,,,BIODIVERSITY AND CONSERVATION,FEB 2010,2010,19,2,,,SI,373,391,,10.1007/s10531-009-9686-3,,,30,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,5,5,2,4,4,1,2,0,0
Rhabdovirus-Based Vaccine Platforms against Henipaviruses,"Kurup, Drishya; Wirblich, Christoph; Feldmann, Heinz; Marzi, Andrea; Schnell, Matthias J.",,,,JOURNAL OF VIROLOGY,JAN 2015,2015,89,1,,,,144,154,,10.1128/JVI.02308-14,,,29,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,5,5,6,3,0
Viral Metagenomics on Animals as a Tool for the Detection of Zoonoses Prior to Human Infection?,"Temmam, Sarah; Davoust, Bernard; Berenger, Jean-Michel; Raoult, Didier; Desnues, Christelle",,,,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,JUN 2014,2014,15,6,,,,10377,10397,,10.3390/ijms150610377,,,29,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,5,7,4,1,0
Use of DNA Barcoding to Reveal Species Composition of Convenience Seafood,"Huxley-Jones, Elizabeth; Shaw, Jennifer L. A.; Fletcher, Carly; Parnell, Juliette; Watts, Phillip C.",,,,CONSERVATION BIOLOGY,APR 2012,2012,26,2,,,,367,371,,10.1111/j.1523-1739.2011.01813.x,,,29,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,5,5,3,3,3,0
Quantifying Global Drivers of Zoonotic Bat Viruses: A Process-Based Perspective,"Brierley, Liam; Vonhof, Maarten J.; Olival, Kevin J.; Daszak, Peter; Jones, Kate E.",,,,AMERICAN NATURALIST,FEB 2016,2016,187,2,,,,E53,E64,,10.1086/684391,,,28,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,3,6,7,0
Diversity of coronavirus in bats from Eastern Thailand,"Wacharapluesadee, Supaporn; Duengkae, Prateep; Rodpan, Apaporn; Kaewpom, Thongchai; Maneeorn, Patarapol; Kanchanasaka, Budsabong; Yingsakmongkon, Sangchai; Sittidetboripat, Nuntaporn; Chareesaen, Chaiyaporn; Khlangsap, Nathawat; Pidthong, Apisit; Leadprathom, Kumron; Ghai, Siriporn; Epstein, Jonathan H.; Daszak, Peter; Olival, Kevin J.; Blair, Patrick J.; Callahan, Michael V.; Hemachudha, Thiravat",,,,VIROLOGY JOURNAL,APR 11 2015,2015,12,,,,,,,57,10.1186/s12985-015-0289-1,,,28,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,5,4,7,0
Use of Market Data to Assess Bushmeat Hunting Sustainability in Equatorial Guinea,"Allebone-Webb, S. M.; Kuempel, N. F.; Rist, J.; Cowlishaw, G.; Rowcliffe, J. M.; Milner-Gulland, E. J.",,,,CONSERVATION BIOLOGY,JUN 2011,2011,25,3,,,,597,606,,10.1111/j.1523-1739.2011.01681.x,,,28,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,4,5,3,1,3,0,0
Evaluation of a Global Positioning System Backpack Transmitter for Wild Turkey Research,"Guthrie, Joshua D.; Byrne, Michael E.; Hardin, Jason B.; Kochanny, Christopher O.; Skow, Kevin L.; Snelgrove, Robert T.; Butler, Matthew J.; Peterson, Markus J.; Chamberlain, Michael J.; Collier, Bret A.",,,,JOURNAL OF WILDLIFE MANAGEMENT,APR 2011,2011,75,3,,,,539,547,,10.1002/jwmg.137,,,28,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,0,3,4,4,5,3,0
Differential transcriptional modulation of biological processes in adipocyte triglyceride lipase and hormone-sensitive lipase-deficient mice,"Pinent, Montserrat; Hackl, Hubert; Burkard, Thomas Rainer; Prokesch, Andreas; Papak, Christine; Scheideler, Marcel; Haemmerle, Guenter; Zechner, Rudolf; Trajanoski, Zlatko; Strauss, Juliane Gertrude",,,,GENOMICS,JUL 2008,2008,92,1,,,,26,32,,10.1016/j.ygeno.2008.03.010,,,28,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,3,3,1,3,3,2,1,2,0,0
One Health proof of concept: Bringing a transdisciplinary approach to surveillance for zoonotic viruses at the human-wild animal interface,"Kelly, Terra R.; Karesh, William B.; Johnson, Christine Kreuder; Gilardi, Kirsten V. K.; Anthony, Simon J.; Goldstein, Tracey; Olson, Sarah H.; Machalaba, Catherine; Mazet, Jonna A. K.",PREDICT Consortium,,,PREVENTIVE VETERINARY MEDICINE,FEB 1 2017,2017,137,,B,,SI,112,118,,10.1016/j.prevetmed.2016.11.023,14th Symposium of the International-Society-for-Veterinary-Epidemiology-and-Economics (ISVEE),"NOV 03-07, 2015",27,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,9,0
LOW COST SURVEYING USING AN UNMANNED AERIAL VEHICLE,"Perez, M.; Aguera, F.; Carvajal, F.",,,"Grenzdorffer, G; Bill, R",UAV-G2013,2013,2013,,,,,,311,315,,,Conference on Unmanned Aerial Vehicles in Geomatics (UAV-g),"SEP 04-06, 2013",27,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,8,6,4,0
Engineering T Cells Specific for a Dominant Severe Acute Respiratory Syndrome Coronavirus CD8 T Cell Epitope,"Oh, Hsueh-Ling Janice; Chia, Adeline; Chang, Cynthia Xin Lei; Leong, Hoe Nam; Ling, Khoon Lin; Grotenbreg, Gijsbert M.; Gehring, Adam J.; Tan, Yee Joo; Bertoletti, Antonio",,,,JOURNAL OF VIROLOGY,OCT 2011,2011,85,20,,,,10464,10471,,10.1128/JVI.05039-11,,,27,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,2,1,2,13,0
Conserved residues in the putative catalytic triad of human bile acid coenzyme A : amino acid N-acyltransferase,"Sfakianos, MK; Wilson, L; Sakalian, M; Falany, CN; Barnes, S",,,,JOURNAL OF BIOLOGICAL CHEMISTRY,DEC 6 2002,2002,277,49,,,,47270,47275,,10.1074/jbc.M207463200,,,26,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,4,5,4,1,0,2,0,0,0,1,0,0,1,0,0
An infrared video camera system for monitoring diurnal and nocturnal raptors,"Delaney, DK; Grubb, TG; Garcelon, DK",,,,JOURNAL OF RAPTOR RESEARCH,DEC 1998,1998,32,4,,,,290,296,,,,,26,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,2,2,2,1,1,1,5,0,1,1,2,1,2,0,0,0,0
Foraging strategies of Southern sea lion females in the La Plata River Estuary (Argentina-Uruguay),"Rodriguez, Diego H.; Dassis, Mariela; Ponce de Leon, Alberto; Barreiro, Cesar; Farenga, Marcelo; Bastida, Ricardo O.; Davis, Randall W.",,,,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,APR-MAY 2013,2013,88-89,,,,SI,120,130,,10.1016/j.dsr2.2012.07.012,,,25,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,7,4,4,0,1,0
"Enriching agroecosystems with fruit-producing tree species favors the abundance and richness of frugivorous and nectarivorous bats in Veracruz, Mexico","Antonio Castro-Luna, Alejandro; Galindo-Gonzalez, Jorge",,,,MAMMALIAN BIOLOGY,2012,2012,77,1,,,,32,40,,10.1016/j.mambio.2011.06.009,,,25,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,3,2,1,6,2,0
Roost Selection by Male Indiana Myotis Following Forest Fires in Central Appalachian Hardwoods Forests,"Johnson, Joshua B.; Ford, W. Mark; Rodrigue, Jane L.; Edwards, John W.; Johnson, Catherine M.",,,,JOURNAL OF FISH AND WILDLIFE MANAGEMENT,NOV 2010,2010,1,2,,,,111,121,,10.3996/042010-JFWM-007,,,25,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,7,5,5,1,2,0
Chiropteran types I and II interferon genes inferred from genome sequencing traces by a statistical gene-family assembler,"Kepler, Thomas B.; Sample, Christopher; Hudak, Kathryn; Roach, Jeffrey; Haines, Albert; Walsh, Allyson; Ramsburg, Elizabeth A.",,,,BMC GENOMICS,JUL 21 2010,2010,11,,,,,,,444,10.1186/1471-2164-11-444,,,25,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,3,2,3,3,1,1,0
Serum-free transient protein production system based on adenoviral vector and PER.C6 technology: High yield and preserved bioactivity,"Havenga, M. J. E.; Holterman, L.; Melis, I.; Smits, S.; Kaspers, J.; Heemskerk, E.; van der Vlugt, R.; Koldijk, M.; Schouten, G. J.; Hateboer, G.; Brouwer, K.; Vogels, R.; Goudsmit, J.",,,,BIOTECHNOLOGY AND BIOENGINEERING,JUN 1 2008,2008,100,2,,,,273,283,,10.1002/bit.21757,,,25,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6,2,2,4,2,2,0,3,0
The importance of protected areas for the forest and endemic avifauna of sulawesi (Indonesia),"Lee, Tien Ming; Sodhi, Navjot S.; Prawiradilaga, Dewi M.",,,,ECOLOGICAL APPLICATIONS,SEP 2007,2007,17,6,,,,1727,1741,,10.1890/06-1256.1,,,25,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,1,4,1,2,1,1,2,1,2,0,0
Water provision for domestic ducks kept indoors - a review on the grounds of literature and own experiences.,"Knierim, U; Bulheller, MA; Kuhnt, K; Hartung, J",,,,DEUTSCHE TIERARZTLICHE WOCHENSCHRIFT,MAR 2004,2004,111,3,,,,115,118,,,,,25,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,1,3,3,1,1,1,4,2,1,1,0
Population dynamics of Alabama beach mice (Peromyscus polionotus ammobates) following Hurricane Opal,"Swilling, WR; Wooten, MC; Holler, NR; Lynn, WJ",,,,AMERICAN MIDLAND NATURALIST,OCT 1998,1998,140,2,,,,287,298,,10.1674/0003-0031(1998)140[0287:PDOABM]2.0.CO;2,,,25,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,2,1,0,4,3,1,2,1,0,0,3,2,0,0
Evaluation of solar disinfection of E. coli under Sub-Saharan field conditions using a 25L borosilicate glass batch reactor fitted with a compound parabolic collector,"Nalwanga, R.; Quilty, B.; Muyanja, C.; Fernandez-Ibanez, P.; McGuigan, K. G.",,,,SOLAR ENERGY,FEB 2014,2014,100,,,,,195,202,,10.1016/j.solener.2013.12.011,,,24,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,6,6,2,0
Protected areas in boreal Canada: a baseline and considerations for the continued development of a representative and effective reserve network,"Andrew, Margaret E.; Wulder, Michael A.; Cardille, Jeffrey A.",,,,ENVIRONMENTAL REVIEWS,2014,2014,22,2,,,,135,160,,10.1139/er-2013-0056,,,24,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,5,7,4,0
A SURVEY OF FALLOW PRACTICES AND WEED FLORAS IN WHEAT STUBBLE AND GRAIN-SORGHUM IN NORTHERN NEW-SOUTH-WALES,"FELTON, WL; WICKS, GA; WELSBY, SM",,,,AUSTRALIAN JOURNAL OF EXPERIMENTAL AGRICULTURE,1994,1994,34,2,,,,229,236,,10.1071/EA9940229,,,24,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,3,0,2,1,0,5,1,1,0,0,1,1,2,0,1,1,0
Comparative analysis of rodent and small mammal viromes to better understand the wildlife origin of emerging infectious diseases,"Wu, Zhiqiang; Lu, Liang; Du, Jiang; Yang, Li; Ren, Xianwen; Liu, Bo; Jiang, Jinyong; Yang, Jian; Dong, Jie; Sun, Lilian; Zhu, Yafang; Li, Yuhui; Zheng, Dandan; Zhang, Chi; Su, Haoxiang; Zheng, Yuting; Zhou, Hongning; Zhu, Guangjian; Li, Hongying; Chmura, Aleksei; Yang, Fan; Daszak, Peter; Wang, Jianwei; Liu, Qiyong; Jin, Qi",,,,MICROBIOME,OCT 3 2018,2018,6,,,,,,,178,10.1186/s40168-018-0554-9,,,23,7.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,8,0
"Estimating bird and bat fatality at wind farms: a practical overview of estimators, their assumptions and limitations","Bernardino, J.; Bispo, R.; Costa, H.; Mascarenhas, M.",,,,NEW ZEALAND JOURNAL OF ZOOLOGY,MAR 1 2013,2013,40,1,,,,63,74,,10.1080/03014223.2012.758155,,,23,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,4,4,2,3,0
