"","X.1","X","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","sample_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","gene_targets_simplified","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","family"
"124",581,581,760,"coronavirus infection and diversity in bats in the australasian region","Smith et al.","Ecohealth",2016,30,14,0.466667,"Miniopterus australis","alphacoronavirus",NA,"","","HKU8","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"faeces or anal swab or intestinal content or oropharyngeal swab","Australia","S","far-north Queensland","",NA,NA,"",2006,"",2009,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","pooled swabs/samples","pooled",1,1,1,1,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Miniopterus australis","MINIOPTERIDAE"
"125",582,582,761,"coronavirus infection and diversity in bats in the australasian region","Smith et al.","Ecohealth",2016,154,38,0.246753,"Miniopterus australis","alphacoronavirus",NA,"","","HKU8","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"faeces or anal swab or intestinal content or oropharyngeal swab","Australia","S","south-east Queensland","",NA,NA,"",2006,"",2009,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","pooled swabs/samples","pooled",1,1,1,1,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Miniopterus australis","MINIOPTERIDAE"
"126",583,583,762,"coronavirus infection and diversity in bats in the australasian region","Smith et al.","Ecohealth",2016,59,6,0.101695,"Miniopterus schreibersii","alphacoronavirus",NA,"","","HKU8","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"faeces or anal swab or intestinal content or oropharyngeal swab","Australia","S","Northern Territory","",NA,NA,"",2006,"",2009,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","pooled swabs/samples","pooled",1,1,1,1,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Miniopterus schreibersii","MINIOPTERIDAE"
"127",584,584,763,"coronavirus infection and diversity in bats in the australasian region","Smith et al.","Ecohealth",2016,238,63,0.264706,"Miniopterus schreibersii","alphacoronavirus",NA,"","","HKU8","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"faeces or anal swab or intestinal content or oropharyngeal swab","Australia","S","south-east Queensland","",NA,NA,"",2006,"",2009,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","pooled swabs/samples","pooled",1,1,1,1,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Miniopterus schreibersii","MINIOPTERIDAE"
"128",588,588,767,"coronavirus infection and diversity in bats in the australasian region","Smith et al.","Ecohealth",2016,64,13,0.203125,"Myotis macropus","alphacoronavirus",NA,"","","","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"faeces or anal swab or intestinal content or oropharyngeal swab","Australia","S","south-east Queensland","",NA,NA,"",2006,"",2009,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","pooled swabs/samples","pooled",1,1,1,1,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Myotis macropus","VESPERTILIONIDAE"
"129",593,593,772,"coronavirus infection and diversity in bats in the australasian region","Smith et al.","Ecohealth",2016,4,1,0.25,"Vespadelus pumilus","alphacoronavirus",NA,"","","","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"faeces or anal swab or intestinal content or oropharyngeal swab","Australia","S","south-east Queensland","",NA,NA,"",2006,"",2009,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","pooled swabs/samples","pooled",1,1,1,1,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Vespadelus pumilus","VESPERTILIONIDAE"
"130",600,600,836,"coronaviruses in south african bats","Geldenhuys et al.","Vector Borne Zoonotic Dis",2013,14,1,0.071429,"Miniopterus natalensis","alphacoronavirus",NA,"","bat","Miniopterus-BtCoV Irene/SA/09","pooled","cross-sectional","RNA","double heminested RT-PCR","multiple","RdRp",NA,"faeces or rectal tissue/swab","South Africa","S"," Gauteng, Limpopo, North West","Irene Caves (Gauteng, site of positive coronavirus), Peppercorn cave in Modimole (Limpopo), Venterskroon in Thabela thabeng (North West) ",NA,NA,"2009",NA,"",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","faecal, rectal, or anal","pooled",1,1,1,1,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Miniopterus natalensis","MINIOPTERIDAE"
"131",602,602,838,"coronaviruses in south african bats","Geldenhuys et al.","Vector Borne Zoonotic Dis",2013,2,1,0.5,"Mops midas","alphacoronavirus",NA,"","bat","Mops-BtCoV1364/SA/11","single","cross-sectional","RNA","double heminested RT-PCR","multiple","RdRp",NA,"faecal swab","South Africa","S","Limpopo","Makhado,",NA,NA,"2011",NA,"",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","faecal, rectal, or anal","swab",1,1,1,1,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Mops midas","MOLOSSIDAE"
"132",607,607,843,"coronaviruses in south african bats","Geldenhuys et al.","Vector Borne Zoonotic Dis",2013,10,1,0.1,"Neoromicia capensis","alphacoronavirus",NA,"","bat","Neo-BtCoV167/SA/07","pooled","cross-sectional","RNA","double heminested RT-PCR","multiple","RdRp",NA,"faeces or rectal tissue/swab","South Africa","S","North West, Limpopo, Gauteng","Taung (North West, site of positive coronavirus), Pafuri, Kruger National Park (Limpopo), Free Me rehab (Gauteng)",NA,NA,"2007",NA,"",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","faecal, rectal, or anal","pooled",1,1,1,1,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Neoromicia capensis","VESPERTILIONIDAE"
"133",632,632,871,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,40,8,0.2,"Myotis daubentonii","alphacoronavirus",NA,"","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2013",NA,"October",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Myotis daubentonii","VESPERTILIONIDAE"
"134",633,633,872,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,53,9,0.169811,"Myotis daubentonii","alphacoronavirus",NA,"","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2014",NA,"October",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Myotis daubentonii","VESPERTILIONIDAE"
"135",634,634,873,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,4,1,0.25,"Myotis daubentonii","alphacoronavirus",NA,"","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2015",NA,"April",NA,"","","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,0,0,1,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Myotis daubentonii","VESPERTILIONIDAE"
"136",635,635,874,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,10,6,0.6,"Myotis daubentonii","alphacoronavirus",NA,"","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2015",NA,"October",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Myotis daubentonii","VESPERTILIONIDAE"
"137",636,636,875,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,11,6,0.545455,"Myotis daubentonii","alphacoronavirus",NA,"","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2015",NA,"November",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Myotis daubentonii","VESPERTILIONIDAE"
"138",638,638,877,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,58,13,0.224138,"Myotis daubentonii","alphacoronavirus",NA,"","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2016",NA,"September",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Myotis daubentonii","VESPERTILIONIDAE"
"139",642,642,881,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,2,1,0.5,"Myotis dasycneme","alphacoronavirus",NA,"","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2015",NA,"April",NA,"","","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,0,0,1,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Myotis dasycneme","VESPERTILIONIDAE"
"140",643,643,882,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,1,1,1,"Myotis dasycneme","alphacoronavirus",NA,"","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2015",NA,"November",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Myotis dasycneme","VESPERTILIONIDAE"
"141",644,644,883,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,6,1,0.166667,"Myotis dasycneme","alphacoronavirus",NA,"","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2016",NA,"September",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Myotis dasycneme","VESPERTILIONIDAE"
"142",648,648,887,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,2,1,0.5,"Myotis nattereri","alphacoronavirus",NA,"","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2014",NA,"October",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Myotis nattereri","VESPERTILIONIDAE"
"143",661,661,898,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,6,1,0.166667,"Pipistrellus pygmaeus","alphacoronavirus",NA,"","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Funen, Sollerup forest",NA,NA,"2013",NA,"August",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Pipistrellus pygmaeus","VESPERTILIONIDAE"
"144",662,662,899,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,9,1,0.111111,"Pipistrellus pygmaeus","alphacoronavirus",NA,"","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"roost feces,faeces","Denmark","N","","Vadum - mix of individual + floor samples from colony",NA,NA,"2014",NA,"June",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Pipistrellus pygmaeus","VESPERTILIONIDAE"
"145",664,664,1842,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,8,4,0.5,"Pipistrellus pygmaeus","alphacoronavirus",NA,"","","","pooled","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"roost feces,faeces","Denmark","N","","Borup - 5 individual samples, 3 from floor",NA,NA,"2015",NA,"September",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Pipistrellus pygmaeus","VESPERTILIONIDAE"
"146",669,669,906,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,1,1,1,"Eptesicus serotinus","alphacoronavirus",NA,"","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Tim - 1 individual",NA,NA,"2014",NA,"June",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Eptesicus serotinus","VESPERTILIONIDAE"
"147",670,670,1843,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,2,2,1,"Eptesicus serotinus","alphacoronavirus",NA,"","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"roost feces","Denmark","N","","Tim - 2 from floor",NA,NA,"2014",NA,"June",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Eptesicus serotinus","VESPERTILIONIDAE"
"148",672,672,908,"detection of polyoma and corona viruses in bats of canada","Misra et al.","J Gen Virol",2009,21,1,0.047619,"Myotis lucifugus","alphacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp ",NA,"pooled tissue (liver/lung/small intestine/brain/kidney/spleen)","Canada","N","Manitoba","St. George Cave",NA,NA,"2007",NA,"",NA,"","September","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","pooled tissue","tissue",0,1,0,0,NA,NA,"RdRp","Yes, for this study; also rabies submissions + found carcasses were processed","Yes","PCR","alphacoronavirus",1,"Myotis lucifugus","VESPERTILIONIDAE"
"149",673,673,909,"detection of polyoma and corona viruses in bats of canada","Misra et al.","J Gen Virol",2009,5,1,0.2,"Myotis lucifugus","alphacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp ",NA,"pooled tissue (liver/lung/small intestine/brain/kidney/spleen)","Canada","N","Manitoba","Dale's Cave",NA,NA,"2008",NA,"",NA,"","May","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","pooled tissue","tissue",0,0,0,1,NA,NA,"RdRp","Yes, for this study; also rabies submissions + found carcasses were processed","Yes","PCR","alphacoronavirus",1,"Myotis lucifugus","VESPERTILIONIDAE"
"150",674,674,910,"detection of polyoma and corona viruses in bats of canada","Misra et al.","J Gen Virol",2009,5,1,0.2,"Myotis lucifugus","alphacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp ",NA,"pooled tissue (liver/lung/small intestine/brain/kidney/spleen)","Canada","N","Manitoba","Abyss Cave",NA,NA,"2008",NA,"",NA,"","May","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","pooled tissue","tissue",0,0,0,1,NA,NA,"RdRp","Yes, for this study; also rabies submissions + found carcasses were processed","Yes","PCR","alphacoronavirus",1,"Myotis lucifugus","VESPERTILIONIDAE"
"151",677,677,917,"detection of severe acute respiratory syndrome-like, middle east respiratory syndrome-like bat coronaviruses and group h rotavirus in faeces of korean bats","Kim et al.","Transbound Emerg Dis",2016,4,2,0.5,"Miniopterus schreibersii","alphacoronavirus",NA,"","bat","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","South Korea","N","Munkyung","BGS Cave",NA,NA,"2015",NA,"",NA,"","December","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,0,1,0,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Miniopterus schreibersii","MINIOPTERIDAE"
"152",680,680,930,"detection of specific antibodies to the nucleocapsid protein fragments of severe acute respiratory syndrome-coronavirus and scotophilus bat coronavirus-512 in three insectivorous bat species","Chen YiNing et al.","Taiwan Veterinary Journal",2018,21,10,0.47619,"Scotophilus kuhlii","alphacoronavirus",NA,"","bat","Scotophilus bat CoV-512","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"faeces","Taiwan","N","Yunlin","palm at Beigang sugar processing factory trees",NA,NA,"",2014,"September",2015,"August","","Summer,Fall",2,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,1,0,0,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Scotophilus kuhlii","VESPERTILIONIDAE"
"153",687,687,2998,"detection of the severe acute respiratory syndrome-related coronavirus and alphacoronavirus in the bat population of taiwan","Chen et al.","Zoonoses Public Health",2016,50,3,0.06,"Rhinolophus monoceros","alphacoronavirus",NA,"","","Scotophilus bat CoV 512-related lineage","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Taiwan","N","Miaoli, Dili, Dongshan","Woods (Miaoli), irrigation culvert (Dili), irrigation culvert (Dongshan) ","121°00'45″E (Miaoli), 120°250 27″E (Dongshan), 120°54'51″E (Dili)","24°25'35″N (Miaoli), 23°19'04″N (Dongshan), 23°48'24″N (Dili)","",2013,"November",2014,"October","","Year",3,"Y","","","","VERENA Admin","4/26/2022 2:02pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Rhinolophus pusillus","RHINOLOPHIDAE"
"154",689,689,2997,"detection of the severe acute respiratory syndrome-related coronavirus and alphacoronavirus in the bat population of taiwan","Chen et al.","Zoonoses Public Health",2016,54,7,0.12963,"Miniopterus fuliginosus","alphacoronavirus",NA,"","","Scotophilus bat CoV 512-related lineage, Miniopterus bat CoV1A-related lineage","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Taiwan","N","Guihou, Miaoli, Dili, Dongshan","Woods (Guihou), Woods (Miaoli), irrigation culvert (Dili), irrigation culvert (Dongshan) ","121°00'45″E (Miaoli), 120°25'27″E (Dongshan), 120°54'51″E (Dili), 121°40'41″E (Guihui)","24°25'35″N (Miaoli), 23°19'04″N (Dongshan), 23°48'24″N (Dili), 25°11'24″N (Guihui)","",2013,"August",2014,"October","","Year",6,"Y","","","","VERENA Admin","4/26/2022 2:02pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Miniopterus fuliginosus","MINIOPTERIDAE"
"155",692,692,939,"detection of the severe acute respiratory syndrome-related coronavirus and alphacoronavirus in the bat population of taiwan","Chen et al.","Zoonoses Public Health",2016,10,1,0.1,"Kerivoula titania","alphacoronavirus",NA,"","","Scotophilus bat CoV 512-related lineage","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Taiwan","N","Dong'ao, Nan'ao, Miaoli","Woods","121°49'53″E (Dong'ao), 121°46'2″E (Nan'ao), 121°00'45″E (Miaoli)","24°31' 55″N (Dong'ao), 24°31'9″N (Nan'ao), 24°25'35″N (Miaoli)","",2013,"September",2014,"October","","Year",4,"Y","","","","VERENA Admin","4/26/2022 2:06pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Kerivoula titania","VESPERTILIONIDAE"
"156",705,705,2999,"detection of the severe acute respiratory syndrome-related coronavirus and alphacoronavirus in the bat population of taiwan","Chen et al.","Zoonoses Public Health",2016,48,11,0.229167,"Scotophilus kuhlii","alphacoronavirus",NA,"","","Scotophilus bat CoV 512-related lineage","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Taiwan","N","Jhutang, Beigang","palm trees in an elementary school (Jhutang), palm trees in a sugar factory (Beigang)","120°23'12″E (Jhutang), 120°17'51″E (Beigang)","23°50'51″N (Jhutang), 23°34'05″N (Beigang)","",2013,"September",2014,"September","","Year",2,"Y","","","","VERENA Admin","4/26/2022 2:05pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Scotophilus kuhlii","VESPERTILIONIDAE"
"157",706,706,952,"detection of the severe acute respiratory syndrome-related coronavirus and alphacoronavirus in the bat population of taiwan","Chen et al.","Zoonoses Public Health",2016,3,1,0.333333,"Submyotodon latirostris","alphacoronavirus",NA,"","","Miniopterus bat CoV1A-related lineage","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Taiwan","N","Nan'ao, Miaoli","Woods","121°46'2″E (Nan'ao), 121°00'45″E (Miaoli)","24°31'9″N (Nan'ao), 24°25'35″N (Miaoli)","",2014,"June",2014,"October","","Summer,Fall",3,"Y","","","","VERENA Admin","4/26/2022 2:07pm","faecal, rectal, or anal","faeces",1,1,0,0,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Submyotodon latirostris","VESPERTILIONIDAE"
"158",718,718,967,"discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china","Wang et al.","Emerg Microbes Infect",2017,10,1,0.1,"Rhinolophus pusillus","alphacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","China","N","Yunnan","Mangshi ",NA,NA,"2012",NA,"",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Rhinolophus pusillus","RHINOLOPHIDAE"
"159",742,742,1002,"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","Pfefferle et al.","Emerg Infect Dis",2009,40,4,0.1,"Hipposideros caffer ruber","alphacoronavirus",NA,"","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Ghana","N","Kwamang","Cave Kwamang","1°16'W","6°58'N","2008",NA,"",NA,"","February","Winter",NA,"","","","","VERENA Admin","4/25/2022 1:05pm","faecal, rectal, or anal","faeces",0,0,1,0,6.96666666666667,-1.26666666666667,"RdRp","No","No","PCR","alphacoronavirus",1,"Hipposideros ruber","HIPPOSIDERIDAE"
"160",747,747,1006,"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","Pfefferle et al.","Emerg Infect Dis",2009,11,1,0.090909,"Hipposideros caffer ruber","alphacoronavirus",NA,"","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Ghana","N","Booyem, Brong-Ahafo","Cave Booyem B","1°59'33.5""W","7°43'25.7""N","2008",NA,"",NA,"","February","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","faeces",0,0,1,0,7.72380555555556,-1.99263888888889,"RdRp","No","No","PCR","alphacoronavirus",1,"Hipposideros ruber","HIPPOSIDERIDAE"
"161",764,764,1031,"identification of a novel coronavirus in bats","Poon et al.","Journal of Virology",2005,16,1,0.0625,"Miniopterus magnater","alphacoronavirus",NA,"","bat","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"respiratory swab","China","N","Hong Kong","three different geographic locations",NA,NA,"",2003,"",2004,"","Summer","Summer",NA,"N","Y, natural reservoirs or country parks","N","","VERENA Admin","4/12/2022 2:17pm","lung or respiratory","swab",1,0,0,0,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Miniopterus magnater","MINIOPTERIDAE"
"162",765,765,1032,"identification of a novel coronavirus in bats","Poon et al.","Journal of Virology",2005,16,2,0.125,"Miniopterus magnater","alphacoronavirus",NA,"","bat","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"fecal swab","China","N","Hong Kong","three different geographic locations",NA,NA,"",2003,"",2004,"","Summer","Summer",NA,"N","Y, natural reservoirs or country parks","N","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","swab",1,0,0,0,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Miniopterus magnater","MINIOPTERIDAE"
"163",766,766,1033,"identification of a novel coronavirus in bats","Poon et al.","Journal of Virology",2005,19,5,0.263158,"Miniopterus pusillus","alphacoronavirus",NA,"","bat","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"respiratory swab","China","N","Hong Kong","three different geographic locations",NA,NA,"",2003,"",2004,"","Summer","Summer",NA,"N","Y, natural reservoirs or country parks","N","","VERENA Admin","4/12/2022 2:17pm","lung or respiratory","swab",1,0,0,0,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Miniopterus pusillus","MINIOPTERIDAE"
"164",767,767,1034,"identification of a novel coronavirus in bats","Poon et al.","Journal of Virology",2005,19,12,0.631579,"Miniopterus pusillus","alphacoronavirus",NA,"","bat","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"fecal swab","China","N","Hong Kong","three different geographic locations",NA,NA,"",2003,"",2004,"","Summer","Summer",NA,"N","Y, natural reservoirs or country parks","N","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","swab",1,0,0,0,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Miniopterus pusillus","MINIOPTERIDAE"
"165",768,768,1035,"identification of a novel coronavirus in bats","Poon et al.","Journal of Virology",2005,4,1,0.25,"Miniopterus schreibersii","alphacoronavirus",NA,"","bat","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"respiratory swab","China","N","Hong Kong","three different geographic locations",NA,NA,"",2003,"",2004,"","Summer","Summer",NA,"N","Y, natural reservoirs or country parks","N","","VERENA Admin","4/12/2022 2:17pm","lung or respiratory","swab",1,0,0,0,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Miniopterus schreibersii","MINIOPTERIDAE"
