"","X.1","X","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","sample_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","gene_targets_simplified","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","family"
"87",732,732,2991,"discovery of a rich gene pool of bat sars-related coronaviruses provides new insights into the origin of sars coronavirus","Hu et al.","Plos Pathog",2017,131,1,0.007634,"Rhinolophus affinis","betacoronavirus",NA,"Sarbecovirus","","","repeat","longitudinal","RNA","RT-PCR","single","RdRp",NA,"faeces","China","N","Yunnan","Kunning city cave",NA,NA,"2014",2011,"April",2015,"October","May","Spring",8,"","","","","VERENA Admin","4/25/2022 2:02pm","faecal, rectal, or anal","faeces",0,0,0,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus affinis","RHINOLOPHIDAE"
"88",733,733,990,"discovery of a rich gene pool of bat sars-related coronaviruses provides new insights into the origin of sars coronavirus","Hu et al.","Plos Pathog",2017,19,4,0.210526,"Rhinolophus sinicus","betacoronavirus",NA,"Sarbecovirus","","","repeat","longitudinal","RNA","RT-PCR","single","RdRp",NA,"anal swab","China","N","Yunnan","Kunning city cave",NA,NA,"2014",2011,"April",2015,"October","October","Fall",8,"","","","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","swab",0,1,0,0,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus sinicus","RHINOLOPHIDAE"
"89",734,734,991,"discovery of a rich gene pool of bat sars-related coronaviruses provides new insights into the origin of sars coronavirus","Hu et al.","Plos Pathog",2017,25,5,0.2,"Rhinolophus sinicus","betacoronavirus",NA,"Sarbecovirus","","","repeat","longitudinal","RNA","RT-PCR","single","RdRp",NA,"anal swab","China","N","Yunnan","Kunning city cave",NA,NA,"2015",2011,"April",2015,"October","October","Fall",8,"","","","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","swab",0,1,0,0,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus sinicus","RHINOLOPHIDAE"
"90",743,743,1009,"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","Pfefferle et al.","Emerg Infect Dis",2009,40,6,0.15,"Hipposideros caffer ruber","betacoronavirus",NA,"","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Ghana","N","Kwamang","Cave Kwamang","1°16'W","6°58'N","2008",NA,"",NA,"","February","Winter",NA,"","","","","VERENA Admin","4/25/2022 1:05pm","faecal, rectal, or anal","faeces",0,0,1,0,6.96666666666667,-1.26666666666667,"RdRp","No","No","PCR","betacoronavirus",1,"Hipposideros ruber","HIPPOSIDERIDAE"
"91",748,748,1010,"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","Pfefferle et al.","Emerg Infect Dis",2009,11,1,0.090909,"Hipposideros caffer ruber","betacoronavirus",NA,"","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Ghana","N","Booyem, Brong-Ahafo","Cave Booyem B","1°59'33.5""W","7°43'25.7""N","2008",NA,"",NA,"","February","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","faeces",0,0,1,0,7.72380555555556,-1.99263888888889,"RdRp","No","No","PCR","betacoronavirus",1,"Hipposideros ruber","HIPPOSIDERIDAE"
"92",838,838,1077,"identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china","He et al.","J Virol",2014,11,2,0.181818,"Rhinolophus affinis","betacoronavirus",NA,"","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"rectal swab","China","N","Yunnan","Baoshan",NA,NA,"2011",NA,"",NA,"","","Year",NA,"N","N","Y, , coinfection with different alphacoronaviruses did exist within a bat population in one location","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus affinis","RHINOLOPHIDAE"
"93",845,845,1082,"identification of sars-like coronaviruses in horseshoe bats (rhinolophus hipposideros) in slovenia","Rihtaric et al.","Arch Virol",2010,36,14,0.388889,"Rhinolophus hipposideros","betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"fecal pellets","Slovenia","N","","27 different locations in Slovenia",NA,NA,"2008",NA,"May",NA,"October","","Spring,Summer,Fall",NA,"Y, 7M, 7F","Y,  16 different churches, 1 house, 1 castle, and 1 cave ","N","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","faeces",1,1,0,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus hipposideros","RHINOLOPHIDAE"
"94",862,862,1099,"isolation and characterization of a bat sars-like coronavirus that uses the ace2 receptor","Ge et al.","Nature",2013,14,1,0.071429,"Rhinolophus sinicus","betacoronavirus",NA,"",""," SL-CoV RsSHC014 and Rs3367","repeat","longitudinal","RNA","nested RT-PCR","multiple","RdRp",NA,"anal swabs/faecal samples","China","N","Yunnan","Kunming",NA,NA,"2011",NA,"April",NA,"April","","Spring",NA,"N","Y, natural habitat "," different SL-CoVs","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","pooled",0,0,0,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus sinicus","RHINOLOPHIDAE"
"95",863,863,1100,"isolation and characterization of a bat sars-like coronavirus that uses the ace2 receptor","Ge et al.","Nature",2013,10,3,0.3,"Rhinolophus sinicus","betacoronavirus",NA,"",""," SL-CoV RsSHC014 and Rs3367","repeat","longitudinal","RNA","nested RT-PCR","multiple","RdRp",NA,"anal swabs/faecal samples","China","N","Yunnan","Kunming",NA,NA,"2011",NA,"October",NA,"October","","Fall",NA,"N","Y, natural habitat "," different SL-CoVs","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","pooled",0,1,0,0,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus sinicus","RHINOLOPHIDAE"
"96",864,864,1101,"isolation and characterization of a bat sars-like coronavirus that uses the ace2 receptor","Ge et al.","Nature",2013,54,4,0.074074,"Rhinolophus sinicus","betacoronavirus",NA,"",""," SL-CoV RsSHC014 and Rs3367","repeat","longitudinal","RNA","nested RT-PCR","multiple","RdRp",NA,"anal swabs/faecal samples","China","N","Yunnan","Kunming",NA,NA,"2012",NA,"May",NA,"May","","Spring",NA,"N","Y, natural habitat "," different SL-CoVs","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","pooled",0,0,0,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus sinicus","RHINOLOPHIDAE"
"97",865,865,1102,"isolation and characterization of a bat sars-like coronavirus that uses the ace2 receptor","Ge et al.","Nature",2013,39,19,0.487179,"Rhinolophus sinicus","betacoronavirus",NA,"",""," SL-CoV RsSHC014 and Rs3367","repeat","longitudinal","RNA","nested RT-PCR","multiple","RdRp",NA,"anal swabs/faecal samples","China","N","Yunnan","Kunming",NA,NA,"2012",NA,"September",NA,"September","","Fall",NA,"N","Y, natural habitat "," different SL-CoVs","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","pooled",0,1,0,0,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus sinicus","RHINOLOPHIDAE"
"98",866,866,1103,"intraspecies diversity of sars-like coronaviruses in rhinolophus sinicus and its implications for the origin of sars coronaviruses in humans","Yuan et al.","J Gen Virol",2010,24,1,0.041667,"Rhinolophus sinicus","betacoronavirus",NA,"","","Bt-SLCoV Rs672","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faecal samples","China","N","Guizhou","",NA,NA,"2006",NA,"September",NA,"September","","Fall",NA,"N","N","N","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus sinicus","RHINOLOPHIDAE"
"99",867,867,2930,"intraspecies diversity of sars-like coronaviruses in rhinolophus sinicus and its implications for the origin of sars coronaviruses in humans","Yuan et al.","J Gen Virol",2010,24,1,0.041667,"Rhinolophus sinicus","betacoronavirus",NA,"","","Bt-SLCoV Rs806","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faecal samples","China","N","Hubei","",NA,NA,"2006",NA,"September",NA,"September","","Fall",NA,"N","N","N","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus sinicus","RHINOLOPHIDAE"
"100",869,869,1108,"longitudinal surveillance of betacoronaviruses in fruit bats in yunnan province, china during 2009-2016","Luo et al.","Virol Sin",2018,42,28,0.666667,"Rousettus leschenaultia","betacoronavirus",NA,"","","BatCoV HKU9","repeat","longitudinal","RNA","RT-PCR","single","RdRp",NA,"anal swabs/faecal samples","China","N","Yunnan","Chuxiong",NA,NA,"2013",NA,"",NA,"","","Year",NA,"N","N","N","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","pooled",1,1,1,1,NA,NA,"RdRp","Yes, but only a subset for species ID, tissue tropism work","Yes","PCR","betacoronavirus",1,"Rousettus leschenaultii","PTEROPODIDAE"
"101",870,870,1112,"longitudinal surveillance of betacoronaviruses in fruit bats in yunnan province, china during 2009-2016","Luo et al.","Virol Sin",2018,50,4,0.08,"Rousettus leschenaultia","betacoronavirus",NA,"","","BatCoV HKU9","repeat","longitudinal","RNA","RT-PCR","single","RdRp",NA,"anal swabs/faecal samples","China","N","Yunnan","Mengla",NA,NA,"2014",NA,"",NA,"","","Year",NA,"N","N","N","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","pooled",1,1,1,1,NA,NA,"RdRp","Yes, but only a subset for species ID, tissue tropism work","Yes","PCR","betacoronavirus",1,"Rousettus leschenaultii","PTEROPODIDAE"
"102",871,871,1114,"longitudinal surveillance of betacoronaviruses in fruit bats in yunnan province, china during 2009-2016","Luo et al.","Virol Sin",2018,114,1,0.008772,"Rousettus leschenaultia","betacoronavirus",NA,"","","BatCoV HKU9","repeat","longitudinal","RNA","RT-PCR","single","RdRp",NA,"anal swabs/faecal samples","China","N","Yunnan","Chuxiong",NA,NA,"2014",NA,"",NA,"","","Year",NA,"N","N","N","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","pooled",1,1,1,1,NA,NA,"RdRp","Yes, but only a subset for species ID, tissue tropism work","Yes","PCR","betacoronavirus",1,"Rousettus leschenaultii","PTEROPODIDAE"
"103",873,873,1117,"longitudinal surveillance of betacoronaviruses in fruit bats in yunnan province, china during 2009-2016","Luo et al.","Virol Sin",2018,57,3,0.052632,"Eonycteris spelaea","betacoronavirus",NA,"","","BatCoV GCCDC1","repeat","longitudinal","RNA","RT-PCR","single","RdRp",NA,"anal swabs/faecal samples","China","N","Yunnan","Mengla",NA,NA,"2015",NA,"",NA,"","","Year",NA,"N","N","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","pooled",1,1,1,1,NA,NA,"RdRp","Yes, but only a subset for species ID, tissue tropism work","Yes","PCR","betacoronavirus",1,"Eonycteris spelaea","PTEROPODIDAE"
"104",875,875,1119,"longitudinal surveillance of betacoronaviruses in fruit bats in yunnan province, china during 2009-2016","Luo et al.","Virol Sin",2018,53,10,0.188679,"Eonycteris spelaea","betacoronavirus",NA,"","","BatCoV GCCDC1","repeat","longitudinal","RNA","RT-PCR","single","RdRp",NA,"anal swabs/faecal samples","China","N","Yunnan","Mengla",NA,NA,"2016",NA,"",NA,"","","Year",NA,"N","N","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","pooled",1,1,1,1,NA,NA,"RdRp","Yes, but only a subset for species ID, tissue tropism work","Yes","PCR","betacoronavirus",1,"Eonycteris spelaea","PTEROPODIDAE"
"105",876,876,1125,"mers-related betacoronavirus in vespertilio superans bats, china","Yang Li et al.","Emerg Infect Dis",2014,32,5,0.15625,"Vespertilio superans","betacoronavirus",NA,"Merbecovirus","","Bat SL-CoV WIV16","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"anal swab","China","N","","Southwest China",NA,NA,"2013",NA,"June",NA,"June","Summer","Summer",NA,"N","N","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","swab",1,0,0,0,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Vespertilio sinensis","VESPERTILIONIDAE"
"106",878,878,1128,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,25,1,0.04,"Taphozous perforates","betacoronavirus",NA,"Merbecovirus","","MERS EMC/2012","single","cross-sectional","RNA","PCR","single","RdRp",NA,"fecal pellets","Saudi Arabia","N","Bisha","Bisha ruins",NA,NA,"2012",NA,"",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Taphozous perforatus","EMBALLONURIDAE"
"107",884,884,1133,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,25,1,0.04,"Eidolon helvum","betacoronavirus",NA,"","","Eidolon bat CoV HKU1","single","cross-sectional","RNA","PCR","single","RdRp",NA,"fecal pellets","Saudi Arabia","N","Bisha","Bisha town center",NA,NA,"2012",NA,"",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Eidolon helvum","PTEROPODIDAE"
"108",904,904,1152,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,209,2,0.009569,"Rhinopoma hardwickii","betacoronavirus",NA,"","","canine respiratory CoV","single","cross-sectional","RNA","PCR","single","RdRp",NA,"roost feces","Saudi Arabia","N","Bisha","Greater Bisha area",NA,NA,"2013",NA,"",NA,"","April","Spring",NA,"N","Y","N","","VERENA Admin","4/25/2022 8:58pm","faecal, rectal, or anal","faeces",0,0,0,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinopoma hardwickii","RHINOPOMATIDAE"
"109",914,914,3000,"molecular detection of viruses in kenyan bats and discovery of novel astroviruses, caliciviruses and rotaviruses","Waruhiu et al.","Virol Sin",2017,185,16,0.086486,"Eidolon helvum","betacoronavirus",NA,"","","HKU9-related","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faecal samples","Kenya","N","Kisii","",NA,NA,"",2012,"November",2015,"November","","Year",NA,"N","Y, high level of human-bat interaction","Y, Astroviruses, Calicivirus, Coronavirus, Paramyxovirus, Rotavirus","","VERENA Admin","4/26/2022 2:34pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Eidolon helvum","PTEROPODIDAE"
"110",915,915,1167,"molecular detection of viruses in kenyan bats and discovery of novel astroviruses, caliciviruses and rotaviruses","Waruhiu et al.","Virol Sin",2017,25,1,0.04,"Eidolon helvum","betacoronavirus",NA,"","","HKU9-related","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faecal samples","Kenya","N","Vihiga","",NA,NA,"",2012,"November",2015,"November","","Year",NA,"N","Y, high level of human-bat interaction","Y, Astroviruses, Calicivirus, Coronavirus, Paramyxovirus, Rotavirus","","VERENA Admin","4/26/2022 2:34pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Eidolon helvum","PTEROPODIDAE"
"111",926,926,1182,"molecular diversity of coronaviruses in bats","Woo et al.","Virology",2006,14,4,0.285714,"Pipistrellus abramus","betacoronavirus",NA,"","","Bat-Cov HKU5","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"anal swab,nasopharyngeal swabs","China","N","Hong Kong","",NA,NA,"",2004,"April",2005,"July","","Year",NA,"N","Y, rural areas","N","","VERENA Admin","4/12/2022 2:19pm","pooled swabs/samples","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Pipistrellus abramus","VESPERTILIONIDAE"
"112",929,929,2992,"molecular diversity of coronaviruses in bats","Woo et al.","Virology",2006,118,21,0.177966,"Rhinolophus sinicus","betacoronavirus",NA,"","","Bat-SARS-CoV","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"anal swab,nasopharyngeal swabs","China","N","Hong Kong","New territories",NA,NA,"",2004,"April",2005,"July","","Year",NA,"N","Y, rural areas","N","","VERENA Admin","4/25/2022 2:48pm","pooled swabs/samples","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus sinicus","RHINOLOPHIDAE"
"113",931,931,1186,"molecular diversity of coronaviruses in bats","Woo et al.","Virology",2006,21,4,0.190476,"Tyloncyteris pachypus","betacoronavirus",NA,"","","Bat-CoV HKU4","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"anal swab,nasopharyngeal swabs","China","N","Hong Kong","New territories",NA,NA,"",2004,"April",2005,"July","","Year",NA,"N","Y, rural areas","N","","VERENA Admin","4/12/2022 2:19pm","pooled swabs/samples","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Tylonycteris pachypus","VESPERTILIONIDAE"
"114",936,936,1191,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,3,1,0.333333,"Rhinolophus ferrumequinum","betacoronavirus",NA,"Sarbecovirus","","SarBatCov1","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Sardinia","Grotta sa Rocca Ulari (Borutta), Galleria Casteldoria (S.M Coghinas), Diga S. Chiara (Ula-Tirso)",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, F positive","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"115",955,955,1210,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,1,1,1,"Plecotus auritus","betacoronavirus",NA,"Sarbecovirus","","SarBatCov1","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Sardinia","Belvi",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, Female","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Plecotus auritus","VESPERTILIONIDAE"
"116",962,962,1217,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,1,1,1,"Tadarida teniotis","betacoronavirus",NA,"Sarbecovirus","","SarBatCov1","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Sardinia","Grotta Verde (Alghero)",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, Female","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Tadarida teniotis","MOLOSSIDAE"
"117",963,963,1218,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,3,1,0.333333,"Rhinolophus euryale","betacoronavirus",NA,"Sarbecovirus","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","31 (positive), 32",NA,NA,"",2012,"",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus euryale","RHINOLOPHIDAE"
"118",1000,1000,1255,"novel alphacoronaviruses and paramyxoviruses cocirculate with type 1 and severe acute respiratory system (sars)-related betacoronaviruses in synanthropic bats of luxembourg","Pauly et al.","Appl Environ Microbiol",2017,33,1,0.030303,"Myotis emarginatus","betacoronavirus",NA,"Embecovirus","","BetaCov1","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Luxembourg","N","Bissen","",NA,NA,"2016",NA,"",NA,"","June","Summer",NA,"N","Y, unclear","Y, PV & CoV (none detected)","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Myotis emarginatus","VESPERTILIONIDAE"
"119",1002,1002,1257,"novel alphacoronaviruses and paramyxoviruses cocirculate with type 1 and severe acute respiratory system (sars)-related betacoronaviruses in synanthropic bats of luxembourg","Pauly et al.","Appl Environ Microbiol",2017,44,2,0.045455,"Myotis emarginatus","betacoronavirus",NA,"Embecovirus","","BetaCov1","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Luxembourg","N","Platen","",NA,NA,"2016",NA,"",NA,"","June","Summer",NA,"N","Y, unclear","Y, PV & CoV (none detected)","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Myotis emarginatus","VESPERTILIONIDAE"
"120",1021,1021,1288,"novel bat alphacoronaviruses in southern china support chinese horseshoe bats as an important reservoir for potential novel coronaviruses","Lau et al.","Viruses",2019,272,3,0.011029,"Rhinolophus sinicus","betacoronavirus",NA,"Sarbecovirus","","SARSr BatCoV","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab,alimentary specimen","China","N","Hong Kong, Guizhou","Tai Lam-Shek Kong (HK)",NA,NA,"",2013,"",2015,"","","Year",NA,"N","Y, mentions cities, unclear","N","","VERENA Admin","4/12/2022 2:20pm","pooled swabs/samples","pooled",1,1,1,1,NA,NA,"RdRp","Yes, for this study","Yes","PCR","betacoronavirus",1,"Rhinolophus sinicus","RHINOLOPHIDAE"
"121",1022,1022,1284,"novel bat alphacoronaviruses in southern china support chinese horseshoe bats as an important reservoir for potential novel coronaviruses","Lau et al.","Viruses",2019,240,18,0.075,"Tyloncyteris pachypus","betacoronavirus",NA,"Merbecovirus","","Ty-BatCoV HKU4","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab,alimentary specimen","China","N","Hong Kong, Guizhou","Wu Kau Tang, Pok Fu Lam, Sheung Wo Hang, Tai Lam-Shek Kong",NA,NA,"",2013,"",2015,"","","Year",NA,"N","Y, mentions cities, unclear","N","","VERENA Admin","4/12/2022 2:20pm","pooled swabs/samples","pooled",1,1,1,1,NA,NA,"RdRp","Yes, for this study","Yes","PCR","betacoronavirus",1,"Tylonycteris pachypus","VESPERTILIONIDAE"
"122",1024,1024,1286,"novel coronaviruses, astroviruses, adenoviruses and circoviruses in insectivorous bats from northern china","Han et al.","Zoonoses Public Health",2017,26,9,0.346154,"Eptesicus serotinus","betacoronavirus",NA,"Merbecovirus","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines,spleen","China","N","Shandong","Mengyin County (various habitats including karst, caves, city sewers, houses)",NA,NA,"2015",NA,"March",NA,"October","","Spring,Summer,Fall",NA,"N","Y, karst caves, city sewers and human houses in Mengyin County, Shandong Province","Y","","VERENA Admin","4/29/2022 12:12pm","pooled tissue","tissue",1,1,0,1,NA,NA,"RdRp","Yes, for this study","Yes","PCR","betacoronavirus",1,"Eptesicus serotinus","VESPERTILIONIDAE"
"123",1028,1028,1290,"novel coronaviruses, astroviruses, adenoviruses and circoviruses in insectivorous bats from northern china","Han et al.","Zoonoses Public Health",2017,57,3,0.052632,"Peking Myotis,Myotis pequinius","betacoronavirus",NA,"Merbecovirus","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines,spleen","China","N","Shandong","Mengyin County (various habitats including karst, caves, city sewers, houses)",NA,NA,"2015",NA,"March",NA,"October","","Spring,Summer,Fall",NA,"N","Y, karst caves, city sewers and human houses in Mengyin County, Shandong Province","Y","","VERENA Admin","4/29/2022 12:12pm","pooled tissue","tissue",1,1,0,1,NA,NA,"RdRp","Yes, for this study","Yes","PCR","betacoronavirus",2,"Myotis pequinius","VESPERTILIONIDAE"
"124",1037,1037,1299,"prevalence and genetic diversity of coronaviruses in bats from china","Tang et al.","Journal of Virology",2006,66,1,0.015152,"Rhinolophus sinicus","betacoronavirus",NA,"Sarbecovirus","","BtCoV/A1018/06","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"anal swab","China","N","Shandong (positive)","16 sites total, 1 site positive ",NA,NA,"",2004,"November",2006,"March","","Year",NA,"N","Y, unclear","N","","VERENA Admin","4/12/2022 2:20pm","faecal, rectal, or anal","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus sinicus","RHINOLOPHIDAE"
"125",1039,1039,2798,"prevalence and genetic diversity of coronaviruses in bats from china","Tang et al.","Journal of Virology",2006,38,1,0.026316,"Rhinolophus macrotis","betacoronavirus",NA,"Sarbecovirus","","BtCoV/279/04","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"anal swab","China","N","Hubei (positive)","11 sites total, 1 site positive ",NA,NA,"",2004,"November",2006,"March","","Year",NA,"N","Y, unclear","N","","VERENA Admin","4/12/2022 2:20pm","faecal, rectal, or anal","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus macrotis","RHINOLOPHIDAE"
"126",1049,1049,1311,"prevalence and genetic diversity of coronaviruses in bats from china","Tang et al.","Journal of Virology",2006,27,6,0.222222,"Pipistrellus pipistrellus","betacoronavirus",NA,"Merbecovirus","","BtCoV/434/05","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"anal swab","China","N","Hainan (positive)","4 sites total, 1 site positive ",NA,NA,"",2004,"November",2006,"March","","Year",NA,"N","Y, unclear","N","","VERENA Admin","4/25/2022 5:44pm","faecal, rectal, or anal","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Pipistrellus pipistrellus","VESPERTILIONIDAE"
