"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies","observation","study","yi","vi","backtrans","phylo","species_char","family"
"2300",2691,"rapid detection of mers coronavirus-like viruses in bats: pote1ntial for tracking mers coronavirus transmission and animal origin","Woo et al.","Emerg Microbes Infect",2018,9,0,0,"Rousettus leschenaulti","betacoronavirus","","Merbecovirus","","Ty-BatCoV-HKU4 and Pi-BatCoV-HKU5","pooled","cross-sectional","Protein Detection Assay","Lateral flow immunoassay","single","",NA,"alimentary specimen","China","N","Hong Kong, Guizhou","","NA","NA","","2006","",2015,"","","Year",NA,"N","N","N","","VERENA Admin","4/22/2022 2:04pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"N/A (samples from previous study used)","Yes","Lateral Flow Immunoassay","betacoronavirus",1,"Rousettus leschenaultii","Rousettus leschenaultii","rapid detection of mers coronavirus-like viruses in bats: pote1ntial for tracking mers coronavirus transmission and animal origin","251","rapid detection of mers coronavirus-like viruses in bats: pote1ntial for tracking mers coronavirus transmission and animal origin",0.160875277198321,0.0263157894736842,0,"Rousettus leschenaultii","Rousettus leschenaultii","PTEROPODIDAE"
"2301",2692,"rapid detection of mers coronavirus-like viruses in bats: pote1ntial for tracking mers coronavirus transmission and animal origin","Woo et al.","Emerg Microbes Infect",2018,20,0,0,"Hipposideros pomona","betacoronavirus","","Merbecovirus","","Ty-BatCoV-HKU4 and Pi-BatCoV-HKU5","pooled","cross-sectional","Protein Detection Assay","Lateral flow immunoassay","single","",NA,"alimentary specimen","China","N","Hong Kong, Guizhou","","NA","NA","","2006","",2015,"","","Year",NA,"N","N","N","","VERENA Admin","4/22/2022 2:04pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"N/A (samples from previous study used)","Yes","Lateral Flow Immunoassay","betacoronavirus",1,"Hipposideros pomona","Hipposideros pomona","rapid detection of mers coronavirus-like viruses in bats: pote1ntial for tracking mers coronavirus transmission and animal origin","252","rapid detection of mers coronavirus-like viruses in bats: pote1ntial for tracking mers coronavirus transmission and animal origin",0.10999398869773,0.0121951219512195,0,"Hipposideros pomona","Hipposideros pomona","HIPPOSIDERIDAE"
"2365",2819,"surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history","Tao et al.","J Virol",2017,141,28,0.198582,"Eidolon helvum","betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab,fecal swab","Kenya","N","","4","NA","NA","","2007","",2010,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:37pm","pooled swabs/samples","1","1","1","1",NA,NA,"No","No","PCR","betacoronavirus",1,"Eidolon helvum","Eidolon helvum","surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history","253","surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history",0.464512871095069,0.00176678445229682,0.198581560283688,"Eidolon helvum","Eidolon helvum","PTEROPODIDAE"
"2366",2820,"surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history","Tao et al.","J Virol",2017,30,10,0.333333,"Eidolon helvum","betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab,fecal swab","Kenya","N","","18","NA","NA","","2007","",2010,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:37pm","pooled swabs/samples","1","1","1","1",NA,NA,"No","No","PCR","betacoronavirus",1,"Eidolon helvum","Eidolon helvum","surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history","254","surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history",0.621071796976882,0.00819672131147541,0.333333333333333,"Eidolon helvum","Eidolon helvum","PTEROPODIDAE"
"2369",2823,"surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history","Tao et al.","J Virol",2017,9,3,0.333333,"Epomophorus labiatus","betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab,fecal swab","Kenya","N","","18","NA","NA","","2007","",2010,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:37pm","pooled swabs/samples","1","1","1","1",NA,NA,"No","No","PCR","betacoronavirus",1,"Epomophorus labiatus","Epomophorus labiatus","surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history","255","surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history",0.632179471682994,0.0263157894736842,0.333333333333333,"Epomophorus labiatus","Epomophorus labiatus","PTEROPODIDAE"
"2370",2824,"surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history","Tao et al.","J Virol",2017,17,6,0.352941,"Epomophorus labiatus","betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab,fecal swab","Kenya","N","","27","NA","NA","","2007","",2010,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:37pm","pooled swabs/samples","1","1","1","1",NA,NA,"No","No","PCR","betacoronavirus",1,"Epomophorus labiatus","Epomophorus labiatus","surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history","256","surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history",0.644415662958575,0.0142857142857143,0.352941176470588,"Epomophorus labiatus","Epomophorus labiatus","PTEROPODIDAE"
"2372",2826,"surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history","Tao et al.","J Virol",2017,1,1,1,"Epomophorus labiatus","betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab,fecal swab","Kenya","N","","?","NA","NA","","2007","",2010,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:37pm","pooled swabs/samples","1","1","1","1",NA,NA,"No","No","PCR","betacoronavirus",1,"Epomophorus labiatus","Epomophorus labiatus","surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history","257","surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history",1.17809724509617,0.166666666666667,1,"Epomophorus labiatus","Epomophorus labiatus","PTEROPODIDAE"
"2374",2828,"surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history","Tao et al.","J Virol",2017,16,1,0.0625,"Epomophorus wahlbergi","betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab,fecal swab","Kenya","N","","23","NA","NA","","2007","",2010,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:37pm","pooled swabs/samples","1","1","1","1",NA,NA,"No","No","PCR","betacoronavirus",1,"Epomophorus wahlbergi","Epomophorus wahlbergi","surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history","258","surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history",0.297542220447005,0.0151515151515152,0.0625,"Epomophorus wahlbergi","Epomophorus wahlbergi","PTEROPODIDAE"
"2375",2829,"surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history","Tao et al.","J Virol",2017,5,1,0.2,"Epomophorus wahlbergi","betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab,fecal swab","Kenya","N","","35","NA","NA","","2007","",2010,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:37pm","pooled swabs/samples","1","1","1","1",NA,NA,"No","No","PCR","betacoronavirus",1,"Epomophorus wahlbergi","Epomophorus wahlbergi","surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history","259","surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history",0.518007021977176,0.0454545454545455,0.2,"Epomophorus wahlbergi","Epomophorus wahlbergi","PTEROPODIDAE"
"2376",2830,"surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history","Tao et al.","J Virol",2017,3,1,0.333333,"Epomophorus wahlbergi","betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab,fecal swab","Kenya","N","","41","NA","NA","","2007","",2010,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:37pm","pooled swabs/samples","1","1","1","1",NA,NA,"No","No","PCR","betacoronavirus",1,"Epomophorus wahlbergi","Epomophorus wahlbergi","surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history","260","surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history",0.654498469497874,0.0714285714285714,0.333333333333333,"Epomophorus wahlbergi","Epomophorus wahlbergi","PTEROPODIDAE"
"2377",2831,"surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history","Tao et al.","J Virol",2017,28,1,0.035714,"Epomophorus wahlbergi","betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab,fecal swab","Kenya","N","","44","NA","NA","","2007","",2010,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:37pm","pooled swabs/samples","1","1","1","1",NA,NA,"No","No","PCR","betacoronavirus",1,"Epomophorus wahlbergi","Epomophorus wahlbergi","surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history","261","surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history",0.22625429002551,0.0087719298245614,0.0357142857142857,"Epomophorus wahlbergi","Epomophorus wahlbergi","PTEROPODIDAE"
"49",10,"a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,1,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus or gammacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Perugia","Sigillo","NA","NA","2009","","",NA,"","September","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","No","PCR","genus not specified",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","262","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys",0.392699081698724,0.166666666666667,0,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"50",11,"a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,2,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus or gammacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Bologna","Monte Croara, S. Lazzaro","NA","NA","2009","","",NA,"","October","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","No","PCR","genus not specified",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","263","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys",0.307739854335194,0.1,0,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"51",12,"a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,10,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus or gammacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Cuneo","Piobesi d’Alba","NA","NA","2009","","",NA,"","October","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","No","PCR","genus not specified",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","264","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys",0.153138684584835,0.0238095238095238,0,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"59",23,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,26,0,0,"Plecotus auritus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"faeces","United Kingdom","N","Oxfordshire","Wytham Woods","-1º33'41""E","51º77'27""N","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/25/2022 12:51pm","faecal, rectal, or anal","1","1","1","1",52.2908333333333,-1.56138888888889,"No","No","PCR","genus not specified",1,"Plecotus auritus","Plecotus auritus","alphacoronavirus detected in bats in the united kingdom","265","alphacoronavirus detected in bats in the united kingdom",0.0968291502221633,0.00943396226415094,0,"Plecotus auritus","Plecotus auritus","VESPERTILIONIDAE"
"60",24,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,15,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"faeces","United Kingdom","N","SW England","","NA","NA","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:06pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","alphacoronavirus detected in bats in the united kingdom","266","alphacoronavirus detected in bats in the united kingdom",0.126340127571039,0.0161290322580645,0,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"61",26,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,6,0,0,"Rhinolophus hipposideros","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"faeces","United Kingdom","N","SW England","","NA","NA","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:06pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Rhinolophus hipposideros","Rhinolophus hipposideros","alphacoronavirus detected in bats in the united kingdom","267","alphacoronavirus detected in bats in the united kingdom",0.19379834332759,0.0384615384615385,0,"Rhinolophus hipposideros","Rhinolophus hipposideros","RHINOLOPHIDAE"
"62",28,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,2,0,0,"Pipistrellus pipistrellus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"faeces","United Kingdom","N","Wiltshire","Savernake Forest","-1º67'75""E","51º39’96""N","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/25/2022 12:51pm","faecal, rectal, or anal","1","1","1","1",51.6766666666667,-2.1375,"No","No","PCR","genus not specified",1,"Pipistrellus pipistrellus","Pipistrellus pipistrellus","alphacoronavirus detected in bats in the united kingdom","268","alphacoronavirus detected in bats in the united kingdom",0.307739854335194,0.1,0,"Pipistrellus pipistrellus","Pipistrellus pipistrellus","VESPERTILIONIDAE"
"63",30,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,1,0,0,"Barbastella barbastellus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"faeces","United Kingdom","N","Wiltshire","Savernake Forest","-1º67'75""E","51º39’96""N","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/25/2022 12:51pm","faecal, rectal, or anal","1","1","1","1",51.6766666666667,-2.1375,"No","No","PCR","genus not specified",1,"Barbastella barbastellus","Barbastella barbastellus","alphacoronavirus detected in bats in the united kingdom","269","alphacoronavirus detected in bats in the united kingdom",0.392699081698724,0.166666666666667,0,"Barbastella barbastellus","Barbastella barbastellus","VESPERTILIONIDAE"
"71",41,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,5,0,0,"Phyllostomus discolor","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Phyllostomus discolor","Phyllostomus discolor","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","270","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.210267167641983,0.0454545454545455,0,"Phyllostomus discolor","Phyllostomus discolor","PHYLLOSTOMIDAE"
"72",42,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,5,0,0,"Phyllostomus discolor","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Phyllostomus discolor","Phyllostomus discolor","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","271","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.210267167641983,0.0454545454545455,0,"Phyllostomus discolor","Phyllostomus discolor","PHYLLOSTOMIDAE"
"74",45,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,13,0,0,"Artibeus literatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Artibeus lituratus","Artibeus lituratus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","272","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.135274881489286,0.0185185185185185,0,"Artibeus lituratus","Artibeus lituratus","PHYLLOSTOMIDAE"
"75",46,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,13,0,0,"Artibeus literatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Artibeus lituratus","Artibeus lituratus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","273","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.135274881489286,0.0185185185185185,0,"Artibeus lituratus","Artibeus lituratus","PHYLLOSTOMIDAE"
"76",49,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Glossophaga soricina","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Glossophaga soricina","Glossophaga soricina","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","274","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.392699081698724,0.166666666666667,0,"Glossophaga soricina","Glossophaga soricina","PHYLLOSTOMIDAE"
"77",50,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Glossophaga soricina","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Glossophaga soricina","Glossophaga soricina","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","275","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.392699081698724,0.166666666666667,0,"Glossophaga soricina","Glossophaga soricina","PHYLLOSTOMIDAE"
"79",52,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Phyllostomus hastatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Phyllostomus hastatus","Phyllostomus hastatus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","276","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.392699081698724,0.166666666666667,0,"Phyllostomus hastatus","Phyllostomus hastatus","PHYLLOSTOMIDAE"
"80",54,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Phyllostomus hastatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Phyllostomus hastatus","Phyllostomus hastatus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","277","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.392699081698724,0.166666666666667,0,"Phyllostomus hastatus","Phyllostomus hastatus","PHYLLOSTOMIDAE"
"81",55,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Phyllostomus hastatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Phyllostomus hastatus","Phyllostomus hastatus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","278","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.392699081698724,0.166666666666667,0,"Phyllostomus hastatus","Phyllostomus hastatus","PHYLLOSTOMIDAE"
"82",56,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Nyctinomops laticaudatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Nyctinomops laticaudatus","Nyctinomops laticaudatus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","279","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.392699081698724,0.166666666666667,0,"Nyctinomops laticaudatus","Nyctinomops laticaudatus","MOLOSSIDAE"
"83",57,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Nyctinomops laticaudatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Nyctinomops laticaudatus","Nyctinomops laticaudatus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","280","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.392699081698724,0.166666666666667,0,"Nyctinomops laticaudatus","Nyctinomops laticaudatus","MOLOSSIDAE"
"84",58,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Nyctinomops laticaudatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Nyctinomops laticaudatus","Nyctinomops laticaudatus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","281","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.392699081698724,0.166666666666667,0,"Nyctinomops laticaudatus","Nyctinomops laticaudatus","MOLOSSIDAE"
"86",60,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,13,0,0,"Molossus molossus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Molossus molossus","Molossus molossus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","282","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.135274881489286,0.0185185185185185,0,"Molossus molossus","Molossus molossus","MOLOSSIDAE"
