"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","euthanasia","method_specific_simplified","spec","species_for_reader","species","studies","observation","study","yi","vi","backtrans","phylo","species_char","family"
"538",627,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,11,1,0.090909,"Carollia sowelli","alphacoronavirus","","","Mex_CoV-5a","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples",NA,NA,NA,NA,NA,NA,"No","PCR",1,"Carollia sowelli","Carollia sowelli","coronaviruses in bats from mexico","129","coronaviruses in bats from mexico",0.35668855350627,0.0217391304347826,0.0909090909090909,"Carollia sowelli","Carollia sowelli","PHYLLOSTOMIDAE"
"539",628,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,20,2,0.1,"Carollia sowelli","alphacoronavirus","","","Mex_CoV-1","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples",NA,NA,NA,NA,NA,NA,"No","PCR",1,"Carollia sowelli","Carollia sowelli","coronaviruses in bats from mexico","130","coronaviruses in bats from mexico",0.350662286558388,0.0121951219512195,0.1,"Carollia sowelli","Carollia sowelli","PHYLLOSTOMIDAE"
"541",630,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,4,2,0.5,"Carollia perspicillata","alphacoronavirus","","","Mex_CoV-1","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Campeche","Reserva de la Biosfera Calakmul -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples",NA,NA,NA,NA,NA,NA,"No","PCR",1,"Carollia perspicillata","Carollia perspicillata","coronaviruses in bats from mexico","131","coronaviruses in bats from mexico",0.785398163397448,0.0555555555555556,0.5,"Carollia perspicillata","Carollia perspicillata","PHYLLOSTOMIDAE"
"571",660,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,1,1,1,"Lonchorhina aurita","alphacoronavirus","","","Mex_CoV-3","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples",NA,NA,NA,NA,NA,NA,"No","PCR",1,"Lonchorhina aurita","Lonchorhina aurita","coronaviruses in bats from mexico","132","coronaviruses in bats from mexico",1.17809724509617,0.166666666666667,1,"Lonchorhina aurita","Lonchorhina aurita","PHYLLOSTOMIDAE"
"584",673,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,7,3,0.428571,"Myotis velifer","alphacoronavirus","","","Mex_CoV-7","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Distrito Federal","Mexico City","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples",NA,NA,NA,NA,NA,NA,"No","PCR",1,"Myotis velifer","Myotis velifer","coronaviruses in bats from mexico","133","coronaviruses in bats from mexico",0.722228099611929,0.0333333333333333,0.428571428571429,"Myotis velifer","Myotis velifer","VESPERTILIONIDAE"
"588",677,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,1,1,1,"Eptesicus fuscus","alphacoronavirus","","","Mex_CoV-6","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples",NA,NA,NA,NA,NA,NA,"No","PCR",1,"Eptesicus fuscus","Eptesicus fuscus","coronaviruses in bats from mexico","134","coronaviruses in bats from mexico",1.17809724509617,0.166666666666667,1,"Eptesicus fuscus","Eptesicus fuscus","VESPERTILIONIDAE"
"603",735,"coronaviruses detected in bats in close contact with humans in rwanda","Nziza et al.","Ecohealth",2020,19,1,0.052632,"Rhinolophus clivosus","alphacoronavirus","","","PREDICT_CoV-42","single","cross-sectional","RNA","consensus RT-PCR","multiple","Cytb & CO1",NA,"rectal/oral swab","Rwanda","S","","12","NA","NA","2011","","",NA,"","Rainy","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","pooled swabs/samples","0","1","0","0",NA,NA,"No","PCR",1,"Rhinolophus clivosus","Rhinolophus clivosus","coronaviruses detected in bats in close contact with humans in rwanda","135","coronaviruses detected in bats in close contact with humans in rwanda",0.273631980147387,0.0128205128205128,0.0526315789473685,"Rhinolophus clivosus","Rhinolophus clivosus","RHINOLOPHIDAE"
"638",726,"coronaviruses detected in bats in close contact with humans in rwanda","Nziza et al.","Ecohealth",2020,3,1,0.333333,"Chaerephon pumilus","alphacoronavirus","","bat","Strain of Chaerephon bat coronavirus/Kenya/KY22/2006","single","cross-sectional","RNA","consensus RT-PCR","multiple","Cytb & CO1",NA,"rectal/oral swab","Rwanda","S","","19","NA","NA","","2013","",NA,"","Rainy","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","pooled swabs/samples","0","1","0","0",NA,NA,"No","PCR",1,"Chaerephon pumilus","Chaerephon pumilus","coronaviruses detected in bats in close contact with humans in rwanda","136","coronaviruses detected in bats in close contact with humans in rwanda",0.654498469497874,0.0714285714285714,0.333333333333333,"Chaerephon pumilus","Chaerephon pumilus","MOLOSSIDAE"
"665",756,"coronavirus infection and diversity in bats in the australasian region","Smith et al.","Ecohealth",2016,58,1,0.017241,"Rhinolophus megaphyllus","alphacoronavirus","","","HKU8","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"faeces or anal swab or intestinal content or oropharyngeal swab","Australia","S","far-north Queensland","","NA","NA","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","pooled swabs/samples","1","1","1","1",NA,NA,"Yes, BUT for previous study or rabies surveillance","PCR",1,"Rhinolophus megaphyllus","Rhinolophus megaphyllus","coronavirus infection and diversity in bats in the australasian region","137","coronavirus infection and diversity in bats in the australasian region",0.157865412965439,0.00427350427350427,0.0172413793103448,"Rhinolophus megaphyllus","Rhinolophus megaphyllus","RHINOLOPHIDAE"
"668",759,"coronavirus infection and diversity in bats in the australasian region","Smith et al.","Ecohealth",2016,20,1,0.05,"Miniopterus australis","alphacoronavirus","","","HKU8","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces or anal swab or intestinal content or oropharyngeal swab","Australia","S","central Queensland","","NA","NA","1996","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","pooled swabs/samples","1","1","1","1",NA,NA,"Yes, BUT for previous study or rabies surveillance","PCR",1,"Miniopterus australis","Miniopterus australis","coronavirus infection and diversity in bats in the australasian region","138","coronavirus infection and diversity in bats in the australasian region",0.266857931928527,0.0121951219512195,0.05,"Miniopterus australis","Miniopterus australis","VESPERTILIONIDAE"
"669",760,"coronavirus infection and diversity in bats in the australasian region","Smith et al.","Ecohealth",2016,30,14,0.466667,"Miniopterus australis","alphacoronavirus","","","HKU8","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"faeces or anal swab or intestinal content or oropharyngeal swab","Australia","S","far-north Queensland","","NA","NA","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","pooled swabs/samples","1","1","1","1",NA,NA,"Yes, BUT for previous study or rabies surveillance","PCR",1,"Miniopterus australis","Miniopterus australis","coronavirus infection and diversity in bats in the australasian region","139","coronavirus infection and diversity in bats in the australasian region",0.753100776470384,0.00819672131147541,0.466666666666666,"Miniopterus australis","Miniopterus australis","VESPERTILIONIDAE"
"670",761,"coronavirus infection and diversity in bats in the australasian region","Smith et al.","Ecohealth",2016,154,38,0.246753,"Miniopterus australis","alphacoronavirus","","","HKU8","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"faeces or anal swab or intestinal content or oropharyngeal swab","Australia","S","south-east Queensland","","NA","NA","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","pooled swabs/samples","1","1","1","1",NA,NA,"Yes, BUT for previous study or rabies surveillance","PCR",1,"Miniopterus australis","Miniopterus australis","coronavirus infection and diversity in bats in the australasian region","140","coronavirus infection and diversity in bats in the australasian region",0.521726229042053,0.00161812297734628,0.246753246753247,"Miniopterus australis","Miniopterus australis","VESPERTILIONIDAE"
"671",762,"coronavirus infection and diversity in bats in the australasian region","Smith et al.","Ecohealth",2016,59,6,0.101695,"Miniopterus schreibersii","alphacoronavirus","","","HKU8","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"faeces or anal swab or intestinal content or oropharyngeal swab","Australia","S","Northern Territory","","NA","NA","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","pooled swabs/samples","1","1","1","1",NA,NA,"Yes, BUT for previous study or rabies surveillance","PCR",1,"Miniopterus schreibersii","Miniopterus schreibersii","coronavirus infection and diversity in bats in the australasian region","141","coronavirus infection and diversity in bats in the australasian region",0.335166060608879,0.00420168067226891,0.101694915254237,"Miniopterus schreibersii","Miniopterus schreibersii","VESPERTILIONIDAE"
"672",763,"coronavirus infection and diversity in bats in the australasian region","Smith et al.","Ecohealth",2016,238,63,0.264706,"Miniopterus schreibersii","alphacoronavirus","","","HKU8","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"faeces or anal swab or intestinal content or oropharyngeal swab","Australia","S","south-east Queensland","","NA","NA","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","pooled swabs/samples","1","1","1","1",NA,NA,"Yes, BUT for previous study or rabies surveillance","PCR",1,"Miniopterus schreibersii","Miniopterus schreibersii","coronavirus infection and diversity in bats in the australasian region","142","coronavirus infection and diversity in bats in the australasian region",0.541531623030626,0.0010482180293501,0.264705882352941,"Miniopterus schreibersii","Miniopterus schreibersii","VESPERTILIONIDAE"
"676",767,"coronavirus infection and diversity in bats in the australasian region","Smith et al.","Ecohealth",2016,64,13,0.203125,"Myotis macropus","alphacoronavirus","","","","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"faeces or anal swab or intestinal content or oropharyngeal swab","Australia","S","south-east Queensland","","NA","NA","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","pooled swabs/samples","1","1","1","1",NA,NA,"Yes, BUT for previous study or rabies surveillance","PCR",1,"Myotis macropus","Myotis macropus","coronavirus infection and diversity in bats in the australasian region","143","coronavirus infection and diversity in bats in the australasian region",0.473130398606115,0.00387596899224806,0.203125,"Myotis macropus","Myotis macropus","VESPERTILIONIDAE"
"681",772,"coronavirus infection and diversity in bats in the australasian region","Smith et al.","Ecohealth",2016,4,1,0.25,"Vespadelus pumilus","alphacoronavirus","","","","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"faeces or anal swab or intestinal content or oropharyngeal swab","Australia","S","south-east Queensland","","NA","NA","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","pooled swabs/samples","1","1","1","1",NA,NA,"Yes, BUT for previous study or rabies surveillance","PCR",1,"Vespadelus pumilus","Vespadelus pumilus","coronavirus infection and diversity in bats in the australasian region","144","coronavirus infection and diversity in bats in the australasian region",0.574183406001544,0.0555555555555556,0.25,"Vespadelus pumilus","Vespadelus pumilus","VESPERTILIONIDAE"
"735",836,"coronaviruses in south african bats","Geldenhuys et al.","Vector Borne Zoonotic Dis",2013,14,1,0.071429,"Miniopterus natalensis","alphacoronavirus","","bat","Miniopterus-BtCoV Irene/SA/09","pooled","cross-sectional","RNA","double heminested RT-PCR","multiple","RdRp",NA,"faeces or rectal tissue/swab","South Africa","S"," Gauteng, Limpopo, North West","Irene Caves (Gauteng, site of positive coronavirus), Peppercorn cave in Modimole (Limpopo), Venterskroon in Thabela thabeng (North West) ","NA","NA","2009","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"Yes, BUT for previous study or rabies surveillance","PCR",1,"Miniopterus natalensis","Miniopterus natalensis","coronaviruses in south african bats","145","coronaviruses in south african bats",0.317474792868767,0.0172413793103448,0.0714285714285714,"Miniopterus natalensis","Miniopterus natalensis","VESPERTILIONIDAE"
"737",838,"coronaviruses in south african bats","Geldenhuys et al.","Vector Borne Zoonotic Dis",2013,2,1,0.5,"Mops midas","alphacoronavirus","","bat","Mops-BtCoV1364/SA/11","single","cross-sectional","RNA","double heminested RT-PCR","multiple","RdRp",NA,"faecal swab","South Africa","S","Limpopo","Makhado,","NA","NA","2011","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"Yes, BUT for previous study or rabies surveillance","PCR",1,"Mops midas","Mops midas","coronaviruses in south african bats","146","coronaviruses in south african bats",0.785398163397448,0.1,0.5,"Mops midas","Mops midas","MOLOSSIDAE"
"742",843,"coronaviruses in south african bats","Geldenhuys et al.","Vector Borne Zoonotic Dis",2013,10,1,0.1,"Neoromicia capensis","alphacoronavirus","","bat","Neo-BtCoV167/SA/07","pooled","cross-sectional","RNA","double heminested RT-PCR","multiple","RdRp",NA,"faeces or rectal tissue/swab","South Africa","S","North West, Limpopo, Gauteng","Taung (North West, site of positive coronavirus), Pafuri, Kruger National Park (Limpopo), Free Me rehab (Gauteng)","NA","NA","2007","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:12pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"Yes, BUT for previous study or rabies surveillance","PCR",1,"Neoromicia capensis","Neoromicia capensis","coronaviruses in south african bats","147","coronaviruses in south african bats",0.373394016087184,0.0238095238095238,0.1,"Neoromicia capensis","Neoromicia capensis","VESPERTILIONIDAE"
"768",871,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,40,8,0.2,"Myotis daubentonii","alphacoronavirus","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ","NA","NA","2013","","October",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","PCR",1,"Myotis daubentonii","Myotis daubentonii","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","148","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark",0.472568996616836,0.00617283950617284,0.2,"Myotis daubentonii","Myotis daubentonii","VESPERTILIONIDAE"
"769",872,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,53,9,0.169811,"Myotis daubentonii","alphacoronavirus","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ","NA","NA","2014","","October",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","PCR",1,"Myotis daubentonii","Myotis daubentonii","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","149","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark",0.432697152310956,0.00467289719626168,0.169811320754717,"Myotis daubentonii","Myotis daubentonii","VESPERTILIONIDAE"
"770",873,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,4,1,0.25,"Myotis daubentonii","alphacoronavirus","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ","NA","NA","2015","","April",NA,"","","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","0","0","0","1",NA,NA,"No","PCR",1,"Myotis daubentonii","Myotis daubentonii","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","150","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark",0.574183406001544,0.0555555555555556,0.25,"Myotis daubentonii","Myotis daubentonii","VESPERTILIONIDAE"
"771",874,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,10,6,0.6,"Myotis daubentonii","alphacoronavirus","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ","NA","NA","2015","","October",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","PCR",1,"Myotis daubentonii","Myotis daubentonii","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","151","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark",0.8772135155977,0.0238095238095238,0.6,"Myotis daubentonii","Myotis daubentonii","VESPERTILIONIDAE"
"772",875,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,11,6,0.545455,"Myotis daubentonii","alphacoronavirus","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ","NA","NA","2015","","November",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","PCR",1,"Myotis daubentonii","Myotis daubentonii","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","152","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark",0.827260183202371,0.0217391304347826,0.545454545454545,"Myotis daubentonii","Myotis daubentonii","VESPERTILIONIDAE"
"774",877,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,58,13,0.224138,"Myotis daubentonii","alphacoronavirus","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ","NA","NA","2016","","September",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","PCR",1,"Myotis daubentonii","Myotis daubentonii","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","153","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark",0.498702972951612,0.00427350427350427,0.224137931034483,"Myotis daubentonii","Myotis daubentonii","VESPERTILIONIDAE"
"778",881,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,2,1,0.5,"Myotis dasycneme","alphacoronavirus","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ","NA","NA","2015","","April",NA,"","","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","0","0","0","1",NA,NA,"No","PCR",1,"Myotis dasycneme","Myotis dasycneme","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","154","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark",0.785398163397448,0.1,0.5,"Myotis dasycneme","Myotis dasycneme","VESPERTILIONIDAE"
"779",882,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,1,1,1,"Myotis dasycneme","alphacoronavirus","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ","NA","NA","2015","","November",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","PCR",1,"Myotis dasycneme","Myotis dasycneme","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","155","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark",1.17809724509617,0.166666666666667,1,"Myotis dasycneme","Myotis dasycneme","VESPERTILIONIDAE"
"780",883,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,6,1,0.166667,"Myotis dasycneme","alphacoronavirus","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ","NA","NA","2016","","September",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","PCR",1,"Myotis dasycneme","Myotis dasycneme","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","156","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark",0.475769664007905,0.0384615384615385,0.166666666666667,"Myotis dasycneme","Myotis dasycneme","VESPERTILIONIDAE"
"784",887,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,2,1,0.5,"Myotis nattereri","alphacoronavirus","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ","NA","NA","2014","","October",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","PCR",1,"Myotis nattereri","Myotis nattereri","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","157","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark",0.785398163397448,0.1,0.5,"Myotis nattereri","Myotis nattereri","VESPERTILIONIDAE"
"797",898,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,6,1,0.166667,"Pipistrellus pygmaeus","alphacoronavirus","","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Funen, Sollerup forest","NA","NA","2013","","August",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","1","0","0","0",NA,NA,"No","PCR",1,"Pipistrellus pygmaeus","Pipistrellus pygmaeus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","158","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark",0.475769664007905,0.0384615384615385,0.166666666666667,"Pipistrellus pygmaeus","Pipistrellus pygmaeus","VESPERTILIONIDAE"
"798",899,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,9,1,0.111111,"Pipistrellus pygmaeus","alphacoronavirus","","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"roost feces,faeces","Denmark","N","","Vadum - mix of individual + floor samples from colony","NA","NA","2014","","June",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","1","0","0","0",NA,NA,"No","PCR",1,"Pipistrellus pygmaeus","Pipistrellus pygmaeus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","159","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark",0.392699081698724,0.0263157894736842,0.111111111111111,"Pipistrellus pygmaeus","Pipistrellus pygmaeus","VESPERTILIONIDAE"
"800",1842,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,8,4,0.5,"Pipistrellus pygmaeus","alphacoronavirus","","","","pooled","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"roost feces,faeces","Denmark","N","","Borup - 5 individual samples, 3 from floor","NA","NA","2015","","September",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","PCR",1,"Pipistrellus pygmaeus","Pipistrellus pygmaeus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","160","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark",0.785398163397448,0.0294117647058824,0.5,"Pipistrellus pygmaeus","Pipistrellus pygmaeus","VESPERTILIONIDAE"
"805",906,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,1,1,1,"Eptesicus serotinus","alphacoronavirus","","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Tim - 1 individual","NA","NA","2014","","June",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","1","0","0","0",NA,NA,"No","PCR",1,"Eptesicus serotinus","Eptesicus serotinus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","161","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark",1.17809724509617,0.166666666666667,1,"Eptesicus serotinus","Eptesicus serotinus","VESPERTILIONIDAE"
"806",1843,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,2,2,1,"Eptesicus serotinus","alphacoronavirus","","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"roost feces","Denmark","N","","Tim - 2 from floor","NA","NA","2014","","June",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","1","0","0","0",NA,NA,"No","PCR",1,"Eptesicus serotinus","Eptesicus serotinus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","162","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark",1.2630564724597,0.1,1,"Eptesicus serotinus","Eptesicus serotinus","VESPERTILIONIDAE"
"808",908,"detection of polyoma and corona viruses in bats of canada","Misra et al.","J Gen Virol",2009,21,1,0.047619,"Myotis lucifugus","alphacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp ",NA,"pooled tissue (liver/lung/small intestine/brain/kidney/spleen)","Canada","N","Manitoba","St. George Cave","NA","NA","2007","","",NA,"","September","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","pooled tissue","0","1","0","0",NA,NA,"Yes, for this study; also rabies submissions + found carcasses were processed","PCR",1,"Myotis lucifugus","Myotis lucifugus","detection of polyoma and corona viruses in bats of canada","163","detection of polyoma and corona viruses in bats of canada",0.260563601122691,0.0116279069767442,0.0476190476190476,"Myotis lucifugus","Myotis lucifugus","VESPERTILIONIDAE"
"809",909,"detection of polyoma and corona viruses in bats of canada","Misra et al.","J Gen Virol",2009,5,1,0.2,"Myotis lucifugus","alphacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp ",NA,"pooled tissue (liver/lung/small intestine/brain/kidney/spleen)","Canada","N","Manitoba","Dale's Cave","NA","NA","2008","","",NA,"","May","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","pooled tissue","0","0","0","1",NA,NA,"Yes, for this study; also rabies submissions + found carcasses were processed","PCR",1,"Myotis lucifugus","Myotis lucifugus","detection of polyoma and corona viruses in bats of canada","164","detection of polyoma and corona viruses in bats of canada",0.518007021977176,0.0454545454545455,0.2,"Myotis lucifugus","Myotis lucifugus","VESPERTILIONIDAE"
