"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","sample_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","gene_targets_simplified","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies"
"772",906,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,1,1,1,"Eptesicus serotinus","alphacoronavirus","","","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Tim - 1 individual","NA","NA","2014","","June",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces","1","0","0","0",NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Eptesicus serotinus","Eptesicus serotinus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark"
"773",1843,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,2,2,1,"Eptesicus serotinus","alphacoronavirus","","","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"roost feces","Denmark","N","","Tim - 2 from floor","NA","NA","2014","","June",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces","1","0","0","0",NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Eptesicus serotinus","Eptesicus serotinus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark"
"775",908,"detection of polyoma and corona viruses in bats of canada","Misra et al.","J Gen Virol",2009,21,1,0.047619,"Myotis lucifugus","alphacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp ",NA,"pooled tissue (liver/lung/small intestine/brain/kidney/spleen)","Canada","N","Manitoba","St. George Cave","NA","NA","2007","","",NA,"","September","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","pooled tissue","tissue","0","1","0","0",NA,NA,"RdRp","Yes, for this study; also rabies submissions + found carcasses were processed","Yes","PCR","alphacoronavirus",1,"Myotis lucifugus","Myotis lucifugus","detection of polyoma and corona viruses in bats of canada"
"776",909,"detection of polyoma and corona viruses in bats of canada","Misra et al.","J Gen Virol",2009,5,1,0.2,"Myotis lucifugus","alphacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp ",NA,"pooled tissue (liver/lung/small intestine/brain/kidney/spleen)","Canada","N","Manitoba","Dale's Cave","NA","NA","2008","","",NA,"","May","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","pooled tissue","tissue","0","0","0","1",NA,NA,"RdRp","Yes, for this study; also rabies submissions + found carcasses were processed","Yes","PCR","alphacoronavirus",1,"Myotis lucifugus","Myotis lucifugus","detection of polyoma and corona viruses in bats of canada"
"777",910,"detection of polyoma and corona viruses in bats of canada","Misra et al.","J Gen Virol",2009,5,1,0.2,"Myotis lucifugus","alphacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp ",NA,"pooled tissue (liver/lung/small intestine/brain/kidney/spleen)","Canada","N","Manitoba","Abyss Cave","NA","NA","2008","","",NA,"","May","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","pooled tissue","tissue","0","0","0","1",NA,NA,"RdRp","Yes, for this study; also rabies submissions + found carcasses were processed","Yes","PCR","alphacoronavirus",1,"Myotis lucifugus","Myotis lucifugus","detection of polyoma and corona viruses in bats of canada"
"780",917,"detection of severe acute respiratory syndrome-like, middle east respiratory syndrome-like bat coronaviruses and group h rotavirus in faeces of korean bats","Kim et al.","Transbound Emerg Dis",2016,4,2,0.5,"Miniopterus schreibersii","alphacoronavirus","","","bat","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Korea","N","Munkyung","BGS Cave","NA","NA","2015","","",NA,"","December","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces","0","0","1","0",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Miniopterus schreibersii","Miniopterus schreibersii","detection of severe acute respiratory syndrome-like, middle east respiratory syndrome-like bat coronaviruses and group h rotavirus in faeces of korean bats"
"783",925,"detection of specific antibodies to the nucleocapsid protein fragments of severe acute respiratory syndrome-coronavirus and scotophilus bat coronavirus-512 in three insectivorous bat species","Chen YiNing et al.","Taiwan Veterinary Journal",2018,52,29,0.557692,"Scotophilus kuhlii","alphacoronavirus","","","bat","Scotophilus bat CoV-512","pooled","longitudinal","antibody","ELISA","","N3",NA,"serum","Taiwan","N","Yunlin","palm at Beigang sugar processing factory trees","NA","NA","","2014","September",2015,"August","","Summer,Fall",2,"","","","","VERENA Admin","4/12/2022 2:13pm","blood or serum","sera","1","1","0","0",NA,NA,"Other","No","No","ELISA","alphacoronavirus",1,"Scotophilus kuhlii","Scotophilus kuhlii","detection of specific antibodies to the nucleocapsid protein fragments of severe acute respiratory syndrome-coronavirus and scotophilus bat coronavirus-512 in three insectivorous bat species"
"784",930,"detection of specific antibodies to the nucleocapsid protein fragments of severe acute respiratory syndrome-coronavirus and scotophilus bat coronavirus-512 in three insectivorous bat species","Chen YiNing et al.","Taiwan Veterinary Journal",2018,21,10,0.47619,"Scotophilus kuhlii","alphacoronavirus","","","bat","Scotophilus bat CoV-512","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"faeces","Taiwan","N","Yunlin","palm at Beigang sugar processing factory trees","NA","NA","","2014","September",2015,"August","","Summer,Fall",2,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces","1","1","0","0",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Scotophilus kuhlii","Scotophilus kuhlii","detection of specific antibodies to the nucleocapsid protein fragments of severe acute respiratory syndrome-coronavirus and scotophilus bat coronavirus-512 in three insectivorous bat species"
"786",927,"detection of specific antibodies to the nucleocapsid protein fragments of severe acute respiratory syndrome-coronavirus and scotophilus bat coronavirus-512 in three insectivorous bat species","Chen YiNing et al.","Taiwan Veterinary Journal",2018,62,7,0.112903,"Rhinolophus monoceros","alphacoronavirus","","","bat","Scotophilus bat CoV-512","pooled","longitudinal","antibody","Western Blot","","N3",NA,"serum","Taiwan","N","Yilan","irrigation culvert at Dongshan","NA","NA","","2014","October",2015,"September","","Summer,Fall",2,"","","","","VERENA Admin","4/26/2022 1:35pm","blood or serum","sera","1","1","0","0",NA,NA,"Other","No","No","Western Blot","alphacoronavirus",1,"Rhinolophus pusillus","Rhinolophus pusillus","detection of specific antibodies to the nucleocapsid protein fragments of severe acute respiratory syndrome-coronavirus and scotophilus bat coronavirus-512 in three insectivorous bat species"
"789",929,"detection of specific antibodies to the nucleocapsid protein fragments of severe acute respiratory syndrome-coronavirus and scotophilus bat coronavirus-512 in three insectivorous bat species","Chen YiNing et al.","Taiwan Veterinary Journal",2018,18,1,0.055556,"Miniopterus fuliginosus","alphacoronavirus","","","bat","Scotophilus bat CoV-512","pooled","longitudinal","antibody","ELISA","","N3",NA,"serum","Taiwan","N","Yilan","irrigation culvert at Dongshan","NA","NA","","2014","October",2015,"September","","Summer,Fall",2,"","","","","VERENA Admin","4/12/2022 2:14pm","blood or serum","sera","1","1","0","0",NA,NA,"Other","No","No","ELISA","alphacoronavirus",1,"Miniopterus fuliginosus","Miniopterus fuliginosus","detection of specific antibodies to the nucleocapsid protein fragments of severe acute respiratory syndrome-coronavirus and scotophilus bat coronavirus-512 in three insectivorous bat species"
"795",2998,"detection of the severe acute respiratory syndrome-related coronavirus and alphacoronavirus in the bat population of taiwan","Chen et al.","Zoonoses Public Health",2016,50,3,0.06,"Rhinolophus monoceros","alphacoronavirus","","","","Scotophilus bat CoV 512-related lineage","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Taiwan","N","Miaoli, Dili, Dongshan","Woods (Miaoli), irrigation culvert (Dili), irrigation culvert (Dongshan) ","121°00'45″E (Miaoli), 120°250 27″E (Dongshan), 120°54'51″E (Dili)","24°25'35″N (Miaoli), 23°19'04″N (Dongshan), 23°48'24″N (Dili)","","2013","November",2014,"October","","Year",3,"Y","","","","VERENA Admin","4/26/2022 2:02pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Rhinolophus pusillus","Rhinolophus pusillus","detection of the severe acute respiratory syndrome-related coronavirus and alphacoronavirus in the bat population of taiwan"
"797",2997,"detection of the severe acute respiratory syndrome-related coronavirus and alphacoronavirus in the bat population of taiwan","Chen et al.","Zoonoses Public Health",2016,54,7,0.12963,"Miniopterus fuliginosus","alphacoronavirus","","","","Scotophilus bat CoV 512-related lineage, Miniopterus bat CoV1A-related lineage","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Taiwan","N","Guihou, Miaoli, Dili, Dongshan","Woods (Guihou), Woods (Miaoli), irrigation culvert (Dili), irrigation culvert (Dongshan) ","121°00'45″E (Miaoli), 120°25'27″E (Dongshan), 120°54'51″E (Dili), 121°40'41″E (Guihui)","24°25'35″N (Miaoli), 23°19'04″N (Dongshan), 23°48'24″N (Dili), 25°11'24″N (Guihui)","","2013","August",2014,"October","","Year",6,"Y","","","","VERENA Admin","4/26/2022 2:02pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Miniopterus fuliginosus","Miniopterus fuliginosus","detection of the severe acute respiratory syndrome-related coronavirus and alphacoronavirus in the bat population of taiwan"
"800",939,"detection of the severe acute respiratory syndrome-related coronavirus and alphacoronavirus in the bat population of taiwan","Chen et al.","Zoonoses Public Health",2016,10,1,0.1,"Kerivoula titania","alphacoronavirus","","","","Scotophilus bat CoV 512-related lineage","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Taiwan","N","Dong'ao, Nan'ao, Miaoli","Woods","121°49'53″E (Dong'ao), 121°46'2″E (Nan'ao), 121°00'45″E (Miaoli)","24°31' 55″N (Dong'ao), 24°31'9″N (Nan'ao), 24°25'35″N (Miaoli)","","2013","September",2014,"October","","Year",4,"Y","","","","VERENA Admin","4/26/2022 2:06pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Kerivoula titania","Kerivoula titania","detection of the severe acute respiratory syndrome-related coronavirus and alphacoronavirus in the bat population of taiwan"
"813",2999,"detection of the severe acute respiratory syndrome-related coronavirus and alphacoronavirus in the bat population of taiwan","Chen et al.","Zoonoses Public Health",2016,48,11,0.229167,"Scotophilus kuhlii","alphacoronavirus","","","","Scotophilus bat CoV 512-related lineage","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Taiwan","N","Jhutang, Beigang","palm trees in an elementary school (Jhutang), palm trees in a sugar factory (Beigang)","120°23'12″E (Jhutang), 120°17'51″E (Beigang)","23°50'51″N (Jhutang), 23°34'05″N (Beigang)","","2013","September",2014,"September","","Year",2,"Y","","","","VERENA Admin","4/26/2022 2:05pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Scotophilus kuhlii","Scotophilus kuhlii","detection of the severe acute respiratory syndrome-related coronavirus and alphacoronavirus in the bat population of taiwan"
"814",952,"detection of the severe acute respiratory syndrome-related coronavirus and alphacoronavirus in the bat population of taiwan","Chen et al.","Zoonoses Public Health",2016,3,1,0.333333,"Submyotodon latirostris","alphacoronavirus","","","","Miniopterus bat CoV1A-related lineage","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Taiwan","N","Nan'ao, Miaoli","Woods","121°46'2″E (Nan'ao), 121°00'45″E (Miaoli)","24°31'9″N (Nan'ao), 24°25'35″N (Miaoli)","","2014","June",2014,"October","","Summer,Fall",3,"Y","","","","VERENA Admin","4/26/2022 2:07pm","faecal, rectal, or anal","faeces","1","1","0","0",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Submyotodon latirostris","Submyotodon latirostris","detection of the severe acute respiratory syndrome-related coronavirus and alphacoronavirus in the bat population of taiwan"
"826",967,"discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china","Wang et al.","Emerg Microbes Infect",2017,10,1,0.1,"Rhinolophus pusillus","alphacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","China","N","Yunnan","Mangshi ","NA","NA","2012","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Rhinolophus pusillus","Rhinolophus pusillus","discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china"
"850",1002,"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","Pfefferle et al.","Emerg Infect Dis",2009,40,4,0.1,"Hipposideros caffer ruber","alphacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Ghana","N","Kwamang","Cave Kwamang","1°16'W","6°58'N","2008","","",NA,"","February","Winter",NA,"","","","","VERENA Admin","4/25/2022 1:05pm","faecal, rectal, or anal","faeces","0","0","1","0",6.96666666666667,-1.26666666666667,"RdRp","No","No","PCR","alphacoronavirus",1,"Hipposideros ruber","Hipposideros ruber","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana"
"855",1006,"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","Pfefferle et al.","Emerg Infect Dis",2009,11,1,0.090909,"Hipposideros caffer ruber","alphacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Ghana","N","Booyem, Brong-Ahafo","Cave Booyem B","1°59'33.5""W","7°43'25.7""N","2008","","",NA,"","February","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","faeces","0","0","1","0",7.72380555555556,-1.99263888888889,"RdRp","No","No","PCR","alphacoronavirus",1,"Hipposideros ruber","Hipposideros ruber","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana"
"872",1031,"identification of a novel coronavirus in bats","Poon et al.","Journal of Virology",2005,16,1,0.0625,"Miniopterus magnater","alphacoronavirus","","","bat","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"respiratory swab","China","N","Hong Kong","three different geographic locations","NA","NA","","2003","",2004,"","Summer","Summer",NA,"N","Y, natural reservoirs or country parks","N","","VERENA Admin","4/12/2022 2:17pm","lung or respiratory","swab","1","0","0","0",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Miniopterus magnater","Miniopterus magnater","identification of a novel coronavirus in bats"
"873",1032,"identification of a novel coronavirus in bats","Poon et al.","Journal of Virology",2005,16,2,0.125,"Miniopterus magnater","alphacoronavirus","","","bat","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"fecal swab","China","N","Hong Kong","three different geographic locations","NA","NA","","2003","",2004,"","Summer","Summer",NA,"N","Y, natural reservoirs or country parks","N","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","swab","1","0","0","0",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Miniopterus magnater","Miniopterus magnater","identification of a novel coronavirus in bats"
"874",1033,"identification of a novel coronavirus in bats","Poon et al.","Journal of Virology",2005,19,5,0.263158,"Miniopterus pusillus","alphacoronavirus","","","bat","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"respiratory swab","China","N","Hong Kong","three different geographic locations","NA","NA","","2003","",2004,"","Summer","Summer",NA,"N","Y, natural reservoirs or country parks","N","","VERENA Admin","4/12/2022 2:17pm","lung or respiratory","swab","1","0","0","0",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Miniopterus pusillus","Miniopterus pusillus","identification of a novel coronavirus in bats"
"875",1034,"identification of a novel coronavirus in bats","Poon et al.","Journal of Virology",2005,19,12,0.631579,"Miniopterus pusillus","alphacoronavirus","","","bat","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"fecal swab","China","N","Hong Kong","three different geographic locations","NA","NA","","2003","",2004,"","Summer","Summer",NA,"N","Y, natural reservoirs or country parks","N","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","swab","1","0","0","0",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Miniopterus pusillus","Miniopterus pusillus","identification of a novel coronavirus in bats"
"876",1035,"identification of a novel coronavirus in bats","Poon et al.","Journal of Virology",2005,4,1,0.25,"Miniopterus schreibersii","alphacoronavirus","","","bat","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"respiratory swab","China","N","Hong Kong","three different geographic locations","NA","NA","","2003","",2004,"","Summer","Summer",NA,"N","Y, natural reservoirs or country parks","N","","VERENA Admin","4/12/2022 2:17pm","lung or respiratory","swab","1","0","0","0",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Miniopterus schreibersii","Miniopterus schreibersii","identification of a novel coronavirus in bats"
"877",1036,"identification of a novel coronavirus in bats","Poon et al.","Journal of Virology",2005,4,1,0.25,"Miniopterus schreibersii","alphacoronavirus","","","bat","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"fecal swab","China","N","Hong Kong","three different geographic locations","NA","NA","","2003","",2004,"","Summer","Summer",NA,"N","Y, natural reservoirs or country parks","N","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","swab","1","0","0","0",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Miniopterus schreibersii","Miniopterus schreibersii","identification of a novel coronavirus in bats"
"903",2703,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs","Monchatre-leroy et al.","Viruses-basel",2017,11,2,0.181818,"Myotis emarginatus","alphacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","France","N","","74 of the 100 French administrative departments (positive in East of France)","NA","NA","2014","","",NA,"","","Year",NA,"N","N","N","","VERENA Admin","4/12/2022 2:18pm","intestine","tissue","1","1","1","1",NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Myotis emarginatus","Myotis emarginatus","identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs"
"908",1059,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs","Monchatre-leroy et al.","Viruses-basel",2017,1,1,1,"Myotis nattereri","alphacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","France","N","","74 of the 100 French administrative departments (positive in North of France)","NA","NA","2015","","",NA,"","","Year",NA,"N","N","N","","VERENA Admin","4/12/2022 2:18pm","intestine","tissue","1","1","1","1",NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Myotis nattereri","Myotis nattereri","identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs"
"921",2713,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs","Monchatre-leroy et al.","Viruses-basel",2017,127,4,0.031496,"Pipistrellus pipistrellus","alphacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","France","N","","74 of the 100 French administrative departments","NA","NA","2014","","",NA,"","","Year",NA,"N","N","N","","VERENA Admin","4/12/2022 2:18pm","intestine","tissue","1","1","1","1",NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Pipistrellus pipistrellus","Pipistrellus pipistrellus","identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs"
"922",2714,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs","Monchatre-leroy et al.","Viruses-basel",2017,78,1,0.012821,"Pipistrellus pipistrellus","alphacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","France","N","","74 of the 100 French administrative departments","NA","NA","2015","","",NA,"","","Year",NA,"N","N","N","","VERENA Admin","4/12/2022 2:18pm","intestine","tissue","1","1","1","1",NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Pipistrellus pipistrellus","Pipistrellus pipistrellus","identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs"
"941",1073,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs","Monchatre-leroy et al.","Viruses-basel",2017,1,1,1,"Miniopterus schreibersii","alphacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","France","N","","74 of the 100 French administrative departments (2 areas in the South and East of France)","NA","NA","2014","","",NA,"","","Year",NA,"N","N","N","","VERENA Admin","4/12/2022 2:18pm","intestine","tissue","1","1","1","1",NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Miniopterus schreibersii","Miniopterus schreibersii","identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs"
"942",2726,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs","Monchatre-leroy et al.","Viruses-basel",2017,4,1,0.25,"Miniopterus schreibersii","alphacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","France","N","","74 of the 100 French administrative departments (2 areas in the South and East of France)","NA","NA","2015","","",NA,"","","Year",NA,"N","N","N","","VERENA Admin","4/12/2022 2:18pm","intestine","tissue","1","1","1","1",NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Miniopterus schreibersii","Miniopterus schreibersii","identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs"
"944",1075,"identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china","He et al.","J Virol",2014,32,2,0.0625,"Rhinolophus ferrumequinum","alphacoronavirus","","","","hipposideros bat coronavirus","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"rectal swab","China","N","Yunnan","Bingchuan","NA","NA","2011","","",NA,"","","Year",NA,"N","N","Y, , coinfection with different alphacoronaviruses did exist within a bat population in one location","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china"
"945",1076,"identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china","He et al.","J Virol",2014,30,1,0.033333,"Rhinolophus ferrumequinum","alphacoronavirus","","","","hipposideros bat coronavirus","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"rectal swab","China","N","Yunnan","Jinghong","NA","NA","2011","","",NA,"","","Year",NA,"N","N","Y, , coinfection with different alphacoronaviruses did exist within a bat population in one location","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china"
"948",1079,"identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china","He et al.","J Virol",2014,4,1,0.25,"Rhinolophus hipposideros","alphacoronavirus","","","","hipposideros bat coronavirus","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"rectal swab","China","N","Yunnan","Jinghong","NA","NA","2011","","",NA,"","","Year",NA,"N","N","Y, , coinfection with different alphacoronaviruses did exist within a bat population in one location","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Rhinolophus hipposideros","Rhinolophus hipposideros","identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china"
"950",1081,"identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china","He et al.","J Virol",2014,83,11,0.13253,"Myotis davidii","alphacoronavirus","","","","myotis 5/miniopterus 1/myotis HKU6-like, myotis 4","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"rectal swab","China","N","Yunnan","Xiangyun","NA","NA","2011","","",NA,"","","Year",NA,"N","N","Y, , coinfection with different alphacoronaviruses did exist within a bat population in one location","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Myotis davidii","Myotis davidii","identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china"
"951",2695,"identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china","He et al.","J Virol",2014,22,2,0.090909,"Myotis daubentonii","alphacoronavirus","","","","myotis 5/myotis 4","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"rectal swab","China","N","Yunnan","Xiangyun","NA","NA","2011","","",NA,"","","Year",NA,"N","N","Y, , coinfection with different alphacoronaviruses did exist within a bat population in one location","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Myotis daubentonii","Myotis daubentonii","identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china"
"952",2696,"identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china","He et al.","J Virol",2014,64,5,0.078125,"Myotis daubentonii","alphacoronavirus","","","","myotis 5/myotis HKU-6 like/myotis 4","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"rectal swab","China","N","Yunnan","Bingchuan","NA","NA","2011","","",NA,"","","Year",NA,"N","N","Y, , coinfection with different alphacoronaviruses did exist within a bat population in one location","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Myotis daubentonii","Myotis daubentonii","identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china"
"960",1089,"insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany","Fischer et al.","Infect Genet Evol",2016,321,1,0.003115,"Myotis bechsteinii","alphacoronavirus","","","","","pooled","longitudinal","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"""saliva, faeces, and urine samples""","Germany","N","Bavaria","","NA","NA","","2011","May",2014,"May","","Year",NA,"N","Y, bat boxes in forest","Y, AstV, PmV, CoV","","VERENA Admin","4/12/2022 2:18pm","pooled swabs/samples","pooled","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Myotis bechsteinii","Myotis bechsteinii","insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany"
