title,author,journal,year,doi,ID,study,source,exclude_title,exclude_reason,include,entered
coronaviruses in cats and other companion animals: where does sars-cov-2/covid-19 fit?,Stout et al.,Vet Microbiol,2020,10.1016/j.vetmic.2020.108777,249,Stout et al. 2020 Vet Microbiol,PubMed,Y,no bat,,
"coronaviruses in guano from pteropus medius bats in peradeniya, sri lanka",Kudagammana et al.,Transbound Emerg Dis,2018,10.1111/tbed.12851,250,Kudagammana et al. 2018 Transbound Emerg Dis,PubMed,N,,Y,
coronaviruses in south african bats,Geldenhuys et al.,Vector Borne Zoonotic Dis,2013,10.1089/vbz.2012.1101,251,Geldenhuys et al. 2013 Vector Borne Zoonotic Dis,PubMed,N,,Y,
coronaviruses: a paradigm of new emerging zoonotic diseases,Salata et al.,Pathog Dis,2019,10.1093/femspd/ftaa006,252,Salata et al. 2019 Pathog Dis,PubMed,Y,general review,,
coronaviruses: a review of their properties and diversity,Joseph & Fagbami,African Journal of Clinical and Experimental Microbiology,2020,10.4314/ajcem.v21i4.2,253,Joseph & Fagbami 2020 African Journal of Clinical and Experimental Microbiology,CAB,Y,general review,,
coronaviruses: severe acute respiratory syndrome coronavirus and middle east respiratory syndrome coronavirus in travelers,Al-Tawfiq et al.,Current Opinion in Infectious Diseases,2014,,254,Al-Tawfiq et al. 2014 Current Opinion in Infectious Diseases,CAB,Y,general review,,
covalent immobilization of aspergillus-niger on phema membrane - application to continuous-flow reactors,Arica et al.,Journal of Chemical Technology and Biotechnology,1993,,255,Arica et al. 1993 Journal of Chemical Technology and Biotechnology,WOS,Y,not batcov,,
"covid-19 - a novel zoonotic disease: a review of the disease, the virus, and public health measures",MacKenzie & Smith,Asia-Pacific Journal of Public Health,2020,10.1177/1010539520931326,256,MacKenzie & Smith 2020 Asia-Pacific Journal of Public Health,CAB,Y,general review,,
covid-19 and the crisis of national development,Van,Nat Hum Behav,2020,10.1038/s41562-020-0852-7,257,Van 2020 Nat Hum Behav,PubMed,Y,general review,,
"covid-19 and veterinarians for one health, zoonotic- and reverse-zoonotic transmissions",Yoo HanSang & Yoo DongWan,Journal of Veterinary Science,2020,10.4142/jvs.2020.21.e51,258,Yoo HanSang & Yoo DongWan 2020 Journal of Veterinary Science,CAB,Y,general review,,
covid-19 as a sting disorder with delayed over-secretion of interferon-beta,Berthelot & Lioté,Ebiomedicine,2020,10.1016/j.ebiom.2020.102801,259,Berthelot & Lioté 2020 Ebiomedicine,PubMed,Y,general review,,
covid-19 pandemic - an african perspective,Lone & Ahmad,Emerg Microbes Infect,2020,10.1080/22221751.2020.1775132,260,Lone & Ahmad 2020 Emerg Microbes Infect,PubMed,Y,general review,,
"covid-19: a new virus, but a familiar receptor and cytokine release syndrome",Hirano & Murakami,Immunity,2020,10.1016/j.immuni.2020.04.003,261,Hirano & Murakami 2020 Immunity,PubMed,Y,general review,,
covid-19: a review,Madabhavi et al.,Monaldi Arch Chest Dis,2020,10.4081/monaldi.2020.1298,262,Madabhavi et al. 2020 Monaldi Arch Chest Dis,PubMed,Y,general review,,
"covid-19: a worldwide, zoonotic, pandemic outbreak",Khan et al.,Altern Ther Health Med,2020,,263,Khan et al. 2020 Altern Ther Health Med,PubMed,Y,general review,,
"covid-19: animals, veterinary and zoonotic links",Tiwari et al.,Veterinary Quarterly,2020,10.1080/01652176.2020.1766725,264,Tiwari et al. 2020 Veterinary Quarterly,WOS,Y,general review,,
covid-19: bat-borne viral outbreaks and its prevention through ecological intervention with reference to india,Malik,Environment Conservation Journal,2020,10.36953/ECJ.2020.211215,265,Malik 2020 Environment Conservation Journal,CAB,Y,general review,,
"covid-19: epidemiology, evolution, and cross-disciplinary perspectives",Sun et al.,Trends Mol Med,2020,10.1016/j.molmed.2020.02.008,266,Sun et al. 2020 Trends Mol Med,PubMed,Y,general review,,
covid-19: what has been learned and to be learned about the novel coronavirus disease,Yi et al.,Int J Biol Sci,2020,10.7150/ijbs.45134,267,Yi et al. 2020 Int J Biol Sci,PubMed,Y,general review,,
cowbird parasitism of arizona bell's vireos (vireo bellii arizonae) in a desert riparian landscape: implications for cowbird management and riparian restoration,Averill-murray et al.,Research and Management of The Brown-headed Cowbird In Western Landscapes,1999,,268,Averill-murray et al. 1999 Research and Management of The Brown-headed Cowbird In Western Landscapes,WOS,Y,not batcov,,
critical assessment of the important residues involved in the dimerization and catalysis of mers coronavirus main protease,Ho et al.,Plos One,2015,10.1371/journal.pone.0144865,269,Ho et al. 2015 Plos One,WOS,Y,molecular,,
cross host transmission in the emergence of mers coronavirus,Reusken et al.,Curr Opin Virol,2016,10.1016/j.coviro.2016.01.004,270,Reusken et al. 2016 Curr Opin Virol,PubMed,Y,general review,,
"cross-border transmission of salmonella choleraesuis var kunzendorf in european pigs and wild boar: infection, genetics, and evolution",Leekitcharoenphon et al.,Frontiers in Microbiology,2019,10.3389/fmicb.2019.00179,271,Leekitcharoenphon et al. 2019 Frontiers in Microbiology,CAB,Y,not batcov,,
cross-reactive antibodies in convalescent sars patients' sera against the emerging novel human coronavirus emc (2012) by both immunofluorescent and neutralizing antibody tests,Chan et al.,Journal of Infection,2013,10.1016/j.jinf.2013.03.015,272,Chan et al. 2013 Journal of Infection,WOS,Y,no bat,,
"cross-sectional surveillance of middle east respiratory syndrome coronavirus (mers-cov) in dromedary camels and other mammals in egypt, august 2015 to january 2016",Ali et al.,Eurosurveillance,2017,10.2807/1560-7917.ES.2017.22.11.30487,273,Ali et al. 2017 Eurosurveillance,CAB,N,,Y,
cross-species transmission of the newly identified coronavirus 2019-ncov,Ji et al.,Journal of Medical Virology,2020,10.1002/jmv.25682,274,Ji et al. 2020 Journal of Medical Virology,WOS,Y,no bat,,
cryo-em structures of hku2 and sads-cov spike glycoproteins provide insights into coronavirus evolution,Yu et al.,Nat Commun,2020,10.1038/s41467-020-16876-4,275,Yu et al. 2020 Nat Commun,PubMed,Y,molecular,,
curiosity killed the bat: domestic cats as bat predators,Ancillotto et al.,Mammalian Biology,2013,10.1016/j.mambio.2013.01.003,276,Ancillotto et al. 2013 Mammalian Biology,WOS,Y,no cov,,
current status of human rabies prevention: remaining barriers to global biologics accessibility and disease elimination,Rupprecht & Salahuddin,Expert Review of Vaccines,2019,10.1080/14760584.2019.1627205,277,Rupprecht & Salahuddin 2019 Expert Review of Vaccines,WOS,Y,not batcov,,
"current trends in ecology, volume 1",Battarbee et al.,,2006,,278,Battarbee et al. 2006 ,CAB,Y,general review,,
cysteine substitutions reveal dual functions of the amino-terminal tail in cystic fibrosis transmembrane conductance regulator channel gating,Fu & Kirk,Journal of Biological Chemistry,2001,10.1074/jbc.M105079200,279,Fu & Kirk 2001 Journal of Biological Chemistry,WOS,Y,molecular,,
cytochrome p460 of nitrosomonas europaea - formation of the heme-lysine cross-link in a heterologous host and mutagenic conversion to a non-cross-linked cytochrome c ',Bergmann & Hooper,European Journal of Biochemistry,2003,10.1046/j.1432-1033.2003.03550.x,280,Bergmann & Hooper 2003 European Journal of Biochemistry,WOS,Y,molecular,,
dampened nlrp3-mediated inflammation in bats and implications for a special viral reservoir host,Ahn et al.,Nat Microbiol,2019,10.1038/s41564-019-0371-3,281,Ahn et al. 2019 Nat Microbiol,PubMed,Y,no cov,,
data acquisition varies by bat phonic group for 2 types of bat detectors when weatherproofed and paired in field settings,Kaiser & O'keefe,Wildlife Society Bulletin,2015,10.1002/wsb.572,282,Kaiser & O'keefe 2015 Wildlife Society Bulletin,WOS,Y,not batcov,,
data sampling options for animal-borne video cameras: considerations based on deployments with antarctic fur seals,Hooker et al.,Marine Technology Society Journal,2008,10.4031/002533208786829179,283,Hooker et al. 2008 Marine Technology Society Journal,WOS,Y,not batcov,,
de novo assembly of the aedes aegypti genome using hi-c yields chromosome-length scaffolds,Dudchenko et al.,Science (Washington),2017,,284,Dudchenko et al. 2017 Science (Washington),CAB,Y,not batcov,,
deciphering the bat virome catalog to better understand the ecological diversity of bat viruses and the bat origin of emerging infectious diseases,Wu et al.,Isme Journal,2016,10.1038/ismej.2015.138,285,Wu et al. 2016 Isme Journal,WOS,N,,Y,
decoding the evolution and transmissions of the novel pneumonia coronavirus (sars-cov-2 / hcov-19) using whole genomic data,Yu et al.,Zool Res,2020,10.24272/j.issn.2095-8137.2020.022,286,Yu et al. 2020 Zool Res,PubMed,Y,molecular,,
defaunation of tropical forests reduces habitat quality for seed-dispersing bats in western amazonia: an unexpected connection via mineral licks,Ghanem & Voigt,Animal Conservation,2014,10.1111/acv.12055,287,Ghanem & Voigt 2014 Animal Conservation,WOS,Y,no cov,,
"definition of productive aedes notoscriptus (diptera: culicidae) habitats in western brisbane, and a strategy for their control",Kay et al.,Australian Journal of Entomology,2008,10.1111/j.1440-6055.2008.00641.x,288,Kay et al. 2008 Australian Journal of Entomology,CAB,Y,not batcov,,
"descriptive evaluation of human and animal rabies, and development of a predictive model of bovine rabies in peru",Ulloa-Stanojlovic,,2019,,289,Ulloa-Stanojlovic 2019 ,CAB,Y,not batcov,,
detection and characterization of a novel bat-borne coronavirus in singapore using multiple molecular approaches,Lim et al.,J Gen Virol,2019,10.1099/jgv.0.001307,290,Lim et al. 2019 J Gen Virol,PubMed,N,,Y,
detection and characterization of distinct alphacoronaviruses in five different bat species in denmark,Lazov et al.,Viruses,2018,10.3390/v10090486,291,Lazov et al. 2018 Viruses,PubMed,N,,Y,
detection and characterization of diverse alpha- and betacoronaviruses from bats in china,Xu et al.,Virol Sin,2016,10.1007/s12250-016-3727-3,292,Xu et al. 2016 Virol Sin,PubMed,N,,Y,
detection and full genome characterization of two beta cov viruses related to middle east respiratory syndrome from bats in italy,Moreno et al.,Virol J,2017,10.1186/s12985-017-0907-1,293,Moreno et al. 2017 Virol J,PubMed,N,,Y,
detection and phylogenetic analysis of group 1 coronaviruses in south american bats,Carrington et al.,Emerg Infect Dis,2008,10.3201/eid1412.080642,294,Carrington et al. 2008 Emerg Infect Dis,PubMed,N,,Y,
"detection and prevalence patterns of group i coronaviruses in bats, northern germany",Gloza-rausch et al.,Emerg Infect Dis,2008,10.3201/eid1404.071439,295,Gloza-rausch et al. 2008 Emerg Infect Dis,PubMed,N,,Y,
detection of a divergent alpha coronavirus in bats in piedmont (italy) conference poster,Rizzo et al.,,2015,,296,Rizzo et al. 2015 ,CAB,N,,Y,
detection of a novel and highly divergent coronavirus from asian leopard cats and chinese ferret badgers in southern china,Dong et al.,Journal of Virology,2007,10.1128/JVI.00299-07,297,Dong et al. 2007 Journal of Virology,WOS,Y,no bat,,
detection of a virus related to betacoronaviruses in italian greater horseshoe bats,Balboni et al.,Epidemiol Infect,2011,10.1017/S0950268810001147,298,Balboni et al. 2011 Epidemiol Infect,PubMed,N,,Y,
detection of alpha and betacoronaviruses in multiple iberian bat species,Falcón et al.,Arch Virol,2011,10.1007/s00705-011-1057-1,299,Falcón et al. 2011 Arch Virol,PubMed,N,,Y,
"detection of alpha- and betacoronaviruses in rodents from yunnan, china",Ge et al.,Virol J,2017,10.1186/s12985-017-0766-9,300,Ge et al. 2017 Virol J,PubMed,Y,no bat,,
detection of alphacoronavirus in velvety free-tailed bats (molossus molossus) and brazilian free-tailed bats (tadarida brasiliensis) from urban area of southern brazil,Lima et al.,Virus Genes,2013,10.1007/s11262-013-0899-x,301,Lima et al. 2013 Virus Genes,PubMed,N,,Y,
detection of bat coronavirus and specific antibodies in chestnut bat (scotophilus kuhlii) population in central taiwan,Su BoGang et al.,Taiwan Veterinary Journal,2016,,302,Su BoGang et al. 2016 Taiwan Veterinary Journal,CAB,N,,Y,
detection of bat coronaviruses from miniopterus fuliginosus in japan,Shirato et al.,Virus Genes,2012,10.1007/s11262-011-0661-1,303,Shirato et al. 2012 Virus Genes,PubMed,N,,Y,
detection of coronavirus genomes in moluccan naked-backed fruit bats in indonesia,Anindita et al.,Arch Virol,2015,10.1007/s00705-015-2342-1,304,Anindita et al. 2015 Arch Virol,PubMed,N,,Y,
detection of coronaviruses in bats of various species in italy,Lelli et al.,Viruses,2013,10.3390/v5112679,305,Lelli et al. 2013 Viruses,PubMed,N,,Y,
detection of coronaviruses in pteropus & rousettus species of bats from different states of india,Yadav et al.,Indian J Med Res,2020,10.4103/ijmr.IJMR_795_20,306,Yadav et al. 2020 Indian J Med Res,PubMed,N,,Y,
detection of diverse viruses in alimentary specimens of bats in macau,Liang et al.,Virol Sin,2017,10.1007/s12250-017-3976-9,307,Liang et al. 2017 Virol Sin,PubMed,N,,Y,
detection of gamma-ray transients with wild binary segmentation,Antier et al.,Monthly Notices of The Royal Astronomical Society,2020,10.1093/mnras/staa263,308,Antier et al. 2020 Monthly Notices of The Royal Astronomical Society,WOS,Y,not batcov,,
detection of group 1 coronaviruses in bats in north america,Dominguez et al.,Emerg Infect Dis,2007,10.3201/eid1309.070491,309,Dominguez et al. 2007 Emerg Infect Dis,PubMed,N,,Y,
detection of group 1 coronaviruses in bats using universal coronavirus reverse transcription polymerase chain reactions,Poon & Peiris,Methods Mol Biol,2008,10.1007/978-1-59745-181-9_2,310,Poon & Peiris 2008 Methods Mol Biol,PubMed,N,,Y,
detection of new genetic variants of betacoronaviruses in endemic frugivorous bats of madagascar,Razanajatovo et al.,Virol J,2015,10.1186/s12985-015-0271-y,311,Razanajatovo et al. 2015 Virol J,PubMed,N,,Y,
detection of novel coronaviruses in bats in myanmar,Valitutto et al.,Plos One,2020,10.1371/journal.pone.0230802,312,Valitutto et al. 2020 Plos One,WOS,N,,Y,
detection of novel sars-like and other coronaviruses in bats from kenya,Tong et al.,Emerg Infect Dis,2009,10.3201/eid1503.081013,313,Tong et al. 2009 Emerg Infect Dis,PubMed,N,,Y,
detection of polyoma and corona viruses in bats of canada,Misra et al.,J Gen Virol,2009,10.1099/vir.0.010694-0,314,Misra et al. 2009 J Gen Virol,PubMed,N,,Y,
detection of potentially novel paramyxovirus and coronavirus viral rna in bats and rats in the mekong delta region of southern viet nam,Berto et al.,Zoonoses Public Health,2018,10.1111/zph.12362,315,Berto et al. 2018 Zoonoses Public Health,PubMed,N,,Y,
detection of recombinant rousettus bat coronavirus gccdc1 in lesser dawn bats (eonycteris spelaea) in singapore,Paskey et al.,Viruses-basel,2020,10.3390/v12050539,316,Paskey et al. 2020 Viruses-basel,WOS,N,,Y,
"detection of severe acute respiratory syndrome-like, middle east respiratory syndrome-like bat coronaviruses and group h rotavirus in faeces of korean bats",Kim et al.,Transbound Emerg Dis,2016,10.1111/tbed.12515,317,Kim et al. 2016 Transbound Emerg Dis,PubMed,N,,Y,
detection of specific antibodies to the nucleocapsid protein fragments of severe acute respiratory syndrome-coronavirus and scotophilus bat coronavirus-512 in three insectivorous bat species,Chen YiNing et al.,Taiwan Veterinary Journal,2018,10.1142/S1682648518500063,318,Chen YiNing et al. 2018 Taiwan Veterinary Journal,CAB,N,,Y,
detection of the severe acute respiratory syndrome-related coronavirus and alphacoronavirus in the bat population of taiwan,Chen et al.,Zoonoses Public Health,2016,10.1111/zph.12271,319,Chen et al. 2016 Zoonoses Public Health,PubMed,N,,Y,
detection probability in aerial surveys of feral horses,Ransom,Journal of Wildlife Management,2012,10.1002/jwmg.204,320,Ransom 2012 Journal of Wildlife Management,WOS,Y,not batcov,,
determining causality and controlling disease is based on collaborative research involving multidisciplinary approaches,Skerratt et al.,Ecohealth,2009,10.1007/s10393-010-0292-3,321,Skerratt et al. 2009 Ecohealth,WOS,Y,not batcov,,
development and evaluation of a high density genotyping 'axiom_arachis' array with 58 k snps for accelerating genetics and breeding in groundnut,Pandey et al.,Scientific Reports,2017,10.1038/srep40577,322,Pandey et al. 2017 Scientific Reports,WOS,Y,not batcov,,
"development of a one-step rt-pcr assay for detection of pancoronaviruses (alpha-, beta-, gamma- and delta-coronaviruses) using newly designed degenerate primers for porcine and avian 'fecal samples",Hu et al.,Journal of Virological Methods,2018,10.1016/j.jviromet.2018.02.021,323,Hu et al. 2018 Journal of Virological Methods,WOS,Y,no bat,,
development of a spa-elisa method for detecting anti-coronavirus igg antibodies in serum samples from fulvous fruit bats,Zhou et al.,Nan Fang Yi Ke Da Xue Xue Bao,2008,,324,Zhou et al. 2008 Nan Fang Yi Ke Da Xue Xue Bao,PubMed,N,,Y,
development of animal models against emerging coronaviruses: from sars to mers coronavirus,Sutton & Subbarao,Virology,2015,10.1016/j.virol.2015.02.030,325,Sutton & Subbarao 2015 Virology,CAB,Y,general review,,
development of four phylogenetically-arrayed bac libraries and sequence of the apa locus in phaseolus vulgaris,Kami et al.,Theoretical and Applied Genetics,2006,10.1007/s00122-005-0201-2,326,Kami et al. 2006 Theoretical and Applied Genetics,WOS,Y,not batcov,,
development of leishmania (mundinia) in guinea pigs,Becvar et al.,Parasites and Vectors,2020,10.1186/s13071-020-04039-9,327,Becvar et al. 2020 Parasites and Vectors,CAB,Y,not batcov,,
development of multiplexed bead arrays for the simultaneous detection of nucleic acid from multiple viruses in bat samples,Boyd et al.,Journal of Virological Methods,2015,10.1016/j.jviromet.2015.07.004,328,Boyd et al. 2015 Journal of Virological Methods,WOS,N,,Y,
did sars come from bats?,Choi,Scientist,2005,,329,Choi 2005 Scientist,WOS,Y,general review,,
difference in receptor usage between severe acute respiratory syndrome (sars) coronavirus and sars-like coronavirus of bat origin,Ren et al.,J Virol,2008,10.1128/JVI.01085-07,330,Ren et al. 2008 J Virol,PubMed,Y,molecular,,
"differential sensitivity of bat cells to infection by enveloped rna viruses: coronaviruses, paramyxoviruses, filoviruses, and influenza viruses",Hoffmann et al.,Plos One,2013,10.1371/journal.pone.0072942,331,Hoffmann et al. 2013 Plos One,PubMed,Y,molecular,,
differential stepwise evolution of sars coronavirus functional proteins in different host species,Tang et al.,Bmc Evolutionary Biology,2009,10.1186/1471-2148-9-52,332,Tang et al. 2009 Bmc Evolutionary Biology,WOS,Y,molecular,,
differential transcriptional modulation of biological processes in adipocyte triglyceride lipase and hormone-sensitive lipase-deficient mice,Pinent et al.,Genomics,2008,10.1016/j.ygeno.2008.03.010,333,Pinent et al. 2008 Genomics,WOS,Y,not batcov,,
dipeptidyl peptidase 4 is a functional receptor for the emerging human coronavirus-emc,Raj et al.,Nature,2013,10.1038/nature12005,334,Raj et al. 2013 Nature,PubMed,Y,molecular,,
discovery and characterization of novel bat coronavirus lineages from kazakhstan,Mendenhall et al.,Viruses,2019,10.3390/v11040356,335,Mendenhall et al. 2019 Viruses,PubMed,N,,Y,
discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china,Wang et al.,Emerg Microbes Infect,2017,10.1038/emi.2016.140,336,Wang et al. 2017 Emerg Microbes Infect,PubMed,N,,Y,
discovery of a highly divergent coronavirus in the asian house shrew from china illuminates the origin of the alphacoronaviruses,Wang Wen et al.,Journal of Virology,2017,10.1128/jvi.00764-17,337,Wang Wen et al. 2017 Journal of Virology,CAB,N,,Y,
discovery of a novel swine enteric alphacoronavirus (seacov) in southern china,Pan et al.,Vet Microbiol,2017,10.1016/j.vetmic.2017.09.020,338,Pan et al. 2017 Vet Microbiol,PubMed,Y,no bat,,
discovery of a rich gene pool of bat sars-related coronaviruses provides new insights into the origin of sars coronavirus,Hu et al.,Plos Pathog,2017,10.1371/journal.ppat.1006698,339,Hu et al. 2017 Plos Pathog,PubMed,N,,Y,
discovery of bat coronaviruses through surveillance and probe capture-based next-generation sequencing,Li et al.,Msphere,2020,10.1128/mSphere.00807-19,340,Li et al. 2020 Msphere,PubMed,N,,Y,
discovery of novel alphacoronaviruses in european rodents and shrews,Tsoleridis et al.,Viruses-basel,2016,10.3390/v8030084,341,Tsoleridis et al. 2016 Viruses-basel,WOS,Y,no bat,,
discovery of novel bat coronaviruses in south china that use the same receptor as middle east respiratory syndrome coronavirus,Luo et al.,J Virol,2018,10.1128/JVI.00116-18,342,Luo et al. 2018 J Virol,PubMed,N,,Y,
"discovery of novel fungal species and pathogens on bat carcasses in a cave in yunnan province, china",Karunarathna et al.,Emerging Microbes and Infections,2020,10.1080/22221751.2020.1785333,343,Karunarathna et al. 2020 Emerging Microbes and Infections,CAB,Y,no cov,,
discovery of seven novel mammalian and avian coronaviruses in the genus deltacoronavirus supports bat coronaviruses as the gene source of alphacoronavirus and betacoronavirus and avian coronaviruses as the gene source of gammacoronavirus and deltacoronavirus,Woo et al.,J Virol,2012,10.1128/JVI.06540-11,344,Woo et al. 2012 J Virol,PubMed,Y,no bat,,
"discovery, diversity and evolution of novel coronaviruses sampled from rodents in china",Wang et al.,Virology,2015,10.1016/j.virol.2014.10.017,345,Wang et al. 2015 Virology,WOS,Y,no bat,,
disease risk from human-environment interactions: environment and development economics for joint conservation-health policy,Albers et al.,Environmental & Resource Economics,2020,10.1007/s10640-020-00449-6,346,Albers et al. 2020 Environmental & Resource Economics,WOS,Y,general review,,
disease risk in temperate amphibian populations is higher at closed-canopy sites,Becker et al.,Plos One,2012,10.1371/journal.pone.0048205,347,Becker et al. 2012 Plos One,WOS,Y,not batcov,,
"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana",Pfefferle et al.,Emerg Infect Dis,2009,10.3201/eid1509.090224,348,Pfefferle et al. 2009 Emerg Infect Dis,PubMed,N,,Y,
distribution of bat-borne viruses and environment patterns,Afelt et al.,Infection Genetics and Evolution,2018,10.1016/j.meegid.2017.12.009,349,Afelt et al. 2018 Infection Genetics and Evolution,WOS,N,,Y,
diversity of coronavirus in bats from eastern thailand,Wacharapluesadee et al.,Virology Journal,2015,10.1186/s12985-015-0289-1,350,Wacharapluesadee et al. 2015 Virology Journal,WOS,N,,Y,
"diversity, population structure, and evolution of local peach cultivars in china identified by simple sequence repeats",Shen et al.,Genetics and Molecular Research,2015,10.4238/2015.January.15.13,351,Shen et al. 2015 Genetics and Molecular Research,WOS,Y,not batcov,,
do green roofs provide habitat for bats in urban areas?,Pearce & Walters,Acta Chiropterologica,2012,10.3161/150811012X661774,352,Pearce & Walters 2012 Acta Chiropterologica,WOS,Y,no cov,,
drodvir: a resource for exploring the virome diversity in rodents,Chen et al.,Journal of Genetics and Genomics,2017,10.1016/j.jgg.2017.04.004,353,Chen et al. 2017 Journal of Genetics and Genomics,WOS,Y,not batcov,,
e-dna sensor of mycobacterium tuberculosis based on electrochemical assembly of nanomaterials (mwcnts/ppy/pamam),Miodek et al.,Analytical Chemistry (Washington),2015,10.1021/acs.analchem.5b01761,354,Miodek et al. 2015 Analytical Chemistry (Washington),CAB,Y,not batcov,,
"eastern equine encephalomyelitis, western equine encephalomyelitis and venezuelan equine encephalomyelitis",USA & USA,,2008,,355,USA & USA 2008 ,CAB,Y,not batcov,,
"ebola virus infection: epidemiology, clinical features and laboratory diagnosis",Vorou & Papadogiannakis,Acta Microbiologica Hellenica,2016,,356,Vorou & Papadogiannakis 2016 Acta Microbiologica Hellenica,CAB,Y,not batcov,,
eco-virological preliminary study of potentially emerging pathogens in hedgehogs (erinaceus europaeus) recovered at a wildlife treatment and rehabilitation center in northern italy,Delogu et al.,Animals,2020,10.3390/ani10030407,357,Delogu et al. 2020 Animals,WOS,Y,not batcov,,
"ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related rhinolophus bat coronavirus in china reveal bats as a reservoir for acute, self-limiting infection that allows recombination events",Lau et al.,J Virol,2010,10.1128/JVI.02219-09,358,Lau et al. 2010 J Virol,PubMed,N,,Y,
ecological dynamics of emerging bat virus spillover,Plowright et al.,Proceedings of The Royal Society B-biological Sciences,2015,10.1098/rspb.2014.2124,359,Plowright et al. 2015 Proceedings of The Royal Society B-biological Sciences,WOS,Y,general review,,
ecology of zoonotic infectious diseases in bats: current knowledge and future directions,Hayman et al.,Zoonoses and Public Health,2013,10.1111/zph.12000,360,Hayman et al. 2013 Zoonoses and Public Health,CAB,Y,general review,,
"ecology, evolution and classification of bat coronaviruses in the aftermath of sars",Drexler et al.,Antiviral Res,2014,10.1016/j.antiviral.2013.10.013,361,Drexler et al. 2014 Antiviral Res,PubMed,Y,batcov review,,
effect of metal ion concentration on the biosorption of pb2+ and cd2+ by caladium bicolor (wild cocoyam),Horsfall & Spiff,African Journal of Biotechnology,2005,,362,Horsfall & Spiff 2005 African Journal of Biotechnology,WOS,Y,not batcov,,
effects of amphibian chytrid fungus on individual survival probability in wild boreal toads,Pilliod et al.,Conservation Biology,2010,10.1111/j.1523-1739.2010.01506.x,363,Pilliod et al. 2010 Conservation Biology,WOS,Y,not batcov,,
effects of different temperature regimens on the development of aedes aegypti (l) (diptera: culicidae) mosquitoes,Mohammed & Chadee,Acta Tropica,2011,10.1016/j.actatropica.2011.04.004,364,Mohammed & Chadee 2011 Acta Tropica,CAB,Y,not batcov,,
effects of land-cover changes on mammals in a neotropical region: a modeling approach,Cuaron,Conservation Biology,2000,10.1046/j.1523-1739.2000.99211.x,365,Cuaron 2000 Conservation Biology,WOS,Y,not batcov,,
effects of stocking density on dispersal behavior of brazilian freshwater dourado (salminus brasiliensis) in a subtropical river headwater,Schulz & Leal,Neotropical Ichthyology,2012,10.1590/S1679-62252012005000001,366,Schulz & Leal 2012 Neotropical Ichthyology,WOS,Y,not batcov,,
effects of white-tailed deer on vegetation structure and woody seedling composition in three forest types on the piedmont plateau,Rossell et al.,Forest Ecology and Management,2005,10.1016/j.foreco.2005.02.035,367,Rossell et al. 2005 Forest Ecology and Management,WOS,Y,not batcov,,
efficient replication of the novel human betacoronavirus emc on primary human epithelium highlights its zoonotic potential,Kindler et al.,Mbio,2013,10.1128/mBio.00611-12,368,Kindler et al. 2013 Mbio,PubMed,Y,molecular,,
efficient reverse genetic systems for rapid genetic manipulation of emergent and preemergent infectious coronaviruses,Cockrell et al.,Methods Mol Biol,2017,10.1007/978-1-4939-6964-7_5,369,Cockrell et al. 2017 Methods Mol Biol,PubMed,Y,general review,,
"el toro wilderness, luquillo experimental forest, puerto rico",Weaver,Science and Stewardship to Protect and Sustain Wilderness Values,2011,,370,Weaver 2011 Science and Stewardship to Protect and Sustain Wilderness Values,WOS,Y,not batcov,,
"emergence of a novel coronavirus, severe acute respiratory syndrome coronavirus 2: biology and therapeutic options",Khan et al.,J Clin Microbiol,2020,10.1128/JCM.00187-20,371,Khan et al. 2020 J Clin Microbiol,PubMed,Y,general review,,
emergence of a novel human coronavirus threatening human health,Poon & Peiris,Nat Med,2020,10.1038/s41591-020-0796-5,372,Poon & Peiris 2020 Nat Med,PubMed,Y,general review,,
emerging and re-emerging coronaviruses in pigs,Wang et al.,Curr Opin Virol,2019,10.1016/j.coviro.2018.12.001,373,Wang et al. 2019 Curr Opin Virol,PubMed,Y,general review,,
emerging and re-emerging human infectious diseases: a systematic review of the role of wild animals with a focus on public health impact,Cupertino et al.,Asian Pacific Journal of Tropical Medicine,2020,10.4103/1995-7645.277535,374,Cupertino et al. 2020 Asian Pacific Journal of Tropical Medicine,WOS,Y,general review,,
"emerging coronaviruses: genome structure, replication, and pathogenesis",Chen et al.,Journal of Medical Virology,2020,10.1002/jmv.25681,375,Chen et al. 2020 Journal of Medical Virology,WOS,Y,general review,,
emerging foodborne and agriculture-related viruses,Kingsley,Microbiology Spectrum,2016,10.1128/microbiolspec.PFS-0007-2014,376,Kingsley 2016 Microbiology Spectrum,WOS,Y,general review,,
emerging infectious disease from bats,Danaisawat & Hengpraprom,Veterinary Integrative Sciences,2018,,377,Danaisawat & Hengpraprom 2018 Veterinary Integrative Sciences,CAB,Y,general review,,
emerging nidovirus infections,Poon,,2008,,378,Poon 2008 ,CAB,Y,general review,,
"emerging novel coronavirus (2019-ncov)-current scenario, evolutionary perspective based on genome analysis and recent developments",Malik et al.,Veterinary Quarterly,2020,10.1080/01652176.2020.1727993,379,Malik et al. 2020 Veterinary Quarterly,WOS,Y,general review,,
