"","UniqueID","Field.25","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","Primers","gene_targets","Terminal.sampling.","tissue","country","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Entered.by","Last.modified","euthanasia"
"452",572,"coronavirus antibodies in african bat species","Müller et al.","Emerg Infect Dis",2007,1,0,0,"Chaerephon pumila","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","ELISA","","",NA,"",NA,"serum","Democratic Republic of the Congo","Bandundu Province","","","","","1986","",1999,"","",NA,"","","","VERENA Admin","7/19/2021 10:02am","Y"
"453",573,"coronavirus antibodies in african bat species","Müller et al.","Emerg Infect Dis",2007,1,1,1,"Hypsignathus monstrosus","betacoronavirus ","Sarbecovirus","","","single","cross-sectional","Western Blot","","",NA,"",NA,"serum","Democratic Republic of the Congo","Bandundu Province","","","","","1986","",1999,"","",NA,"","","","VERENA Admin","2/27/2021 8:59pm","Y"
"454",574,"coronavirus antibodies in african bat species","Müller et al.","Emerg Infect Dis",2007,1,1,1,"Lyssonycteris angolensis","betacoronavirus ","Sarbecovirus","","","single","cross-sectional","Western Blot","","",NA,"",NA,"serum","Democratic Republic of the Congo","Oriental Province","","","","","1986","",1999,"","",NA,"","","","VERENA Admin","2/27/2021 8:59pm","Y"
"455",575,"coronavirus antibodies in african bat species","Müller et al.","Emerg Infect Dis",2007,26,26,1,"Rousettus aegyptiacus","betacoronavirus ","Sarbecovirus","","","pooled","cross-sectional","Western Blot","","",NA,"",NA,"serum","?","?","","","","","1986","",1999,"","",NA,"","","","VERENA Admin","2/27/2021 8:59pm","Y"
"456",576,"coronavirus antibodies in african bat species","Müller et al.","Emerg Infect Dis",2007,9,8,0.888889,"Mops condylurus","betacoronavirus ","Sarbecovirus","","","pooled","cross-sectional","Western Blot","","",NA,"",NA,"serum","South Africa","?","","","","","1986","",1999,"","",NA,"","","","VERENA Admin","2/27/2021 8:59pm","Y"
"457",577,"coronavirus antibodies in african bat species","Müller et al.","Emerg Infect Dis",2007,1,0,0,"Hypsignathus monstrosus","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","Indirect Immunofluorescence Test","","",NA,"",NA,"serum","Democratic Republic of the Congo","Bandundu Province","","","","","1986","",1999,"","",NA,"","","","VERENA Admin","7/19/2021 10:02am","Y"
"458",578,"coronavirus antibodies in african bat species","Müller et al.","Emerg Infect Dis",2007,1,0,0,"Lyssonycteris angolensis","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","Indirect Immunofluorescence Test","","",NA,"",NA,"serum","Democratic Republic of the Congo","Oriental Province","","","","","1986","",1999,"","",NA,"","","","VERENA Admin","7/19/2021 10:02am","Y"
"459",579,"coronavirus antibodies in african bat species","Müller et al.","Emerg Infect Dis",2007,26,7,0.269231,"Rousettus aegyptiacus","betacoronavirus ","Sarbecovirus","","","pooled","cross-sectional","Indirect Immunofluorescence Test","","",NA,"",NA,"serum","?","?","","","","","1986","",1999,"","",NA,"","","","VERENA Admin","2/27/2021 8:59pm","Y"
"460",580,"coronavirus antibodies in african bat species","Müller et al.","Emerg Infect Dis",2007,9,5,0.555556,"Mops condylurus","betacoronavirus ","Sarbecovirus","","","pooled","cross-sectional","Indirect Immunofluorescence Test","","",NA,"",NA,"serum","South Africa","?","","","","","1986","",1999,"","",NA,"","","","VERENA Admin","2/27/2021 8:59pm","Y"
"461",581,"coronaviruses in bent-winged bats (miniopterus spp.)","Chu et al.","J Gen Virol",2006,25,3,0.12,"Miniopterus magnater","alphacoronavirus","","bat","","pooled","cross-sectional","RNA","RT-PCR,hemi-nested PCR","multiple",NA,"RdRp",NA,"faecal and/or throat sample","China","Hong Kong","abandoned mine cave ","","","","2005","",NA,"","June",NA,"","","","VERENA Admin","7/19/2021 11:05am","N"
"462",582,"coronaviruses in bent-winged bats (miniopterus spp.)","Chu et al.","J Gen Virol",2006,25,0,0,"Miniopterus magnater","alphacoronavirus or betacoronavirus","","bat","","pooled","cross-sectional","RNA","RT-PCR,hemi-nested PCR","multiple",NA,"RdRp",NA,"faecal and/or throat sample","China","Hong Kong","abandoned mine cave ","","","","2005","",NA,"","June",NA,"","","","VERENA Admin","7/19/2021 10:57am","N"
"463",584,"coronaviruses in bent-winged bats (miniopterus spp.)","Chu et al.","J Gen Virol",2006,44,1,0.022727,"Miniopterus magnater","betacoronavirus ","Sarbecovirus","bat","","pooled","cross-sectional","RNA","RT-PCR,hemi-nested PCR","multiple",NA,"RdRp",NA,"faecal and/or throat sample","China","Hong Kong","abandoned mine cave ","","","","2005","",NA,"","August",NA,"","","","VERENA Admin","7/19/2021 11:05am","N"
"464",585,"coronaviruses in bent-winged bats (miniopterus spp.)","Chu et al.","J Gen Virol",2006,44,9,0.204545,"Miniopterus magnater","alphacoronavirus","","bat","","pooled","cross-sectional","RNA","RT-PCR,hemi-nested PCR","multiple",NA,"RdRp",NA,"faecal and/or throat sample","China","Hong Kong","abandoned mine cave ","","","","2005","",NA,"","August",NA,"","","","VERENA Admin","7/19/2021 11:05am","N"
"465",586,"coronaviruses in bent-winged bats (miniopterus spp.)","Chu et al.","J Gen Virol",2006,44,0,0,"Miniopterus magnater","alphacoronavirus or betacoronavirus","","bat","HKU-7","pooled","cross-sectional","RNA","RT-PCR,hemi-nested PCR","multiple",NA,"RdRp",NA,"faecal and/or throat sample","China","Hong Kong","abandoned mine cave ","","","","2005","",NA,"","August",NA,"","","","VERENA Admin","7/19/2021 10:57am","N"
"466",587,"coronaviruses in bent-winged bats (miniopterus spp.)","Chu et al.","J Gen Virol",2006,44,1,0.022727,"Miniopterus magnater","alphacoronavirus","","bat","HKU8","pooled","cross-sectional","RNA","RT-PCR,hemi-nested PCR","multiple",NA,"RdRp",NA,"faecal and/or throat sample","China","Hong Kong","abandoned mine cave ","","","","2005","",NA,"","August",NA,"","","","VERENA Admin","7/19/2021 11:05am","N"
"467",588,"coronaviruses in bent-winged bats (miniopterus spp.)","Chu et al.","J Gen Virol",2006,1,0,0,"Miniopterus pusillus","alphacoronavirus or betacoronavirus","","bat","","single","cross-sectional","RNA","RT-PCR,hemi-nested PCR","multiple",NA,"RdRp",NA,"faecal and/or throat sample","China","Hong Kong","abandoned mine cave ","","","","2005","",NA,"","August",NA,"","","","VERENA Admin","7/19/2021 10:57am","N"
"468",591,"coronaviruses in bent-winged bats (miniopterus spp.)","Chu et al.","J Gen Virol",2006,25,3,0.12,"Miniopterus magnater","alphacoronavirus","","bat","","pooled","cross-sectional","RNA","RT-PCR,hemi-nested PCR","multiple",NA,"RdRp",NA,"faecal and/or throat sample","China","Hong Kong","abandoned mine cave ","","","","2005","",NA,"","December",NA,"","","","VERENA Admin","7/19/2021 11:05am","N"
"469",592,"coronaviruses in bent-winged bats (miniopterus spp.)","Chu et al.","J Gen Virol",2006,25,0,0,"Miniopterus magnater","alphacoronavirus or betacoronavirus","","bat","","pooled","cross-sectional","RNA","RT-PCR,hemi-nested PCR","multiple",NA,"RdRp",NA,"faecal and/or throat sample","China","Hong Kong","abandoned mine cave ","","","","2005","",NA,"","December",NA,"","","","VERENA Admin","7/19/2021 10:57am","N"
"470",594,"coronaviruses in bent-winged bats (miniopterus spp.)","Chu et al.","J Gen Virol",2006,11,2,0.181818,"Miniopterus pusillus","alphacoronavirus","","bat","","pooled","cross-sectional","RNA","RT-PCR,hemi-nested PCR","multiple",NA,"RdRp",NA,"faecal and/or throat sample","China","Hong Kong","abandoned mine cave ","","","","2005","",NA,"","December",NA,"","","","VERENA Admin","7/19/2021 11:05am","N"
"471",595,"coronaviruses in bent-winged bats (miniopterus spp.)","Chu et al.","J Gen Virol",2006,11,0,0,"Miniopterus pusillus","alphacoronavirus or betacoronavirus","","bat","","pooled","cross-sectional","RNA","RT-PCR,hemi-nested PCR","multiple",NA,"RdRp",NA,"faecal and/or throat sample","China","Hong Kong","abandoned mine cave ","","","","2005","",NA,"","December",NA,"","","","VERENA Admin","7/19/2021 10:57am","N"
"472",597,"coronaviruses in bent-winged bats (miniopterus spp.)","Chu et al.","J Gen Virol",2006,20,0,0,"Miniopterus magnater","alphacoronavirus or betacoronavirus","","bat","","pooled","cross-sectional","RNA","RT-PCR,hemi-nested PCR","multiple",NA,"RdRp",NA,"faecal and/or throat sample","China","Hong Kong","abandoned mine cave ","","","","2006","",NA,"","March",NA,"","","","VERENA Admin","7/19/2021 10:57am","N"
"473",600,"coronaviruses in bent-winged bats (miniopterus spp.)","Chu et al.","J Gen Virol",2006,10,2,0.2,"Miniopterus pusillus","alphacoronavirus","","bat","","pooled","cross-sectional","RNA","RT-PCR,hemi-nested PCR","multiple",NA,"RdRp",NA,"faecal and/or throat sample","China","Hong Kong","abandoned mine cave ","","","","2006","",NA,"","March",NA,"","","","VERENA Admin","7/19/2021 11:05am","N"
"474",601,"coronaviruses in bent-winged bats (miniopterus spp.)","Chu et al.","J Gen Virol",2006,10,0,0,"Miniopterus pusillus","alphacoronavirus or betacoronavirus","","bat","HKU-7","pooled","cross-sectional","RNA","RT-PCR,hemi-nested PCR","multiple",NA,"RdRp",NA,"faecal and/or throat sample","China","Hong Kong","abandoned mine cave ","","","","2006","",NA,"","March",NA,"","","","VERENA Admin","7/19/2021 10:57am","N"
"475",602,"coronaviruses in bent-winged bats (miniopterus spp.)","Chu et al.","J Gen Virol",2006,10,3,0.3,"Miniopterus pusillus","alphacoronavirus","","bat","HKU8","pooled","cross-sectional","RNA","RT-PCR,hemi-nested PCR","multiple",NA,"RdRp",NA,"faecal and/or throat sample","China","Hong Kong","abandoned mine cave ","","","","2006","",NA,"","March",NA,"","","","VERENA Admin","7/19/2021 11:05am","N"
"476",603,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,26,4,0.153846,"Artibeus literatus","alphacoronavirus or betacoronavirus","","","Mex_CoV-5b, Mex_CoV-11b ","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Campeche","Reserva de la Biosfera Calakmul -Undisturbed forest","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:01pm","N"
"477",604,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,28,1,0.035714,"Artibeus literatus","alphacoronavirus or betacoronavirus","","","Mex_CoV-11a","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Campeche","Reserva de la Biosfera Calakmul -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"478",605,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,16,0,0,"Artibeus literatus","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"479",606,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,38,0,0,"Artibeus literatus","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"480",607,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,21,1,0.047619,"Artibeus phaeotis","alphacoronavirus or betacoronavirus","","","Mex_CoV-11b ","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Campeche","Reserva de la Biosfera Calakmul -Undisturbed forest","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"481",608,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,3,0,0,"Artibeus phaeotis","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Campeche","Reserva de la Biosfera Calakmul -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"482",609,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,3,2,0.666667,"Artibeus phaeotis","alphacoronavirus or betacoronavirus","","","Mex_CoV-11a, Mex_CoV-11b","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"483",610,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,9,0,0,"Artibeus phaeotis","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"484",611,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,33,2,0.060606,"Artibeus jamaicensis","alphacoronavirus or betacoronavirus","","","Mex_CoV-5b ","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Campeche","Reserva de la Biosfera Calakmul -Undisturbed forest","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"485",612,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,23,1,0.043478,"Artibeus jamaicensis","alphacoronavirus or betacoronavirus","","","Mex_CoV-4","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Campeche","Reserva de la Biosfera Calakmul -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"486",613,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,17,2,0.117647,"Artibeus jamaicensis","alphacoronavirus or betacoronavirus","","","Mex_CoV-5a","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"487",614,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,20,0,0,"Artibeus jamaicensis","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"488",615,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,5,0,0,"Artibeus watsoni","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Campeche","Reserva de la Biosfera Calakmul -Undisturbed forest","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"489",616,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,3,0,0,"Artibeus watsoni","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Campeche","Reserva de la Biosfera Calakmul -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"490",617,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,7,0,0,"Artibeus watsoni","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"491",618,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,2,0,0,"Artibeus watsoni","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"492",619,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,1,0,0,"Glossophaga soricina","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Campeche","Reserva de la Biosfera Calakmul -Undisturbed forest","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"493",620,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,8,0,0,"Glossophaga soricina","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Campeche","Reserva de la Biosfera Calakmul -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"494",621,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,12,0,0,"Glossophaga soricina","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"495",622,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,27,0,0,"Glossophaga soricina","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"496",623,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,2,0,0,"Glossophaga commissarisi","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"497",624,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,1,0,0,"Glossophaga commissarisi","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"498",625,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,27,0,0,"Carollia sowelli","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Campeche","Reserva de la Biosfera Calakmul -Undisturbed forest","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"499",626,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,14,4,0.285714,"Carollia sowelli","alphacoronavirus or betacoronavirus","","","Mex_CoV-1, Mex_CoV-2, Mex_CoV-5b","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Campeche","Reserva de la Biosfera Calakmul -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"500",627,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,11,1,0.090909,"Carollia sowelli","alphacoronavirus or betacoronavirus","","","Mex_CoV-5a","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"501",628,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,20,2,0.1,"Carollia sowelli","alphacoronavirus or betacoronavirus","","","Mex_CoV-1","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"502",629,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,8,0,0,"Carollia perspicillata","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Campeche","Reserva de la Biosfera Calakmul -Undisturbed forest","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"503",630,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,4,2,0.5,"Carollia perspicillata","alphacoronavirus or betacoronavirus","","","Mex_CoV-1","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Campeche","Reserva de la Biosfera Calakmul -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"504",631,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,1,0,0,"Carollia perspicillata","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"505",632,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,8,0,0,"Carollia perspicillata","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"506",633,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,7,0,0,"Sturnira ludovici","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"507",634,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,16,0,0,"Sturnira ludovici","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"508",635,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,6,0,0,"Sturnira lilium","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Campeche","Reserva de la Biosfera Calakmul -Undisturbed forest","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"509",636,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,6,0,0,"Sturnira lilium","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Campeche","Reserva de la Biosfera Calakmul -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","5/18/2021 7:21pm","N"
"510",637,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,22,0,0,"Sturnira lilium","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"511",638,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,2,0,0,"Leptonycteris nivalis","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Distrito Federal","Mexico City","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"512",639,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,1,0,0,"Leptonycteris yerbabuenae","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Distrito Federal","Mexico City","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"513",640,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,1,0,0,"Centurio senex","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Campeche","Reserva de la Biosfera Calakmul -Undisturbed forest","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"514",641,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,3,0,0,"Centurio senex","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Campeche","Reserva de la Biosfera Calakmul -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"515",642,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,1,0,0,"Platyrrhinus helleri","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Campeche","Reserva de la Biosfera Calakmul -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"516",643,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,5,0,0,"Platyrrhinus helleri","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
"517",644,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,10,0,0,"Platyrrhinus helleri","alphacoronavirus or betacoronavirus","","","","pooled","cross-sectional","TNA","PCR","single",NA,"RdRp",NA,"rectal/oral swab,serum","Mexico","Chiapas","Reserva de la Biosfera Montes Azules -""Disturbed"" - transition forest to agriculture","","","","","",NA,"","",NA,"","","","Binqi Chen","3/13/2021 5:02pm","N"
