"","title","author","journal","year","doi","ID","study","source","exclude_title","exclude_reason","include","entered"
"1:201","commercial sponge fishing in libya: historical records, present status and perspectives","Milanese et al.","Fisheries Research",2008,"10.1016/j.fishres.2007.09.018",208,"Milanese et al. 2008 Fisheries Research","WOS","","","",""
"1:26","comparative analysis of complete genome sequences of three avian coronaviruses reveals a novel group 3c coronavirus","Woo et al.","Journal of Virology",2009,"10.1128/JVI.01977-08",209,"Woo et al. 2009 Journal of Virology","WOS","","","",""
"2:400","comparative analysis of coronaviridae nucleocapsid and surface glycoprotein sequences","Basu & Brown","Front Biosci (landmark Ed)",2020,"",210,"Basu & Brown 2020 Front Biosci (landmark Ed)","PubMed","","","",""
"1:123","comparative analysis of rodent and small mammal viromes to better understand the wildlife origin of emerging infectious diseases","Wu et al.","Microbiome",2018,"10.1186/s40168-018-0554-9",211,"Wu et al. 2018 Microbiome","WOS","","","",""
"2:334","comparative analysis of twelve genomes of three novel group 2c and group 2d coronaviruses reveals unique group and subgroup features","Woo et al.","J Virol",2007,"10.1128/JVI.02182-06",212,"Woo et al. 2007 J Virol","PubMed","","","",""
"2:263","comparative pathogenesis of bovine and porcine respiratory coronaviruses in the animal host species and sars-cov-2 in humans","Saif & Jung","J Clin Microbiol",2020,"10.1128/JCM.01355-20",213,"Saif & Jung 2020 J Clin Microbiol","PubMed","","","",""
"3:318","comparison of covariate adjustment methods using space-time scan statistics for food animal syndromic surveillance","Alton et al.","BMC Veterinary Research",2013,"",214,"Alton et al. 2013 BMC Veterinary Research","CAB","","","",""
"2:214","comparison of severe acute respiratory syndrome coronavirus 2 spike protein binding to ace2 receptors from human, pets, farm animals, and putative intermediate hosts","Zhai et al.","J Virol",2020,"10.1128/JVI.00831-20",215,"Zhai et al. 2020 J Virol","PubMed","","","",""
"2:147","complete genome analysis of a sars-like bat coronavirus identified in the republic of korea","Kim et al.","Virus Genes",2019,"10.1007/s11262-019-01668-w",216,"Kim et al. 2019 Virus Genes","PubMed","","","",""
"3:59","complete genome sequence of a severe acute respiratory syndrome-related coronavirus from kenyan bats","Tao Ying & Tong SuXiang","Microbiology Resource Announcements",2019,"10.1128/mra.00548-19",217,"Tao Ying & Tong SuXiang 2019 Microbiology Resource Announcements","CAB","","","",""
"2:226","complete genome sequence of bat coronavirus hku2 from chinese horseshoe bats revealed a much smaller spike gene with a different evolutionary lineage from the rest of the genome","Lau et al.","Virology",2007,"10.1016/j.virol.2007.06.009",218,"Lau et al. 2007 Virology","PubMed","","","",""
"2:8","composition and divergence of coronavirus spike proteins and host ace2 receptors predict potential intermediate hosts of sars-cov-2","Liu et al.","J Med Virol",2020,"10.1002/jmv.25726",219,"Liu et al. 2020 J Med Virol","PubMed","","","",""
"2:220","computational inference of selection underlying the evolution of the novel coronavirus, severe acute respiratory syndrome coronavirus 2","Cagliani et al.","J Virol",2020,"10.1128/JVI.00411-20",220,"Cagliani et al. 2020 J Virol","PubMed","","","",""
"2:168","computational modeling of the bat hku4 coronavirus 3cl(pro) inhibitors as a tool for the development of antivirals against the emerging middle east respiratory syndrome (mers) coronavirus","Abuhammad et al.","J Mol Recognit",2017,"10.1002/jmr.2644",221,"Abuhammad et al. 2017 J Mol Recognit","PubMed","","","",""
"3:324","conclusion on the peer review of the pesticide risk assessment of the active substance fenbutatin oxide","European Food Safety Authority","EFSA Journal",2010,"",222,"European Food Safety Authority 2010 EFSA Journal","CAB","","","",""
"3:321","conclusion on the peer review of the pesticide risk assessment of the active substance iron sulfate","European Food Safety Authority","EFSA Journal",2012,"",223,"European Food Safety Authority 2012 EFSA Journal","CAB","","","",""
"3:315","conclusion on the peer review of the pesticide risk assessment of the active substance oryzalin","European Food Safety Authority","EFSA Journal",2010,"",224,"European Food Safety Authority 2010 EFSA Journal","CAB","","","",""
"3:314","conclusion on the peer review of the pesticide risk assessment of the active substance sea-algae extract","European Food Safety Authority","EFSA Journal",2012,"",225,"European Food Safety Authority 2012 EFSA Journal","CAB","","","",""
"1:410","connectivity in energy balanced traffic distribution","Wang & Howitt","2006 Ieee Wireless Communications and Networking Conference (wcnc 2006), Vols 1-4",2006,"",226,"Wang & Howitt 2006 2006 Ieee Wireless Communications and Networking Conference (wcnc 2006), Vols 1-4","WOS","","","",""
"1:381","consequences of vglut3 deficiency on learning and memory in mice","Fazekas et al.","Physiology & Behavior",2019,"10.1016/j.physbeh.2019.112688",227,"Fazekas et al. 2019 Physiology & Behavior","WOS","","","",""
"1:329","conservation risk of batrachochytrium salamandrivorans to endemic lungless salamanders","Carter et al.","Conservation Letters",2020,"10.1111/conl.12675",228,"Carter et al. 2020 Conservation Letters","WOS","","","",""
"1:110","conserved residues in the putative catalytic triad of human bile acid coenzyme a : amino acid n-acyltransferase","Sfakianos et al.","Journal of Biological Chemistry",2002,"10.1074/jbc.M207463200",229,"Sfakianos et al. 2002 Journal of Biological Chemistry","WOS","","","",""
"1:174","construction of a linkage map and identification of resistance gene analog markers for root-knot nematodes in wild peach, prunus kansuensis","Cao et al.","Journal of The American Society For Horticultural Science",2011,"10.21273/JASHS.136.3.190",230,"Cao et al. 2011 Journal of The American Society For Horticultural Science","WOS","","","",""
"1:223","control of neobenedenia melleni (maccallum, 1927) (monogenea: capsalidae) in dusky grouper, epinephelus marginatus (lowe, 1834), reared in floating net cages","Sanches","Revista Brasileira De Parasitologia Veterinaria",2008,"10.1590/S1984-29612008000300005",231,"Sanches 2008 Revista Brasileira De Parasitologia Veterinaria","WOS","","","",""
"3:355","control of peroxisome proliferator-activated receptor γ2 stability and activity by sumoylation","Floyd & Stephens","Obesity Research",2004,"",232,"Floyd & Stephens 2004 Obesity Research","CAB","","","",""
"1:180","coordinated control of acoustical field of view and flight in three-dimensional space for consecutive capture by echolocating bats during natural foraging","Sumiya et al.","Plos One",2017,"10.1371/journal.pone.0169995",233,"Sumiya et al. 2017 Plos One","WOS","","","",""
"3:196","corona virus disease bring a new challenge for the dentistry: a review","Tarun Vyas et al.","Journal of Family Medicine and Primary Care",2020,"10.4103/jfmpc.jfmpc_589_20",234,"Tarun Vyas et al. 2020 Journal of Family Medicine and Primary Care","CAB","","","",""
"1:316","coronaviridae-old friends, new enemy!","Leao et al.","Oral Diseases",2020,"10.1111/odi.13447",235,"Leao et al. 2020 Oral Diseases","WOS","","","",""
"2:78","coronavirus and paramyxovirus in bats from northwest italy","Rizzo et al.","Bmc Vet Res",2017,"10.1186/s12917-017-1307-x",236,"Rizzo et al. 2017 Bmc Vet Res","PubMed","","","",""
"2:321","coronavirus antibodies in african bat species","Müller et al.","Emerg Infect Dis",2007,"10.3201/eid1309.070342",237,"Müller et al. 2007 Emerg Infect Dis","PubMed","","","",""
"2:281","coronavirus disease 2019: what we know?","He et al.","J Med Virol",2020,"10.1002/jmv.25766",238,"He et al. 2020 J Med Virol","PubMed","","","",""
"2:68","coronavirus diversity, phylogeny and interspecies jumping","Woo et al.","Exp Biol Med (maywood)",2009,"10.3181/0903-MR-94",239,"Woo et al. 2009 Exp Biol Med (maywood)","PubMed","","","",""
"1:267","coronavirus genotype diversity and prevalence of infection in wild carnivores in the serengeti national park, tanzania","Goller et al.","Archives of Virology",2013,"10.1007/s00705-012-1562-x",240,"Goller et al. 2013 Archives of Virology","WOS","","","",""
"2:179","coronavirus infection and diversity in bats in the australasian region","Smith et al.","Ecohealth",2016,"10.1007/s10393-016-1116-x",241,"Smith et al. 2016 Ecohealth","PubMed","","","",""
"1:380","coronavirus infections: a brief review","Baraitareanu","Revista Romana De Medicina Veterinara",2020,"",242,"Baraitareanu 2020 Revista Romana De Medicina Veterinara","WOS","","","",""
"2:283","coronavirus sars-cov-2: filtering fact from fiction in the infodemic: q&a with virologist professor urs greber","Ruffell","Febs Lett",2020,"10.1002/1873-3468.13784",243,"Ruffell 2020 Febs Lett","PubMed","","","",""
"1:318","coronavirus surveillance of wildlife in the lao people's democratic republic detects viral rna in rodents","Mciver et al.","Archives of Virology",2020,"10.1007/s00705-020-04683-7",244,"Mciver et al. 2020 Archives of Virology","WOS","","","",""
"1:357","coronavirus testing indicates transmission risk increases along wildlife supply chains for human consumption in viet nam, 2013-2014","Nguyen quynh huong et al.","Plos One",2020,"10.1371/journal.pone.0237129",245,"Nguyen quynh huong et al. 2020 Plos One","WOS","","","",""
"1:331","coronaviruses detected in bats in close contact with humans in rwanda","Nziza et al.","Ecohealth",2020,"10.1007/s10393-019-01458-8",246,"Nziza et al. 2020 Ecohealth","WOS","","","",""
"2:330","coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,"10.1099/vir.0.049759-0",247,"Anthony et al. 2013 J Gen Virol","PubMed","","","",""
"2:410","coronaviruses in bent-winged bats (miniopterus spp.)","Chu et al.","J Gen Virol",2006,"10.1099/vir.0.82203-0",248,"Chu et al. 2006 J Gen Virol","PubMed","","","",""
"2:200","coronaviruses in cats and other companion animals: where does sars-cov-2/covid-19 fit?","Stout et al.","Vet Microbiol",2020,"10.1016/j.vetmic.2020.108777",249,"Stout et al. 2020 Vet Microbiol","PubMed","","","",""
"2:338","coronaviruses in guano from pteropus medius bats in peradeniya, sri lanka","Kudagammana et al.","Transbound Emerg Dis",2018,"10.1111/tbed.12851",250,"Kudagammana et al. 2018 Transbound Emerg Dis","PubMed","","","",""
"2:447","coronaviruses in south african bats","Geldenhuys et al.","Vector Borne Zoonotic Dis",2013,"10.1089/vbz.2012.1101",251,"Geldenhuys et al. 2013 Vector Borne Zoonotic Dis","PubMed","","","",""
"2:152","coronaviruses: a paradigm of new emerging zoonotic diseases","Salata et al.","Pathog Dis",2019,"10.1093/femspd/ftaa006",252,"Salata et al. 2019 Pathog Dis","PubMed","","","",""
"3:15","coronaviruses: a review of their properties and diversity","Joseph & Fagbami","African Journal of Clinical and Experimental Microbiology",2020,"10.4314/ajcem.v21i4.2",253,"Joseph & Fagbami 2020 African Journal of Clinical and Experimental Microbiology","CAB","","","",""
"3:166","coronaviruses: severe acute respiratory syndrome coronavirus and middle east respiratory syndrome coronavirus in travelers","Al-Tawfiq et al.","Current Opinion in Infectious Diseases",2014,"",254,"Al-Tawfiq et al. 2014 Current Opinion in Infectious Diseases","CAB","","","",""
"1:126","covalent immobilization of aspergillus-niger on phema membrane - application to continuous-flow reactors","Arica et al.","Journal of Chemical Technology and Biotechnology",1993,"",255,"Arica et al. 1993 Journal of Chemical Technology and Biotechnology","WOS","","","",""
"3:118","covid-19 - a novel zoonotic disease: a review of the disease, the virus, and public health measures","MacKenzie & Smith","Asia-Pacific Journal of Public Health",2020,"10.1177/1010539520931326",256,"MacKenzie & Smith 2020 Asia-Pacific Journal of Public Health","CAB","","","",""
"2:371","covid-19 and the crisis of national development","Van","Nat Hum Behav",2020,"10.1038/s41562-020-0852-7",257,"Van 2020 Nat Hum Behav","PubMed","","","",""
"3:6","covid-19 and veterinarians for one health, zoonotic- and reverse-zoonotic transmissions","Yoo HanSang & Yoo DongWan","Journal of Veterinary Science",2020,"10.4142/jvs.2020.21.e51",258,"Yoo HanSang & Yoo DongWan 2020 Journal of Veterinary Science","CAB","","","",""
"2:446","covid-19 as a sting disorder with delayed over-secretion of interferon-beta","Berthelot & Lioté","Ebiomedicine",2020,"10.1016/j.ebiom.2020.102801",259,"Berthelot & Lioté 2020 Ebiomedicine","PubMed","","","",""
"2:211","covid-19 pandemic - an african perspective","Lone & Ahmad","Emerg Microbes Infect",2020,"10.1080/22221751.2020.1775132",260,"Lone & Ahmad 2020 Emerg Microbes Infect","PubMed","","","",""
"2:142","covid-19: a new virus, but a familiar receptor and cytokine release syndrome","Hirano & Murakami","Immunity",2020,"10.1016/j.immuni.2020.04.003",261,"Hirano & Murakami 2020 Immunity","PubMed","","","",""
"2:27","covid-19: a review","Madabhavi et al.","Monaldi Arch Chest Dis",2020,"10.4081/monaldi.2020.1298",262,"Madabhavi et al. 2020 Monaldi Arch Chest Dis","PubMed","","","",""
"2:224","covid-19: a worldwide, zoonotic, pandemic outbreak","Khan et al.","Altern Ther Health Med",2020,"",263,"Khan et al. 2020 Altern Ther Health Med","PubMed","","","",""
"1:241","covid-19: animals, veterinary and zoonotic links","Tiwari et al.","Veterinary Quarterly",2020,"10.1080/01652176.2020.1766725",264,"Tiwari et al. 2020 Veterinary Quarterly","WOS","","","",""
"3:47","covid-19: bat-borne viral outbreaks and its prevention through ecological intervention with reference to india","Malik","Environment Conservation Journal",2020,"10.36953/ECJ.2020.211215",265,"Malik 2020 Environment Conservation Journal","CAB","","","",""
"2:115","covid-19: epidemiology, evolution, and cross-disciplinary perspectives","Sun et al.","Trends Mol Med",2020,"10.1016/j.molmed.2020.02.008",266,"Sun et al. 2020 Trends Mol Med","PubMed","","","",""
"2:32","covid-19: what has been learned and to be learned about the novel coronavirus disease","Yi et al.","Int J Biol Sci",2020,"10.7150/ijbs.45134",267,"Yi et al. 2020 Int J Biol Sci","PubMed","","","",""
"1:185","cowbird parasitism of arizona bell's vireos (vireo bellii arizonae) in a desert riparian landscape: implications for cowbird management and riparian restoration","Averill-murray et al.","Research and Management of The Brown-headed Cowbird In Western Landscapes",1999,"",268,"Averill-murray et al. 1999 Research and Management of The Brown-headed Cowbird In Western Landscapes","WOS","","","",""
"1:196","critical assessment of the important residues involved in the dimerization and catalysis of mers coronavirus main protease","Ho et al.","Plos One",2015,"10.1371/journal.pone.0144865",269,"Ho et al. 2015 Plos One","WOS","","","",""
"2:375","cross host transmission in the emergence of mers coronavirus","Reusken et al.","Curr Opin Virol",2016,"10.1016/j.coviro.2016.01.004",270,"Reusken et al. 2016 Curr Opin Virol","PubMed","","","",""
"3:285","cross-border transmission of salmonella choleraesuis var kunzendorf in european pigs and wild boar: infection, genetics, and evolution","Leekitcharoenphon et al.","Frontiers in Microbiology",2019,"10.3389/fmicb.2019.00179",271,"Leekitcharoenphon et al. 2019 Frontiers in Microbiology","CAB","","","",""
"1:42","cross-reactive antibodies in convalescent sars patients' sera against the emerging novel human coronavirus emc (2012) by both immunofluorescent and neutralizing antibody tests","Chan et al.","Journal of Infection",2013,"10.1016/j.jinf.2013.03.015",272,"Chan et al. 2013 Journal of Infection","WOS","","","",""
"3:75","cross-sectional surveillance of middle east respiratory syndrome coronavirus (mers-cov) in dromedary camels and other mammals in egypt, august 2015 to january 2016","Ali et al.","Eurosurveillance",2017,"10.2807/1560-7917.ES.2017.22.11.30487",273,"Ali et al. 2017 Eurosurveillance","CAB","","","",""
"1:16","cross-species transmission of the newly identified coronavirus 2019-ncov","Ji et al.","Journal of Medical Virology",2020,"10.1002/jmv.25682",274,"Ji et al. 2020 Journal of Medical Virology","WOS","","","",""
"2:191","cryo-em structures of hku2 and sads-cov spike glycoproteins provide insights into coronavirus evolution","Yu et al.","Nat Commun",2020,"10.1038/s41467-020-16876-4",275,"Yu et al. 2020 Nat Commun","PubMed","","","",""
"1:73","curiosity killed the bat: domestic cats as bat predators","Ancillotto et al.","Mammalian Biology",2013,"10.1016/j.mambio.2013.01.003",276,"Ancillotto et al. 2013 Mammalian Biology","WOS","","","",""
"1:275","current status of human rabies prevention: remaining barriers to global biologics accessibility and disease elimination","Rupprecht & Salahuddin","Expert Review of Vaccines",2019,"10.1080/14760584.2019.1627205",277,"Rupprecht & Salahuddin 2019 Expert Review of Vaccines","WOS","","","",""
"3:333","current trends in ecology, volume 1","Battarbee et al.","",2006,"",278,"Battarbee et al. 2006 ","CAB","","","",""
"1:184","cysteine substitutions reveal dual functions of the amino-terminal tail in cystic fibrosis transmembrane conductance regulator channel gating","Fu & Kirk","Journal of Biological Chemistry",2001,"10.1074/jbc.M105079200",279,"Fu & Kirk 2001 Journal of Biological Chemistry","WOS","","","",""
"1:127","cytochrome p460 of nitrosomonas europaea - formation of the heme-lysine cross-link in a heterologous host and mutagenic conversion to a non-cross-linked cytochrome c '","Bergmann & Hooper","European Journal of Biochemistry",2003,"10.1046/j.1432-1033.2003.03550.x",280,"Bergmann & Hooper 2003 European Journal of Biochemistry","WOS","","","",""
"2:121","dampened nlrp3-mediated inflammation in bats and implications for a special viral reservoir host","Ahn et al.","Nat Microbiol",2019,"10.1038/s41564-019-0371-3",281,"Ahn et al. 2019 Nat Microbiol","PubMed","","","",""
"1:350","data acquisition varies by bat phonic group for 2 types of bat detectors when weatherproofed and paired in field settings","Kaiser & O'keefe","Wildlife Society Bulletin",2015,"10.1002/wsb.572",282,"Kaiser & O'keefe 2015 Wildlife Society Bulletin","WOS","","","",""
"1:212","data sampling options for animal-borne video cameras: considerations based on deployments with antarctic fur seals","Hooker et al.","Marine Technology Society Journal",2008,"10.4031/002533208786829179",283,"Hooker et al. 2008 Marine Technology Society Journal","WOS","","","",""
"3:330","de novo assembly of the aedes aegypti genome using hi-c yields chromosome-length scaffolds","Dudchenko et al.","Science (Washington)",2017,"",284,"Dudchenko et al. 2017 Science (Washington)","CAB","","","",""
"1:37","deciphering the bat virome catalog to better understand the ecological diversity of bat viruses and the bat origin of emerging infectious diseases","Wu et al.","Isme Journal",2016,"10.1038/ismej.2015.138",285,"Wu et al. 2016 Isme Journal","WOS","","","",""
"2:112","decoding the evolution and transmissions of the novel pneumonia coronavirus (sars-cov-2 / hcov-19) using whole genomic data","Yu et al.","Zool Res",2020,"10.24272/j.issn.2095-8137.2020.022",286,"Yu et al. 2020 Zool Res","PubMed","","","",""
"1:289","defaunation of tropical forests reduces habitat quality for seed-dispersing bats in western amazonia: an unexpected connection via mineral licks","Ghanem & Voigt","Animal Conservation",2014,"10.1111/acv.12055",287,"Ghanem & Voigt 2014 Animal Conservation","WOS","","","",""
"3:354","definition of productive aedes notoscriptus (diptera: culicidae) habitats in western brisbane, and a strategy for their control","Kay et al.","Australian Journal of Entomology",2008,"10.1111/j.1440-6055.2008.00641.x",288,"Kay et al. 2008 Australian Journal of Entomology","CAB","","","",""
"3:271","descriptive evaluation of human and animal rabies, and development of a predictive model of bovine rabies in peru","Ulloa-Stanojlovic","",2019,"",289,"Ulloa-Stanojlovic 2019 ","CAB","","","",""
"2:29","detection and characterization of a novel bat-borne coronavirus in singapore using multiple molecular approaches","Lim et al.","J Gen Virol",2019,"10.1099/jgv.0.001307",290,"Lim et al. 2019 J Gen Virol","PubMed","","","",""
"2:187","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,"10.3390/v10090486",291,"Lazov et al. 2018 Viruses","PubMed","","","",""
"2:312","detection and characterization of diverse alpha- and betacoronaviruses from bats in china","Xu et al.","Virol Sin",2016,"10.1007/s12250-016-3727-3",292,"Xu et al. 2016 Virol Sin","PubMed","","","",""
"2:95","detection and full genome characterization of two beta cov viruses related to middle east respiratory syndrome from bats in italy","Moreno et al.","Virol J",2017,"10.1186/s12985-017-0907-1",293,"Moreno et al. 2017 Virol J","PubMed","","","",""
"2:458","detection and phylogenetic analysis of group 1 coronaviruses in south american bats","Carrington et al.","Emerg Infect Dis",2008,"10.3201/eid1412.080642",294,"Carrington et al. 2008 Emerg Infect Dis","PubMed","","","",""
"2:450","detection and prevalence patterns of group i coronaviruses in bats, northern germany","Gloza-rausch et al.","Emerg Infect Dis",2008,"10.3201/eid1404.071439",295,"Gloza-rausch et al. 2008 Emerg Infect Dis","PubMed","","","",""
"3:100","detection of a divergent alpha coronavirus in bats in piedmont (italy) conference poster","Rizzo et al.","",2015,"",296,"Rizzo et al. 2015 ","CAB","","","",""
"1:43","detection of a novel and highly divergent coronavirus from asian leopard cats and chinese ferret badgers in southern china","Dong et al.","Journal of Virology",2007,"10.1128/JVI.00299-07",297,"Dong et al. 2007 Journal of Virology","WOS","","","",""
"2:441","detection of a virus related to betacoronaviruses in italian greater horseshoe bats","Balboni et al.","Epidemiol Infect",2011,"10.1017/S0950268810001147",298,"Balboni et al. 2011 Epidemiol Infect","PubMed","","","",""
"2:140","detection of alpha and betacoronaviruses in multiple iberian bat species","Falcón et al.","Arch Virol",2011,"10.1007/s00705-011-1057-1",299,"Falcón et al. 2011 Arch Virol","PubMed","","","",""
"2:356","detection of alpha- and betacoronaviruses in rodents from yunnan, china","Ge et al.","Virol J",2017,"10.1186/s12985-017-0766-9",300,"Ge et al. 2017 Virol J","PubMed","","","",""
"2:448","detection of alphacoronavirus in velvety free-tailed bats (molossus molossus) and brazilian free-tailed bats (tadarida brasiliensis) from urban area of southern brazil","Lima et al.","Virus Genes",2013,"10.1007/s11262-013-0899-x",301,"Lima et al. 2013 Virus Genes","PubMed","","","",""
"3:76","detection of bat coronavirus and specific antibodies in chestnut bat (scotophilus kuhlii) population in central taiwan","Su BoGang et al.","Taiwan Veterinary Journal",2016,"",302,"Su BoGang et al. 2016 Taiwan Veterinary Journal","CAB","","","",""
"2:420","detection of bat coronaviruses from miniopterus fuliginosus in japan","Shirato et al.","Virus Genes",2012,"10.1007/s11262-011-0661-1",303,"Shirato et al. 2012 Virus Genes","PubMed","","","",""
"2:363","detection of coronavirus genomes in moluccan naked-backed fruit bats in indonesia","Anindita et al.","Arch Virol",2015,"10.1007/s00705-015-2342-1",304,"Anindita et al. 2015 Arch Virol","PubMed","","","",""
"2:333","detection of coronaviruses in bats of various species in italy","Lelli et al.","Viruses",2013,"10.3390/v5112679",305,"Lelli et al. 2013 Viruses","PubMed","","","",""
"2:311","detection of coronaviruses in pteropus & rousettus species of bats from different states of india","Yadav et al.","Indian J Med Res",2020,"10.4103/ijmr.IJMR_795_20",306,"Yadav et al. 2020 Indian J Med Res","PubMed","","","",""
"2:401","detection of diverse viruses in alimentary specimens of bats in macau","Liang et al.","Virol Sin",2017,"10.1007/s12250-017-3976-9",307,"Liang et al. 2017 Virol Sin","PubMed","","","",""
"1:373","detection of gamma-ray transients with wild binary segmentation","Antier et al.","Monthly Notices of The Royal Astronomical Society",2020,"10.1093/mnras/staa263",308,"Antier et al. 2020 Monthly Notices of The Royal Astronomical Society","WOS","","","",""
"2:423","detection of group 1 coronaviruses in bats in north america","Dominguez et al.","Emerg Infect Dis",2007,"10.3201/eid1309.070491",309,"Dominguez et al. 2007 Emerg Infect Dis","PubMed","","","",""
"2:466","detection of group 1 coronaviruses in bats using universal coronavirus reverse transcription polymerase chain reactions","Poon & Peiris","Methods Mol Biol",2008,"10.1007/978-1-59745-181-9_2",310,"Poon & Peiris 2008 Methods Mol Biol","PubMed","","","",""
"2:409","detection of new genetic variants of betacoronaviruses in endemic frugivorous bats of madagascar","Razanajatovo et al.","Virol J",2015,"10.1186/s12985-015-0271-y",311,"Razanajatovo et al. 2015 Virol J","PubMed","","","",""
"1:259","detection of novel coronaviruses in bats in myanmar","Valitutto et al.","Plos One",2020,"10.1371/journal.pone.0230802",312,"Valitutto et al. 2020 Plos One","WOS","","","",""
"2:467","detection of novel sars-like and other coronaviruses in bats from kenya","Tong et al.","Emerg Infect Dis",2009,"10.3201/eid1503.081013",313,"Tong et al. 2009 Emerg Infect Dis","PubMed","","","",""
"2:414","detection of polyoma and corona viruses in bats of canada","Misra et al.","J Gen Virol",2009,"10.1099/vir.0.010694-0",314,"Misra et al. 2009 J Gen Virol","PubMed","","","",""
"2:169","detection of potentially novel paramyxovirus and coronavirus viral rna in bats and rats in the mekong delta region of southern viet nam","Berto et al.","Zoonoses Public Health",2018,"10.1111/zph.12362",315,"Berto et al. 2018 Zoonoses Public Health","PubMed","","","",""
"1:367","detection of recombinant rousettus bat coronavirus gccdc1 in lesser dawn bats (eonycteris spelaea) in singapore","Paskey et al.","Viruses-basel",2020,"10.3390/v12050539",316,"Paskey et al. 2020 Viruses-basel","WOS","","","",""
"2:305","detection of severe acute respiratory syndrome-like, middle east respiratory syndrome-like bat coronaviruses and group h rotavirus in faeces of korean bats","Kim et al.","Transbound Emerg Dis",2016,"10.1111/tbed.12515",317,"Kim et al. 2016 Transbound Emerg Dis","PubMed","","","",""
"3:33","detection of specific antibodies to the nucleocapsid protein fragments of severe acute respiratory syndrome-coronavirus and scotophilus bat coronavirus-512 in three insectivorous bat species","Chen YiNing et al.","Taiwan Veterinary Journal",2018,"10.1142/S1682648518500063",318,"Chen YiNing et al. 2018 Taiwan Veterinary Journal","CAB","","","",""
"2:173","detection of the severe acute respiratory syndrome-related coronavirus and alphacoronavirus in the bat population of taiwan","Chen et al.","Zoonoses Public Health",2016,"10.1111/zph.12271",319,"Chen et al. 2016 Zoonoses Public Health","PubMed","","","",""
"1:137","detection probability in aerial surveys of feral horses","Ransom","Journal of Wildlife Management",2012,"10.1002/jwmg.204",320,"Ransom 2012 Journal of Wildlife Management","WOS","","","",""
"1:200","determining causality and controlling disease is based on collaborative research involving multidisciplinary approaches","Skerratt et al.","Ecohealth",2009,"10.1007/s10393-010-0292-3",321,"Skerratt et al. 2009 Ecohealth","WOS","","","",""
"1:51","development and evaluation of a high density genotyping 'axiom_arachis' array with 58 k snps for accelerating genetics and breeding in groundnut","Pandey et al.","Scientific Reports",2017,"10.1038/srep40577",322,"Pandey et al. 2017 Scientific Reports","WOS","","","",""
"1:193","development of a one-step rt-pcr assay for detection of pancoronaviruses (alpha-, beta-, gamma- and delta-coronaviruses) using newly designed degenerate primers for porcine and avian 'fecal samples","Hu et al.","Journal of Virological Methods",2018,"10.1016/j.jviromet.2018.02.021",323,"Hu et al. 2018 Journal of Virological Methods","WOS","","","",""
"2:437","development of a spa-elisa method for detecting anti-coronavirus igg antibodies in serum samples from fulvous fruit bats","Zhou et al.","Nan Fang Yi Ke Da Xue Xue Bao",2008,"",324,"Zhou et al. 2008 Nan Fang Yi Ke Da Xue Xue Bao","PubMed","","","",""
"3:163","development of animal models against emerging coronaviruses: from sars to mers coronavirus","Sutton & Subbarao","Virology",2015,"10.1016/j.virol.2015.02.030",325,"Sutton & Subbarao 2015 Virology","CAB","","","",""
"1:69","development of four phylogenetically-arrayed bac libraries and sequence of the apa locus in phaseolus vulgaris","Kami et al.","Theoretical and Applied Genetics",2006,"10.1007/s00122-005-0201-2",326,"Kami et al. 2006 Theoretical and Applied Genetics","WOS","","","",""
"3:275","development of leishmania (mundinia) in guinea pigs","Becvar et al.","Parasites and Vectors",2020,"10.1186/s13071-020-04039-9",327,"Becvar et al. 2020 Parasites and Vectors","CAB","","","",""
"1:181","development of multiplexed bead arrays for the simultaneous detection of nucleic acid from multiple viruses in bat samples","Boyd et al.","Journal of Virological Methods",2015,"10.1016/j.jviromet.2015.07.004",328,"Boyd et al. 2015 Journal of Virological Methods","WOS","","","",""
"1:411","did sars come from bats?","Choi","Scientist",2005,"",329,"Choi 2005 Scientist","WOS","","","",""
"2:45","difference in receptor usage between severe acute respiratory syndrome (sars) coronavirus and sars-like coronavirus of bat origin","Ren et al.","J Virol",2008,"10.1128/JVI.01085-07",330,"Ren et al. 2008 J Virol","PubMed","","","",""
"2:171","differential sensitivity of bat cells to infection by enveloped rna viruses: coronaviruses, paramyxoviruses, filoviruses, and influenza viruses","Hoffmann et al.","Plos One",2013,"10.1371/journal.pone.0072942",331,"Hoffmann et al. 2013 Plos One","PubMed","","","",""
"1:138","differential stepwise evolution of sars coronavirus functional proteins in different host species","Tang et al.","Bmc Evolutionary Biology",2009,"10.1186/1471-2148-9-52",332,"Tang et al. 2009 Bmc Evolutionary Biology","WOS","","","",""
"1:106","differential transcriptional modulation of biological processes in adipocyte triglyceride lipase and hormone-sensitive lipase-deficient mice","Pinent et al.","Genomics",2008,"10.1016/j.ygeno.2008.03.010",333,"Pinent et al. 2008 Genomics","WOS","","","",""
"2:60","dipeptidyl peptidase 4 is a functional receptor for the emerging human coronavirus-emc","Raj et al.","Nature",2013,"10.1038/nature12005",334,"Raj et al. 2013 Nature","PubMed","","","",""
"2:22","discovery and characterization of novel bat coronavirus lineages from kazakhstan","Mendenhall et al.","Viruses",2019,"10.3390/v11040356",335,"Mendenhall et al. 2019 Viruses","PubMed","","","",""
