"","X","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","sample_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","gene_targets_simplified","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies"
"125",125,102,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,9,0,0,"Artibeus planirostris","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","Barreiras","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","genus not specified",1,"Artibeus planirostris","Artibeus planirostris","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"126",126,103,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,9,0,0,"Artibeus planirostris","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","Barreiras","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","genus not specified",1,"Artibeus planirostris","Artibeus planirostris","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"127",127,104,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,2,0,0,"Diphylla ecaudata","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","Barreiras","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","genus not specified",1,"Diphylla ecaudata","Diphylla ecaudata","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"128",128,105,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,2,0,0,"Diphylla ecaudata","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","Barreiras","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","genus not specified",1,"Diphylla ecaudata","Diphylla ecaudata","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"129",129,106,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,2,0,0,"Diphylla ecaudata","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","Barreiras","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","genus not specified",1,"Diphylla ecaudata","Diphylla ecaudata","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"130",130,107,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Peropteryx leucoptera","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","Barreiras","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","genus not specified",1,"Peropteryx leucoptera","Peropteryx leucoptera","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"131",131,108,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Peropteryx leucoptera","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","Barreiras","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","genus not specified",1,"Peropteryx leucoptera","Peropteryx leucoptera","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"132",132,109,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Peropteryx leucoptera","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","Barreiras","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","genus not specified",1,"Peropteryx leucoptera","Peropteryx leucoptera","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"133",133,110,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Desmodus rotundus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","Barreiras","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","genus not specified",1,"Desmodus rotundus","Desmodus rotundus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"134",134,111,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Desmodus rotundus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","Barreiras","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","genus not specified",1,"Desmodus rotundus","Desmodus rotundus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"135",135,112,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Desmodus rotundus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","Barreiras","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","genus not specified",1,"Desmodus rotundus","Desmodus rotundus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"143",143,121,"alphacoronaviruses detected in french bats are phylogeographically linked to coronaviruses of european bats","Goffard et al.","Viruses",2015,10,0,0,"Pipistrellus pipistrellus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested PCR","multiple","RdRp",NA,"faeces","France","N","Bourges","Colony 3","02º 32'19” E","46º 56'23” N","2014","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","faeces",1,0,0,0,46.9397222222222,2.53861111111111,"RdRp","No","No","PCR","genus not specified",1,"Pipistrellus pipistrellus","Pipistrellus pipistrellus","alphacoronaviruses detected in french bats are phylogeographically linked to coronaviruses of european bats"
"144",144,122,"alphacoronaviruses detected in french bats are phylogeographically linked to coronaviruses of european bats","Goffard et al.","Viruses",2015,35,0,0,"Pipistrellus pipistrellus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested PCR","multiple","RdRp",NA,"faeces","France","N","Bourges","Colony 4","02º 33'38” E","47º 02'39” N","2014","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","faeces",1,0,0,0,47.0441666666667,2.56055555555556,"RdRp","No","No","PCR","genus not specified",1,"Pipistrellus pipistrellus","Pipistrellus pipistrellus","alphacoronaviruses detected in french bats are phylogeographically linked to coronaviruses of european bats"
"145",145,123,"alphacoronaviruses detected in french bats are phylogeographically linked to coronaviruses of european bats","Goffard et al.","Viruses",2015,10,0,0,"Myotis myotis","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested PCR","multiple","RdRp",NA,"faeces","France","N","Bourges","Colony 5","02º 31122” E","47º 04'24” N","2014","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","faeces",1,0,0,0,47.0733333333333,2.52277777777778,"RdRp","No","No","PCR","genus not specified",1,"Myotis myotis","Myotis myotis","alphacoronaviruses detected in french bats are phylogeographically linked to coronaviruses of european bats"
"146",146,124,"alphacoronaviruses detected in french bats are phylogeographically linked to coronaviruses of european bats","Goffard et al.","Viruses",2015,10,0,0,"Eptesicus serotinus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested PCR","multiple","RdRp",NA,"faeces","France","N","Bourges","Colony 6","02º 18'59” E","46º 51'27” N","2014","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","faeces",1,0,0,0,46.8575,2.31638888888889,"RdRp","No","No","PCR","genus not specified",1,"Eptesicus serotinus","Eptesicus serotinus","alphacoronaviruses detected in french bats are phylogeographically linked to coronaviruses of european bats"
"147",147,125,"alphacoronaviruses detected in french bats are phylogeographically linked to coronaviruses of european bats","Goffard et al.","Viruses",2015,24,0,0,"Barbastella barbastellus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested PCR","multiple","RdRp",NA,"faeces","France","N","Bourges","Colony 7","02º 23'21” E","46º 49'28” N","2014","","",NA,"","August","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","faeces",1,0,0,0,46.8244444444444,2.38916666666667,"RdRp","No","No","PCR","genus not specified",1,"Barbastella barbastellus","Barbastella barbastellus","alphacoronaviruses detected in french bats are phylogeographically linked to coronaviruses of european bats"
"148",148,126,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,11,0,0,"Myotis lucifugus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 1",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Myotis lucifugus","Myotis lucifugus","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"149",149,127,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,3,0,0,"Myotis volans","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 2",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Myotis volans","Myotis volans","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"150",150,128,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,29,0,0,"Eptesicus fuscus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 3",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Eptesicus fuscus","Eptesicus fuscus","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"151",151,129,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,1,0,0,"Lasionycteris noctivagans","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 3",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Lasionycteris noctivagans","Lasionycteris noctivagans","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"153",153,131,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,20,0,0,"Lasiurus cinereus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 4",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Lasiurus cinereus","Lasiurus cinereus","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"154",154,132,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,1,0,0,"Lasionycteris noctivagans","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 4",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Lasionycteris noctivagans","Lasionycteris noctivagans","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"155",155,133,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,1,0,0,"Myotis cillolabrum","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 4",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Myotis ciliolabrum","Myotis ciliolabrum","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"160",160,136,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,11,0,0,"Antrozous pallidus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 5",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Antrozous pallidus","Antrozous pallidus","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"161",161,137,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,1,0,0,"Corynorhinus townsendii","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 5",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Corynorhinus townsendii","Corynorhinus townsendii","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"164",164,139,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,1,0,0,"Lasiurus cinereus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 5",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Lasiurus cinereus","Lasiurus cinereus","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"165",165,140,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,3,0,0,"Lasionycteris noctivagans","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 5",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Lasionycteris noctivagans","Lasionycteris noctivagans","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"166",166,141,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,3,0,0,"Myotis thysanodes","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 5",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Myotis thysanodes","Myotis thysanodes","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"167",167,142,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,13,0,0,"Myotis yumanensis","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 5",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Myotis yumanensis","Myotis yumanensis","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"168",168,143,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,6,0,0,"Parastrellus hesperus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 5",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Parastrellus hesperus","Parastrellus hesperus","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"169",169,144,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,9,0,0,"Myotis occultus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 6",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Myotis occultus","Myotis occultus","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"170",170,145,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,1,0,0,"Myotis yumanensis","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 7",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Myotis yumanensis","Myotis yumanensis","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"171",171,146,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,2,0,0,"Eptesicus fuscus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 8",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Eptesicus fuscus","Eptesicus fuscus","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"172",172,147,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,1,0,0,"Lasiurus cinereus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 8",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Lasiurus cinereus","Lasiurus cinereus","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"173",173,148,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,1,0,0,"Myotis californicus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 8",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Myotis californicus","Myotis californicus","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"174",174,149,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,1,0,0,"Myotis cillolabrum","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 8",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Myotis ciliolabrum","Myotis ciliolabrum","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"175",175,150,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,1,0,0,"Myotis evotis","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 8",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Myotis evotis","Myotis evotis","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"176",176,151,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,1,0,0,"Myotis thysanodes","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 8",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Myotis thysanodes","Myotis thysanodes","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
"177",177,152,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,4,0,0,"Myotis volans","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faeces/anal swab","United States of America","N","Colorado","Site 8",NA,NA,"2007","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",1,0,0,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Myotis volans","Myotis volans","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans"
