,X,UniqueID,title,author..from.Imported.table.2.,journal..from.Imported.table.2.,year..from.Imported.table.2.,sample,positives,prevalence,bat_species,virus_genus,virus_genus_notes,virus_subgenus,virus_species,virus_strain,detection_type,study_type,detection_method,method_specific,single.multiple.PCR.method,gene_targets,Terminal.sampling.,tissue,country,country_hemisphere,state,site,longitude,latitude,sample_year,start_year,start_month,end_year,end_month,sample_season,sample_season_simplified,X..Sampling.Trips,Sex.Info.,Habitat.Disturbance.Info.,Coinfection.Info.,Flag,Entered.by,Last.modified,tissue_simplified,sample_simplified,summer,fall,winter,spring,latidudedecimal,longitudedecimal,gene_targets_simplified,euthanasia,euthanasia_simplified,method_specific_simplified,virus_genus_simplified,spec,species_for_reader,species,studies,species_char,family
196,196,171,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,3,0,0,Eptesicus fuscus,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 11,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Eptesicus fuscus,Eptesicus fuscus,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Eptesicus fuscus,VESPERTILIONIDAE
197,197,172,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,7,0,0,Lasiurus cinereus,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 11,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Lasiurus cinereus,Lasiurus cinereus,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Lasiurus cinereus,VESPERTILIONIDAE
198,198,173,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,3,0,0,Lasionycteris noctivagans,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 11,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Lasionycteris noctivagans,Lasionycteris noctivagans,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Lasionycteris noctivagans,VESPERTILIONIDAE
199,199,174,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,11,0,0,Myotis volans,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 11,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Myotis volans,Myotis volans,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Myotis volans,VESPERTILIONIDAE
200,200,175,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,2,0,0,Antrozous pallidus,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 12,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Antrozous pallidus,Antrozous pallidus,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Antrozous pallidus,VESPERTILIONIDAE
201,201,176,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,3,0,0,Corynorhinus townsendii,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 12,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Corynorhinus townsendii,Corynorhinus townsendii,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Corynorhinus townsendii,VESPERTILIONIDAE
202,202,177,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,2,0,0,Eptesicus fuscus,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 13,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Eptesicus fuscus,Eptesicus fuscus,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Eptesicus fuscus,VESPERTILIONIDAE
203,203,178,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,2,0,0,Euderma maculatum,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 13,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Euderma maculatum,Euderma maculatum,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Euderma maculatum,VESPERTILIONIDAE
204,204,179,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,3,0,0,Lasionycteris noctivagans,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 13,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Lasionycteris noctivagans,Lasionycteris noctivagans,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Lasionycteris noctivagans,VESPERTILIONIDAE
205,205,180,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,6,0,0,Myotis evotis,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 13,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Myotis evotis,Myotis evotis,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Myotis evotis,VESPERTILIONIDAE
206,206,181,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,6,0,0,Myotis occultus,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 13,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Myotis occultus,Myotis occultus,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Myotis occultus,VESPERTILIONIDAE
207,207,182,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,4,0,0,Myotis volans,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 13,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Myotis volans,Myotis volans,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Myotis volans,VESPERTILIONIDAE
208,208,183,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,5,0,0,Eptesicus fuscus,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 14,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Eptesicus fuscus,Eptesicus fuscus,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Eptesicus fuscus,VESPERTILIONIDAE
209,209,184,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,3,0,0,Lasiurus cinereus,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 14,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Lasiurus cinereus,Lasiurus cinereus,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Lasiurus cinereus,VESPERTILIONIDAE
210,210,185,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,11,0,0,Lasionycteris noctivagans,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 14,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Lasionycteris noctivagans,Lasionycteris noctivagans,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Lasionycteris noctivagans,VESPERTILIONIDAE
211,211,186,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,3,0,0,Myotis evotis,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 14,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Myotis evotis,Myotis evotis,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Myotis evotis,VESPERTILIONIDAE
212,212,187,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,13,0,0,Myotis thysanodes,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 14,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Myotis thysanodes,Myotis thysanodes,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Myotis thysanodes,VESPERTILIONIDAE
213,213,188,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,7,0,0,Myotis evotis,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 15,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Myotis evotis,Myotis evotis,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Myotis evotis,VESPERTILIONIDAE
214,214,189,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,1,0,0,Myotis thysanodes,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 15,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Myotis thysanodes,Myotis thysanodes,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Myotis thysanodes,VESPERTILIONIDAE
215,215,190,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,3,0,0,Myotis volans,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 16,NA,NA,2007,,,NA,,Summer,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Myotis volans,Myotis volans,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Myotis volans,VESPERTILIONIDAE
216,216,191,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,31,0,0,Eptesicus fuscus,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 17,NA,NA,2007,,,NA,,June,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Eptesicus fuscus,Eptesicus fuscus,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Eptesicus fuscus,VESPERTILIONIDAE
230,230,195,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,29,0,0,Eptesicus fuscus,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 21,NA,NA,2007,,,NA,,June,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Eptesicus fuscus,Eptesicus fuscus,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Eptesicus fuscus,VESPERTILIONIDAE
231,231,209,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,22,0,0,Eptesicus fuscus,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faeces/anal swab,United States of America,N,Colorado,Site 21,NA,NA,2007,,,NA,,August,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",pooled,1,0,0,0,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Eptesicus fuscus,Eptesicus fuscus,"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Eptesicus fuscus,VESPERTILIONIDAE
247,247,231,bat coronavirus phylogeography in the western indian ocean,Joffrin et al.,Sci Rep,2020,19,0,0,Macronycteris commersoni,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,Madagascar,S,,,NA,NA,2012,,,NA,,,Year,NA,,,,,VERENA Admin,4/12/2022 2:07pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Hipposideros commersoni,Hipposideros commersoni,bat coronavirus phylogeography in the western indian ocean,Hipposideros commersoni,HIPPOSIDERIDAE
248,248,232,bat coronavirus phylogeography in the western indian ocean,Joffrin et al.,Sci Rep,2020,19,0,0,Miniopterus manavi,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,Madagascar,S,,,NA,NA,2012,,,NA,,,Year,NA,,,,,VERENA Admin,4/12/2022 2:07pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Miniopterus manavi,Miniopterus manavi,bat coronavirus phylogeography in the western indian ocean,Miniopterus manavi,MINIOPTERIDAE
249,249,233,bat coronavirus phylogeography in the western indian ocean,Joffrin et al.,Sci Rep,2020,14,0,0,Miniopterus gleni,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,Madagascar,S,,,NA,NA,2012,,,NA,,,Year,NA,,,,,VERENA Admin,4/12/2022 2:07pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Miniopterus gleni,Miniopterus gleni,bat coronavirus phylogeography in the western indian ocean,Miniopterus gleni,MINIOPTERIDAE
250,250,234,bat coronavirus phylogeography in the western indian ocean,Joffrin et al.,Sci Rep,2020,2,0,0,Miniopterus gleni,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,rectal/oral swab,Madagascar,S,,,NA,NA,2014,,,NA,,,Year,NA,,,,,VERENA Admin,4/12/2022 2:07pm,pooled swabs/samples,swab,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Miniopterus gleni,Miniopterus gleni,bat coronavirus phylogeography in the western indian ocean,Miniopterus gleni,MINIOPTERIDAE
251,251,235,bat coronavirus phylogeography in the western indian ocean,Joffrin et al.,Sci Rep,2020,28,0,0,Miniopterus griveaudi,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,rectal/oral swab,Madagascar,S,,,NA,NA,2014,,,NA,,,Year,NA,,,,,VERENA Admin,4/12/2022 2:07pm,pooled swabs/samples,swab,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Miniopterus griveaudi,Miniopterus griveaudi,bat coronavirus phylogeography in the western indian ocean,Miniopterus griveaudi,MINIOPTERIDAE
252,252,236,bat coronavirus phylogeography in the western indian ocean,Joffrin et al.,Sci Rep,2020,8,0,0,Miniopterus mahafaliensis,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,Madagascar,S,,,NA,NA,2012,,,NA,,,Year,NA,,,,,VERENA Admin,4/12/2022 2:07pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Miniopterus mahafaliensis,Miniopterus mahafaliensis,bat coronavirus phylogeography in the western indian ocean,Miniopterus mahafaliensis,MINIOPTERIDAE
253,253,237,bat coronavirus phylogeography in the western indian ocean,Joffrin et al.,Sci Rep,2020,8,0,0,Miniopterus sororculus,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,Madagascar,S,,,NA,NA,2012,,,NA,,,Year,NA,,,,,VERENA Admin,4/12/2022 2:07pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Miniopterus sororculus,Miniopterus sororculus,bat coronavirus phylogeography in the western indian ocean,Miniopterus sororculus,MINIOPTERIDAE
254,254,238,bat coronavirus phylogeography in the western indian ocean,Joffrin et al.,Sci Rep,2020,29,0,0,Chaerephon atsinanana,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,Madagascar,S,,,NA,NA,2013,,,NA,,,Year,NA,,,,,VERENA Admin,4/12/2022 2:07pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Chaerephon atsinanana,Chaerephon atsinanana,bat coronavirus phylogeography in the western indian ocean,Chaerephon atsinanana,MOLOSSIDAE
255,255,239,bat coronavirus phylogeography in the western indian ocean,Joffrin et al.,Sci Rep,2020,45,0,0,Chaerephon leucogaster,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,rectal/oral swab,Madagascar,S,,,NA,NA,2018,,,NA,,,Year,NA,,,,,VERENA Admin,4/12/2022 2:07pm,pooled swabs/samples,swab,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Chaerephon pumilus,Chaerephon pumilus,bat coronavirus phylogeography in the western indian ocean,Chaerephon pumilus,MOLOSSIDAE
256,256,240,bat coronavirus phylogeography in the western indian ocean,Joffrin et al.,Sci Rep,2020,94,0,0,Mops leucostigma,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,rectal/oral swab,Madagascar,S,,,NA,NA,2018,,,NA,,,Year,NA,,,,,VERENA Admin,4/12/2022 2:07pm,pooled swabs/samples,swab,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Mops leucostigma,Mops leucostigma,bat coronavirus phylogeography in the western indian ocean,Mops leucostigma,MOLOSSIDAE
258,258,242,bat coronavirus phylogeography in the western indian ocean,Joffrin et al.,Sci Rep,2020,2,0,0,Mops midas,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,rectal/oral swab,Madagascar,S,,,NA,NA,2018,,,NA,,,Year,NA,,,,,VERENA Admin,4/12/2022 2:07pm,pooled swabs/samples,swab,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Mops midas,Mops midas,bat coronavirus phylogeography in the western indian ocean,Mops midas,MOLOSSIDAE
260,260,244,bat coronavirus phylogeography in the western indian ocean,Joffrin et al.,Sci Rep,2020,41,0,0,Mormopterus jugularis,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,rectal/oral swab,Madagascar,S,,,NA,NA,2014,,,NA,,,Year,NA,,,,,VERENA Admin,4/12/2022 2:07pm,pooled swabs/samples,swab,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Mormopterus jugularis,Mormopterus jugularis,bat coronavirus phylogeography in the western indian ocean,Mormopterus jugularis,MOLOSSIDAE
261,261,245,bat coronavirus phylogeography in the western indian ocean,Joffrin et al.,Sci Rep,2020,12,0,0,Otomops madagascariensis,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,Madagascar,S,,,NA,NA,2012,,,NA,,,Year,NA,,,,,VERENA Admin,4/12/2022 2:07pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Otomops madagascariensis,Otomops madagascariensis,bat coronavirus phylogeography in the western indian ocean,Otomops madagascariensis,MOLOSSIDAE
262,262,246,bat coronavirus phylogeography in the western indian ocean,Joffrin et al.,Sci Rep,2020,6,0,0,Otomops madagascariensis,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,rectal/oral swab,Madagascar,S,,,NA,NA,2014,,,NA,,,Year,NA,,,,,VERENA Admin,4/12/2022 2:07pm,pooled swabs/samples,swab,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Otomops madagascariensis,Otomops madagascariensis,bat coronavirus phylogeography in the western indian ocean,Otomops madagascariensis,MOLOSSIDAE
264,264,248,bat coronavirus phylogeography in the western indian ocean,Joffrin et al.,Sci Rep,2020,32,0,0,Paratriaenops furculus,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,rectal/oral swab,Madagascar,S,,,NA,NA,2014,,,NA,,,Year,NA,,,,,VERENA Admin,4/12/2022 2:07pm,pooled swabs/samples,swab,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Paratriaenops furculus,Paratriaenops furculus,bat coronavirus phylogeography in the western indian ocean,Paratriaenops furculus,HIPPOSIDERIDAE
267,267,251,bat coronavirus phylogeography in the western indian ocean,Joffrin et al.,Sci Rep,2020,17,0,0,Myotis goudoti,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,rectal/oral swab,Madagascar,S,,,NA,NA,2014,,,NA,,,Year,NA,,,,,VERENA Admin,4/12/2022 2:07pm,pooled swabs/samples,swab,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Myotis goudoti,Myotis goudoti,bat coronavirus phylogeography in the western indian ocean,Myotis goudoti,VESPERTILIONIDAE
