"","X","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","sample_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","gene_targets_simplified","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies","species_char","family"
"639",639,878,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,2,0,0,"Myotis daubentonii","alphacoronavirus or betacoronavirus","","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2017","","April",NA,"","","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,0,0,1,NA,NA,"Other","No","No","PCR","genus not specified",1,"Myotis daubentonii","Myotis daubentonii","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis daubentonii","VESPERTILIONIDAE"
"640",640,879,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,2,0,0,"Myotis dasycneme","alphacoronavirus or betacoronavirus","","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2013","","October",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Myotis dasycneme","Myotis dasycneme","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis dasycneme","VESPERTILIONIDAE"
"641",641,880,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,6,0,0,"Myotis dasycneme","alphacoronavirus or betacoronavirus","","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2014","","October",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Myotis dasycneme","Myotis dasycneme","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis dasycneme","VESPERTILIONIDAE"
"642",642,881,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,2,1,0.5,"Myotis dasycneme","alphacoronavirus","","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2015","","April",NA,"","","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,0,0,1,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Myotis dasycneme","Myotis dasycneme","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis dasycneme","VESPERTILIONIDAE"
"643",643,882,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,1,1,1,"Myotis dasycneme","alphacoronavirus","","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2015","","November",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Myotis dasycneme","Myotis dasycneme","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis dasycneme","VESPERTILIONIDAE"
"644",644,883,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,6,1,0.166667,"Myotis dasycneme","alphacoronavirus","","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2016","","September",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Myotis dasycneme","Myotis dasycneme","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis dasycneme","VESPERTILIONIDAE"
"645",645,884,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,2,2,1,"Myotis dasycneme","genus not specified","cannot determine from primer, viral genus not given in data table, no sequencing information; likely alphacov because ""all generated coronavirus sequences belong to the genus Alphacoronavirus"" ","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2016","","November",NA,"","","Fall",NA,"","","","","VERENA Admin","4/26/2022 1:20pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Myotis dasycneme","Myotis dasycneme","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis dasycneme","VESPERTILIONIDAE"
"646",646,885,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,7,0,0,"Myotis nattereri","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Bornholm",NA,NA,"2013","","August",NA,"September","","Summer,Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,1,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Myotis nattereri","Myotis nattereri","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis nattereri","VESPERTILIONIDAE"
"647",647,886,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,1,0,0,"Myotis nattereri","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Lolland, Agerup forest",NA,NA,"2013","","September",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Myotis nattereri","Myotis nattereri","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis nattereri","VESPERTILIONIDAE"
"648",648,887,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,2,1,0.5,"Myotis nattereri","alphacoronavirus","","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2014","","October",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Myotis nattereri","Myotis nattereri","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis nattereri","VESPERTILIONIDAE"
"649",649,888,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,1,0,0,"Myotis nattereri","alphacoronavirus or betacoronavirus","","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2016","","September",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Myotis nattereri","Myotis nattereri","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis nattereri","VESPERTILIONIDAE"
"650",650,889,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,4,0,0,"Myotis bechsteinii","alphacoronavirus or betacoronavirus","","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Bornholm",NA,NA,"2013","","August",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Myotis bechsteinii","Myotis bechsteinii","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis bechsteinii","VESPERTILIONIDAE"
"651",651,890,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,1,0,0,"Myotis bechsteinii","alphacoronavirus or betacoronavirus","","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Bornholm - 1 individual",NA,NA,"2015","","August",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Myotis bechsteinii","Myotis bechsteinii","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis bechsteinii","VESPERTILIONIDAE"
"652",652,1840,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,1,0,0,"Myotis bechsteinii","alphacoronavirus or betacoronavirus","","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"roost feces","Denmark","N","","Bornholm - 1 from nest box",NA,NA,"2015","","August",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Myotis bechsteinii","Myotis bechsteinii","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis bechsteinii","VESPERTILIONIDAE"
"653",653,891,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,3,0,0,"Myotis bechsteinii","alphacoronavirus or betacoronavirus","","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"roost feces","Denmark","N","","Bornholm - 3 from next boxes",NA,NA,"2016","","August",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Myotis bechsteinii","Myotis bechsteinii","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis bechsteinii","VESPERTILIONIDAE"
"654",654,892,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,2,0,0,"Myotis bechsteinii","alphacoronavirus or betacoronavirus","","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Bornholm",NA,NA,"2017","","September",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Myotis bechsteinii","Myotis bechsteinii","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis bechsteinii","VESPERTILIONIDAE"
"655",655,893,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,1,0,0,"Myotis mystacinus","alphacoronavirus or betacoronavirus","","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Bornholm",NA,NA,"2013","","August",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Myotis mystacinus","Myotis mystacinus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis mystacinus","VESPERTILIONIDAE"
"656",656,894,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,1,0,0,"Myotis mystacinus","alphacoronavirus or betacoronavirus","","","","","repeat","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Bornholm",NA,NA,"2016","","August",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Myotis mystacinus","Myotis mystacinus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis mystacinus","VESPERTILIONIDAE"
"657",657,895,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,2,0,0,"Myotis brandtii","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Bornholm",NA,NA,"2013","","August",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Myotis brandtii","Myotis brandtii","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis brandtii","VESPERTILIONIDAE"
"658",658,896,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,1,0,0,"Myotis brandtii","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Mønsted ",NA,NA,"2015","","April",NA,"","","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,0,0,1,NA,NA,"Other","No","No","PCR","genus not specified",1,"Myotis brandtii","Myotis brandtii","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Myotis brandtii","VESPERTILIONIDAE"
"659",659,897,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,2,0,0,"Nyctalus noctula","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Bornholm - 2 individual",NA,NA,"2013","","August",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Nyctalus noctula","Nyctalus noctula","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Nyctalus noctula","VESPERTILIONIDAE"
"660",660,1841,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,2,0,0,"Nyctalus noctula","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"roost feces","Denmark","N","","Bornholm - 2 from nest boxes",NA,NA,"2013","","August",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Nyctalus noctula","Nyctalus noctula","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Nyctalus noctula","VESPERTILIONIDAE"
"661",661,898,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,6,1,0.166667,"Pipistrellus pygmaeus","alphacoronavirus","","","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Funen, Sollerup forest",NA,NA,"2013","","August",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Pipistrellus pygmaeus","Pipistrellus pygmaeus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Pipistrellus pygmaeus","VESPERTILIONIDAE"
"662",662,899,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,9,1,0.111111,"Pipistrellus pygmaeus","alphacoronavirus","","","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"roost feces,faeces","Denmark","N","","Vadum - mix of individual + floor samples from colony",NA,NA,"2014","","June",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Pipistrellus pygmaeus","Pipistrellus pygmaeus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Pipistrellus pygmaeus","VESPERTILIONIDAE"
"663",663,900,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,1,0,0,"Pipistrellus pygmaeus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"roost feces","Denmark","N","","Sorø - from nest boxes",NA,NA,"2015","","",NA,"","Summer","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Pipistrellus pygmaeus","Pipistrellus pygmaeus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Pipistrellus pygmaeus","VESPERTILIONIDAE"
"664",664,1842,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,8,4,0.5,"Pipistrellus pygmaeus","alphacoronavirus","","","","","pooled","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"roost feces,faeces","Denmark","N","","Borup - 5 individual samples, 3 from floor",NA,NA,"2015","","September",NA,"","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Pipistrellus pygmaeus","Pipistrellus pygmaeus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Pipistrellus pygmaeus","VESPERTILIONIDAE"
"665",665,902,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,1,0,0,"Pipistrellus pygmaeus","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"roost feces","Denmark","N","","Helsinge - sample from abandoned colony",NA,NA,"2015","","September",NA,"October","","Summer,Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,1,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Pipistrellus pygmaeus","Pipistrellus pygmaeus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Pipistrellus pygmaeus","VESPERTILIONIDAE"
"666",666,903,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,3,0,0,"Pipistrellus pygmaeus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"roost feces","Denmark","N","","Tureby - from colony",NA,NA,"2016","","August",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Pipistrellus pygmaeus","Pipistrellus pygmaeus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Pipistrellus pygmaeus","VESPERTILIONIDAE"
"667",667,904,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,1,0,0,"Plecotus auritus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Bornholm",NA,NA,"2013","","August",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Plecotus auritus","Plecotus auritus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Plecotus auritus","VESPERTILIONIDAE"
"668",668,905,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,1,0,0,"Plecotus auritus","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","rtRT-PCR","single","ORF1b",NA,"roost feces","Denmark","N","","Bornholm - from floor ",NA,NA,"2015","","September",NA,"October","","Summer,Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,1,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Plecotus auritus","Plecotus auritus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Plecotus auritus","VESPERTILIONIDAE"
"669",669,906,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,1,1,1,"Eptesicus serotinus","alphacoronavirus","","","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"faeces","Denmark","N","","Tim - 1 individual",NA,NA,"2014","","June",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Eptesicus serotinus","Eptesicus serotinus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Eptesicus serotinus","VESPERTILIONIDAE"
"670",670,1843,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,2,2,1,"Eptesicus serotinus","alphacoronavirus","","","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"roost feces","Denmark","N","","Tim - 2 from floor",NA,NA,"2014","","June",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","alphacoronavirus",1,"Eptesicus serotinus","Eptesicus serotinus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Eptesicus serotinus","VESPERTILIONIDAE"
"671",671,907,"detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Lazov et al.","Viruses",2018,1,0,0,"Eptesicus serotinus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","rtRT-PCR","single","ORF1b",NA,"roost feces","Denmark","N","","Sakskøbing - from floor",NA,NA,"2017","","June",NA,"","","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",1,0,0,0,NA,NA,"Other","No","No","PCR","genus not specified",1,"Eptesicus serotinus","Eptesicus serotinus","detection and characterization of distinct alphacoronaviruses in five different bat species in denmark","Eptesicus serotinus","VESPERTILIONIDAE"
"672",672,908,"detection of polyoma and corona viruses in bats of canada","Misra et al.","J Gen Virol",2009,21,1,0.047619,"Myotis lucifugus","alphacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp ",NA,"pooled tissue (liver/lung/small intestine/brain/kidney/spleen)","Canada","N","Manitoba","St. George Cave",NA,NA,"2007","","",NA,"","September","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","pooled tissue","tissue",0,1,0,0,NA,NA,"RdRp","Yes, for this study; also rabies submissions + found carcasses were processed","Yes","PCR","alphacoronavirus",1,"Myotis lucifugus","Myotis lucifugus","detection of polyoma and corona viruses in bats of canada","Myotis lucifugus","VESPERTILIONIDAE"
"673",673,909,"detection of polyoma and corona viruses in bats of canada","Misra et al.","J Gen Virol",2009,5,1,0.2,"Myotis lucifugus","alphacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp ",NA,"pooled tissue (liver/lung/small intestine/brain/kidney/spleen)","Canada","N","Manitoba","Dale's Cave",NA,NA,"2008","","",NA,"","May","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","pooled tissue","tissue",0,0,0,1,NA,NA,"RdRp","Yes, for this study; also rabies submissions + found carcasses were processed","Yes","PCR","alphacoronavirus",1,"Myotis lucifugus","Myotis lucifugus","detection of polyoma and corona viruses in bats of canada","Myotis lucifugus","VESPERTILIONIDAE"
"674",674,910,"detection of polyoma and corona viruses in bats of canada","Misra et al.","J Gen Virol",2009,5,1,0.2,"Myotis lucifugus","alphacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp ",NA,"pooled tissue (liver/lung/small intestine/brain/kidney/spleen)","Canada","N","Manitoba","Abyss Cave",NA,NA,"2008","","",NA,"","May","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","pooled tissue","tissue",0,0,0,1,NA,NA,"RdRp","Yes, for this study; also rabies submissions + found carcasses were processed","Yes","PCR","alphacoronavirus",1,"Myotis lucifugus","Myotis lucifugus","detection of polyoma and corona viruses in bats of canada","Myotis lucifugus","VESPERTILIONIDAE"
"675",675,913,"detection of severe acute respiratory syndrome-like, middle east respiratory syndrome-like bat coronaviruses and group h rotavirus in faeces of korean bats","Kim et al.","Transbound Emerg Dis",2016,4,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","South Korea","N","Jeongsun","PG Cave",NA,NA,"2015","","",NA,"","October","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","detection of severe acute respiratory syndrome-like, middle east respiratory syndrome-like bat coronaviruses and group h rotavirus in faeces of korean bats","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"676",676,914,"detection of severe acute respiratory syndrome-like, middle east respiratory syndrome-like bat coronaviruses and group h rotavirus in faeces of korean bats","Kim et al.","Transbound Emerg Dis",2016,6,1,0.166667,"Rhinolophus ferrumequinum","betacoronavirus","","Sarbecovirus","bat","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","South Korea","N","Inje","BM abandoned mine",NA,NA,"2015","","",NA,"","October","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,1,0,0,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","detection of severe acute respiratory syndrome-like, middle east respiratory syndrome-like bat coronaviruses and group h rotavirus in faeces of korean bats","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"677",677,917,"detection of severe acute respiratory syndrome-like, middle east respiratory syndrome-like bat coronaviruses and group h rotavirus in faeces of korean bats","Kim et al.","Transbound Emerg Dis",2016,4,2,0.5,"Miniopterus schreibersii","alphacoronavirus","","","bat","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","South Korea","N","Munkyung","BGS Cave",NA,NA,"2015","","",NA,"","December","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,0,1,0,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Miniopterus schreibersii","Miniopterus schreibersii","detection of severe acute respiratory syndrome-like, middle east respiratory syndrome-like bat coronaviruses and group h rotavirus in faeces of korean bats","Miniopterus schreibersii","MINIOPTERIDAE"
"678",678,918,"detection of severe acute respiratory syndrome-like, middle east respiratory syndrome-like bat coronaviruses and group h rotavirus in faeces of korean bats","Kim et al.","Transbound Emerg Dis",2016,4,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","South Korea","N","Yeongwol","YJ Cave",NA,NA,"2015","","",NA,"","December","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:13pm","faecal, rectal, or anal","faeces",0,0,1,0,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","detection of severe acute respiratory syndrome-like, middle east respiratory syndrome-like bat coronaviruses and group h rotavirus in faeces of korean bats","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
