"","X","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","sample_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","gene_targets_simplified","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies"
"304",304,288,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,14,11,0.785714,"Ptenochirus jagori","betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Los Baños","",NA,NA,"2008","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","tissue",1,0,0,0,NA,NA,"RdRp","Yes, for this study","Yes","PCR","betacoronavirus",1,"Ptenochirus jagori","Ptenochirus jagori","bat coronaviruses and experimental infection of bats, the philippines"
"305",305,289,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,1,1,1,"Cynopterus brachyotis","betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Diliman","Site A",NA,NA,"2008","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","tissue",1,0,0,0,NA,NA,"RdRp","Yes, for this study","Yes","PCR","betacoronavirus",1,"Cynopterus brachyotis","Cynopterus brachyotis","bat coronaviruses and experimental infection of bats, the philippines"
"306",306,290,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,1,1,1,"Eonycteris spelaea","betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Diliman","Site A",NA,NA,"2008","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","tissue",1,0,0,0,NA,NA,"RdRp","Yes, for this study","Yes","PCR","betacoronavirus",1,"Eonycteris spelaea","Eonycteris spelaea","bat coronaviruses and experimental infection of bats, the philippines"
"307",307,291,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,1,0,0,"Ptenochirus jagori","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Diliman","Site A",NA,NA,"2008","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","tissue",1,0,0,0,NA,NA,"RdRp","Yes, for this study","Yes","PCR","genus not specified",1,"Ptenochirus jagori","Ptenochirus jagori","bat coronaviruses and experimental infection of bats, the philippines"
"308",308,292,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,1,1,1,"Eonycteris spelaea","betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Diliman","Site B",NA,NA,"2008","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","tissue",1,0,0,0,NA,NA,"RdRp","Yes, for this study","Yes","PCR","betacoronavirus",1,"Eonycteris spelaea","Eonycteris spelaea","bat coronaviruses and experimental infection of bats, the philippines"
"309",309,293,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,3,0,0,"Pipistrellus javanicas","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Diliman","Site B",NA,NA,"2008","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","tissue",1,0,0,0,NA,NA,"RdRp","Yes, for this study","Yes","PCR","genus not specified",1,"Pipistrellus javanicus","Pipistrellus javanicus","bat coronaviruses and experimental infection of bats, the philippines"
"310",310,294,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,4,0,0,"Scotphilus kuhlii","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Diliman","Site B",NA,NA,"2008","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","tissue",1,0,0,0,NA,NA,"RdRp","Yes, for this study","Yes","PCR","genus not specified",1,"Scotophilus kuhlii","Scotophilus kuhlii","bat coronaviruses and experimental infection of bats, the philippines"
"311",311,295,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,18,6,0.333333,"Cynopterus brachyotis","betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Diliman","Site C",NA,NA,"2008","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","tissue",1,0,0,0,NA,NA,"RdRp","Yes, for this study","Yes","PCR","betacoronavirus",1,"Cynopterus brachyotis","Cynopterus brachyotis","bat coronaviruses and experimental infection of bats, the philippines"
"312",312,296,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,1,0,0,"Ptenochirus jagori","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Diliman","Site C",NA,NA,"2008","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","intestine","tissue",1,0,0,0,NA,NA,"RdRp","Yes, for this study","Yes","PCR","genus not specified",1,"Ptenochirus jagori","Ptenochirus jagori","bat coronaviruses and experimental infection of bats, the philippines"
"313",313,297,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,1,1,1,"Rousettus amplexicaudatus","betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Diliman","Site C",NA,NA,"2008","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","intestine","tissue",1,0,0,0,NA,NA,"RdRp","Yes, for this study","Yes","PCR","betacoronavirus",1,"Rousettus amplexicaudatus","Rousettus amplexicaudatus","bat coronaviruses and experimental infection of bats, the philippines"
"314",314,298,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,84,1,0.011905,"Rousettus leschenaulti","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single",NA,NA,"serum","China","N"," Guangxi","Nanning",NA,NA,"2004","","",NA,"","March","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","blood or serum","sera",0,0,0,1,NA,NA,NA,"No","No","ELISA","betacoronavirus",1,"Rousettus leschenaultii","Rousettus leschenaultii","bats are natural reservoirs of sars-like coronaviruses"
"315",315,299,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,42,0,0,"Rousettus leschenaulti","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single",NA,NA,"serum","China","N","Guangdong","Maoming",NA,NA,"2004","","",NA,"","March","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","blood or serum","sera",0,0,0,1,NA,NA,NA,"No","No","ELISA","betacoronavirus",1,"Rousettus leschenaultii","Rousettus leschenaultii","bats are natural reservoirs of sars-like coronaviruses"
"316",316,300,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,17,0,0,"Cynopterus sphinx","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single",NA,NA,"serum","China","N","Guangdong","Maoming",NA,NA,"2004","","",NA,"","March","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","blood or serum","sera",0,0,0,1,NA,NA,NA,"No","No","ELISA","betacoronavirus",1,"Cynopterus sphinx","Cynopterus sphinx","bats are natural reservoirs of sars-like coronaviruses"
"317",317,301,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,4,0,0,"Rhinolophus ferrumequinum","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single",NA,NA,"serum","China","N","Hubei","Yichang",NA,NA,"2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","blood or serum","sera",0,1,0,0,NA,NA,NA,"No","No","ELISA","betacoronavirus",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","bats are natural reservoirs of sars-like coronaviruses"
"318",318,302,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,7,5,0.714286,"Rhinolophus macrotis","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single",NA,NA,"serum","China","N","Hubei","Yichang",NA,NA,"2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","blood or serum","sera",0,1,0,0,NA,NA,NA,"No","No","ELISA","betacoronavirus",1,"Rhinolophus macrotis","Rhinolophus macrotis","bats are natural reservoirs of sars-like coronaviruses"
"319",319,303,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,1,0,0,"Nyctalus plancyi","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single",NA,NA,"serum","China","N","Hubei","Yichang",NA,NA,"2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","blood or serum","sera",0,1,0,0,NA,NA,NA,"No","No","ELISA","betacoronavirus",1,"Nyctalus plancyi","Nyctalus plancyi","bats are natural reservoirs of sars-like coronaviruses"
"320",320,304,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,1,0,0,"Miniopterus schreibersi","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single",NA,NA,"serum","China","N","Hubei","Yichang",NA,NA,"2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","blood or serum","sera",0,1,0,0,NA,NA,NA,"No","No","ELISA","betacoronavirus",1,"Miniopterus schreibersii","Miniopterus schreibersii","bats are natural reservoirs of sars-like coronaviruses"
"321",321,305,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,1,0,0,"Myotis altarium","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single",NA,NA,"serum","China","N","Hubei","Yichang",NA,NA,"2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","blood or serum","sera",0,1,0,0,NA,NA,NA,"No","No","ELISA","betacoronavirus",1,"Myotis altarium","Myotis altarium","bats are natural reservoirs of sars-like coronaviruses"
"322",322,306,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,58,1,0.017241,"Rousettus leschenaulti","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single",NA,NA,"serum","China","N"," Guangxi","Nanning",NA,NA,"2004","","",NA,"","December","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","blood or serum","sera",0,0,1,0,NA,NA,NA,"No","No","ELISA","betacoronavirus",1,"Rousettus leschenaultii","Rousettus leschenaultii","bats are natural reservoirs of sars-like coronaviruses"
"323",323,307,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,46,13,0.282609,"Rhinolophus pearsoni","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single",NA,NA,"serum","China","N"," Guangxi","Nanning",NA,NA,"2004","","",NA,"","December","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","blood or serum","sera",0,0,1,0,NA,NA,NA,"No","No","ELISA","betacoronavirus",1,"Rhinolophus pearsonii","Rhinolophus pearsonii","bats are natural reservoirs of sars-like coronaviruses"
"324",324,308,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,6,2,0.333333,"Rhinolophus pusillus","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single",NA,NA,"serum","China","N"," Guangxi","Nanning",NA,NA,"2004","","",NA,"","December","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","blood or serum","sera",0,0,1,0,NA,NA,NA,"No","No","ELISA","betacoronavirus",1,"Rhinolophus pusillus","Rhinolophus pusillus","bats are natural reservoirs of sars-like coronaviruses"
"325",325,309,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,110,0,0,"Rousettus leschenaulti","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N"," Guangxi","Nanning",NA,NA,"2004","","",NA,"","March","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","faecal, rectal, or anal","swab",0,0,0,1,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rousettus leschenaultii","Rousettus leschenaultii","bats are natural reservoirs of sars-like coronaviruses"
"326",326,310,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,45,0,0,"Rousettus leschenaulti","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Guangdong","Maoming",NA,NA,"2004","","",NA,"","March","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","faecal, rectal, or anal","swab",0,0,0,1,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rousettus leschenaultii","Rousettus leschenaultii","bats are natural reservoirs of sars-like coronaviruses"
"327",327,311,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,27,0,0,"Cynopterus sphinx","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Guangdong","Maoming",NA,NA,"2004","","",NA,"","March","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","faecal, rectal, or anal","swab",0,0,0,1,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Cynopterus sphinx","Cynopterus sphinx","bats are natural reservoirs of sars-like coronaviruses"
"328",328,312,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,55,0,0,"Rousettus leschenaulti","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Guangxi","Nanning",NA,NA,"2004","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","faecal, rectal, or anal","swab",1,0,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rousettus leschenaultii","Rousettus leschenaultii","bats are natural reservoirs of sars-like coronaviruses"
"329",329,313,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,21,0,0,"Myotis ricketti","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Tianjin","",NA,NA,"2004","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","faecal, rectal, or anal","swab",1,0,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Myotis pilosus","Myotis pilosus","bats are natural reservoirs of sars-like coronaviruses"
"330",330,314,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,15,0,0,"Rhinolophus pusillus","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Hubei","Yichang",NA,NA,"2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","swab",0,1,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rhinolophus pusillus","Rhinolophus pusillus","bats are natural reservoirs of sars-like coronaviruses"
"331",331,315,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,8,1,0.125,"Rhinolophus ferrumequinum","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Hubei","Yichang",NA,NA,"2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","swab",0,1,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","bats are natural reservoirs of sars-like coronaviruses"
"332",332,316,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,8,1,0.125,"Rhinolophus macrotis","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Hubei","Yichang",NA,NA,"2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","swab",0,1,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rhinolophus macrotis","Rhinolophus macrotis","bats are natural reservoirs of sars-like coronaviruses"
"333",333,317,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,1,0,0,"Nyctalus plancyi","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Hubei","Yichang",NA,NA,"2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","swab",0,1,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Nyctalus plancyi","Nyctalus plancyi","bats are natural reservoirs of sars-like coronaviruses"
"334",334,318,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,1,0,0,"Miniopterus schreibersi","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Hubei","Yichang",NA,NA,"2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","swab",0,1,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Miniopterus schreibersii","Miniopterus schreibersii","bats are natural reservoirs of sars-like coronaviruses"
"335",335,319,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,1,0,0,"Myotis altarium","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Hubei","Yichang",NA,NA,"2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","swab",0,1,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Myotis altarium","Myotis altarium","bats are natural reservoirs of sars-like coronaviruses"
"336",336,320,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,30,3,0.1,"Rhinolophus pearsoni","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Guangxi","Nanning",NA,NA,"2004","","",NA,"","December","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","faecal, rectal, or anal","swab",0,0,1,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rhinolophus pearsonii","Rhinolophus pearsonii","bats are natural reservoirs of sars-like coronaviruses"
"337",337,321,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,6,0,0,"Rhinolophus pusillus","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Guangxi","Nanning",NA,NA,"2004","","",NA,"","December","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","faecal, rectal, or anal","swab",0,0,1,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rhinolophus pusillus","Rhinolophus pusillus","bats are natural reservoirs of sars-like coronaviruses"
"338",338,322,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,55,0,0,"Rousettus leschenaulti","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"respiratory swab","China","N","Guangxi","Nanning",NA,NA,"2004","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","lung or respiratory","swab",1,0,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rousettus leschenaultii","Rousettus leschenaultii","bats are natural reservoirs of sars-like coronaviruses"
"339",339,323,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,21,0,0,"Myotis ricketti","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"respiratory swab","China","N","Tianjin","",NA,NA,"2004","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","lung or respiratory","swab",1,0,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Myotis pilosus","Myotis pilosus","bats are natural reservoirs of sars-like coronaviruses"
"340",340,324,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,3,0,0,"Rhinolophus macrotis","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"respiratory swab","China","N","Hubei","Yichang",NA,NA,"2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","lung or respiratory","swab",0,1,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rhinolophus macrotis","Rhinolophus macrotis","bats are natural reservoirs of sars-like coronaviruses"
"341",341,325,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,11,0,0,"Rhinolophus pearsoni","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"respiratory swab","China","N","Guangxi","Nanning",NA,NA,"2004","","",NA,"","December","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","lung or respiratory","swab",0,0,1,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rhinolophus pearsonii","Rhinolophus pearsonii","bats are natural reservoirs of sars-like coronaviruses"
"342",342,326,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,2,0,0,"Rhinolophus pusillus","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"respiratory swab","China","N","Guangxi","Nanning",NA,NA,"2004","","",NA,"","December","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","lung or respiratory","swab",0,0,1,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rhinolophus pusillus","Rhinolophus pusillus","bats are natural reservoirs of sars-like coronaviruses"
"343",343,327,"characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","Wang et al.","Viruses",2019,499,52,0.104208,"Rhinolophus affinis","alphacoronavirus","","","Rhinolophus bat","HKU2","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faecal swab/faeces","China","N","Guangdong, Guizhou, Hainan, Henan, Jiangsu, Yunnan, Zhejiang","",NA,NA,"","2004","November",2014,"November","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",0,1,0,0,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Rhinolophus affinis","Rhinolophus affinis","characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats"
"344",344,328,"characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","Wang et al.","Viruses",2019,17,0,0,"Rhinolophus blythi","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faecal swab/faeces","China","N","Guangdong, Hubei, Yunnan","",NA,NA,"","2004","November",2014,"November","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",0,1,0,0,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus lepidus","Rhinolophus lepidus","characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats"
"345",345,330,"characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","Wang et al.","Viruses",2019,21,0,0,"Rhinolophus lepidus","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faecal swab/faeces","China","N","Fujian","",NA,NA,"","2004","November",2014,"November","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",0,1,0,0,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus lepidus","Rhinolophus lepidus","characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats"
"346",346,331,"characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","Wang et al.","Viruses",2019,8,0,0,"Rhinolophus luctus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faecal swab/faeces","China","N","Guangdong, Hainan, Zhejiang","",NA,NA,"","2004","November",2014,"November","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",0,1,0,0,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus luctus","Rhinolophus luctus","characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats"
"347",347,332,"characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","Wang et al.","Viruses",2019,31,1,0.032258,"Rhinolophus macrotis","alphacoronavirus","","","Rhinolophus bat","HKU2","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faecal swab/faeces","China","N","Chongqing, Guangdong, Guangxi, Hebei, Hubei, Jiangsu, Beijing, Yunnan","",NA,NA,"","2004","November",2014,"November","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",0,1,0,0,NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Rhinolophus macrotis","Rhinolophus macrotis","characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats"
"348",348,333,"characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","Wang et al.","Viruses",2019,5,0,0,"Rhinolophus monoceros","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faecal swab/faeces","China","N","Yunnan","",NA,NA,"","2004","November",2014,"November","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",0,1,0,0,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus pusillus","Rhinolophus pusillus","characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats"
"349",349,334,"characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","Wang et al.","Viruses",2019,106,0,0,"Rhinolophus pearsoni","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faecal swab/faeces","China","N","Fujian, Guangdong, Guangxi, Guizhou, Henan, Tibet, Yunnan","",NA,NA,"","2004","November",2014,"November","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","pooled",0,1,0,0,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus pearsonii","Rhinolophus pearsonii","characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats"
